/* DATA DESCRIPTION:
Citation:	Bertrand, Philippe (2003): Density and sound velocity of sediment core MD96-2077. PANGAEA, https://doi.org/10.1594/PANGAEA.124286
Related to:	Bertrand, Philippe; Shipboard Scientific Party (1997): Les rapport de campagne à la mer à bord du Marion Dufresne - Campagne Nausicaa - IMAGES II - MD105 du 20/10/96 au 25/11/96. Institut Francais pour la Recherche et la technologie Polaires, 381
Project(s):	International Marine Global Change Study (IMAGES)
Coverage:	LATITUDE: -33.168333 * LONGITUDE: 31.246667
	DATE/TIME START: 1996-09-25T00:00:00 * DATE/TIME END: 1996-09-25T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.26 m * MAXIMUM DEPTH, sediment/rock: 35.38 m
Event(s):	MD96-2077 (MD962077) * LATITUDE: -33.168333 * LONGITUDE: 31.246667 * DATE/TIME: 1996-09-25T00:00:00 * ELEVATION: -3781.0 m * Recovery: 35.54 m * LOCATION: Natal Valley * CAMPAIGN: MD105 (IMAGES II) (URI: http://www.ifremer.fr/sismer/UK/catal/campagne/campagnea.htql?crno=96200070) * BASIS: Marion Dufresne (1995) (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * METHOD/DEVICE: Calypso Corer (CALYPSO) * COMMENT: Top soft brown mud, Forams, CC: gray mud (Nannofossil foraminiferal ooze), core liner disrupted at 2405 cm.
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	Density, wet bulk [g/cm**3] (WBD) * PI: Bertrand, Philippe (bertrand@geocean.u-bordeaux.fr) * METHOD/DEVICE: Multi-Sensor Core Logger 17, GEOTEK
	Susceptibility [sensor values] (Suscept) * PI: Bertrand, Philippe (bertrand@geocean.u-bordeaux.fr) * METHOD/DEVICE: Multi-Sensor Core Logger 17, GEOTEK
	Velocity, compressional wave [m/s] (Vp) * PI: Bertrand, Philippe (bertrand@geocean.u-bordeaux.fr) * METHOD/DEVICE: Multi-Sensor Core Logger 17, GEOTEK
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	5059 data points
*/
Depth [m]	WBD [g/cm**3]	Suscept [sensor values]	Vp [m/s]
2.00	1.566	24	1537.5
2.02	1.563	23	1538.8
2.04	1.569	22	1540.9
2.06	1.562	22	1540.0
2.08	1.551	23	1539.1
2.10	1.552	23	1540.3
2.12	1.550	23	1540.1
2.14	1.566	23	1538.4
2.16	1.565	23	1538.5
2.18	1.562	22	1538.6
2.20	1.553	23	1538.8
2.22	1.573	22	1538.2
2.24	1.566	22	1538.4
2.26	1.552	23	1538.9
2.28	1.571	23	1538.3
2.30	1.570	23	1537.2
2.32	1.559	22	1537.5
2.34	1.542	22	1536.9
2.36	1.548	22	1536.7
2.38	1.534	22	1537.1
2.40	1.520	22	1535.2
2.42	1.520	24	1533.8
2.44	1.516	26	1535.1
2.46	1.500	26	1535.6
2.48	1.525	26	1534.8
2.50	1.567	26	1534.7
2.52	1.553	27	1534.0
2.54	1.552	27	1532.8
2.56	1.523	27	1537.3
2.58	1.532	27	1538.1
2.60	1.540	26	1541.4
2.62	1.542	26	1537.8
2.64	1.546	25	1535.2
2.66	1.538	25	1537.8
2.68	1.530	22	1534.9
2.70	1.538	20	1533.5
2.72	1.553	18	1535.3
2.74	1.544	17	1536.8
2.76	1.545	17	1539.1
2.78	1.548	17	1526.2
2.80		16	
2.82		16	
2.84		15	
2.86		15	
2.88		14	
2.90		15	
2.92		15	
2.94		15	
2.96		15	
2.98		15	
3.00		14	
3.02		15	
3.04		16	
3.06		17	
3.08	1.541	18	1546.7
3.10	1.537	18	1543.3
3.12	1.563	18	1543.7
3.14	1.571	18	1539.8
3.16	1.557	19	1541.5
3.18	1.567	19	1541.2
3.20	1.575	19	1543.1
3.22	1.561	19	1542.5
3.24	1.548	19	1542.7
3.26	1.534	18	1544.3
3.28	1.547	19	1541.6
3.30	1.578	19	1540.6
3.32	1.574	19	1540.7
3.34	1.572	20	1539.6
3.36	1.569	19	1542.1
3.38	1.558	19	1542.4
3.40	1.551	20	1541.5
3.42	1.547	20	1540.4
3.44	1.541	20	1540.6
3.46	1.570	20	1537.3
3.48	1.567	20	1536.2
3.50	1.574	20	1537.2
3.52	1.566	20	1537.5
3.54	1.567	19	1537.4
3.56	1.573	20	1537.3
3.58	1.562	20	1536.2
3.60	1.567	19	1537.4
3.62	1.566	19	1536.1
3.64	1.540	19	1535.7
3.66	1.571	20	1536.0
3.68	1.551	20	1537.7
3.70	1.541	20	1536.9
3.72	1.522	20	1536.3
3.74	1.513	20	1535.4
3.76	1.498	20	1535.9
3.78	1.539	20	1535.8
3.80	1.527	21	1532.6
3.82	1.532	20	1533.7
3.84	1.501	20	1539.3
3.86	1.516	18	1536.5
3.88	1.520	20	1537.5
3.90	1.537	20	1535.8
3.92	1.514	21	1534.2
3.94	1.516	21	1533.0
3.96	1.520	21	1524.7
3.98	1.510	21	1528.5
4.00	1.511	20	1532.0
4.02	1.514	20	1528.4
4.04	1.510	20	1528.5
4.06	1.511	20	1530.6
4.08	1.532	20	1530.0
4.10	1.516	21	1532.8
4.12	1.543	22	1534.3
4.14	1.546	23	1531.8
4.16	1.542	25	1535.5
4.18	1.545	25	1535.8
4.20	1.547	26	1535.3
4.22	1.539	27	1536.8
4.24	1.557	27	1538.9
4.26	1.560	26	1547.1
4.28	1.608	27	1548.0
4.30	1.612	28	1547.8
4.32	1.635	28	1544.7
4.34	1.608	27	1540.9
4.36	1.586	26	1540.2
4.38	1.580	24	1540.5
4.40	1.572	24	1540.8
4.42	1.568	24	1542.1
4.44	1.577	24	1538.1
4.46	1.579	24	1536.8
4.48	1.579	23	1541.6
4.50	1.576	24	1538.1
4.52	1.572	26	1540.6
4.54	1.582	25	1530.5
4.56	1.566	24	1535.6
4.58	1.593	24	1539.5
4.60	1.621	24	1541.1
4.62	1.606	25	1540.3
4.64	1.595	25	1541.4
4.66	1.613	25	1539.7
4.68	1.614	25	1539.7
4.70	1.597	25	1541.3
4.72	1.564	25	1537.6
4.74	1.539	24	1540.6
4.76	1.599	26	1535.4
4.78	1.586	26	1538.1
4.80	1.608	28	1538.7
4.82	1.607	28	1535.2
4.84	1.595	28	1535.5
4.86	1.601	28	1535.4
4.88	1.597	27	1536.6
4.90	1.589	28	1534.5
4.92	1.597	29	1536.7
4.94	1.598	30	1533.1
4.96	1.591	30	1531.0
4.98	1.587	30	1529.9
5.00	1.577	31	1531.4
5.02	1.587	30	1531.1
5.04	1.582	30	1532.4
5.06	1.582	30	1533.6
5.08	1.581	30	1534.8
5.10	1.586	30	1535.8
5.12	1.587	30	1534.6
5.14	1.579	31	1532.5
5.16	1.566	31	1534.0
5.18	1.568	32	1531.6
5.20	1.555	32	1532.0
5.22	1.560	33	1531.8
5.24	1.554	34	1532.0
5.26	1.570	33	1532.7
5.28	1.580	34	1531.3
5.30	1.575	35	1532.6
5.32	1.566	36	1534.0
5.34	1.567	36	1535.2
5.36	1.581	37	1538.7
5.38	1.605	37	1535.2
5.40	1.579	37	1536.0
5.42	1.579	36	1536.4
5.44	1.583	36	1538.6
5.46	1.577	36	1537.4
5.48	1.573	37	1537.7
5.50	1.579	36	1538.7
5.52	1.584	36	1534.9
5.54	1.576	37	1537.4
5.56	1.572	35	1538.7
5.58	1.571	34	1539.9
5.60	1.574	33	1539.8
5.62	1.577	33	1537.4
5.64	1.578	32	1537.4
5.66	1.582	33	1539.6
5.68	1.606	33	1539.0
5.70	1.593	32	1540.5
5.72	1.593	32	1541.7
5.74	1.611	31	1541.2
5.76	1.608	30	1541.2
5.78	1.595	29	1539.2
5.80	1.593	29	1538.2
5.82	1.603	29	1537.8
5.84	1.580	28	1539.7
5.86	1.589	29	1534.8
5.88	1.556	28	1538.0
5.90	1.542	28	1539.6
5.92	1.532	27	1538.7
5.94	1.516	27	1537.9
5.96	1.504	29	1538.3
5.98	1.614	30	1541.1
6.00	1.516	30	1536.8
6.02	1.578	30	1537.8
6.04	1.578	30	1540.1
6.06	1.574	30	1539.2
6.08	1.574	30	1538.1
6.10	1.570	29	1539.4
6.12	1.555	29	1538.6
6.14	1.565	29	1537.2
6.16	1.569	29	1535.9
6.18	1.553	30	1538.7
6.20	1.576	28	1534.5
6.22	1.557	28	1535.0
6.24	1.550	28	1536.4
6.26	1.547	27	1536.5
6.28	1.554	27	1534.7
6.30	1.536	27	1536.8
6.32	1.529	26	1535.4
6.34	1.546	26	1536.1
6.36	1.550	26	1537.2
6.38	1.551	27	1534.8
6.40	1.546	27	1537.3
6.42	1.551	28	1538.3
6.44	1.596	28	1537.0
6.46	1.583	28	1538.6
6.48	1.567	28	1539.1
6.50	1.578	28	1538.7
6.52	1.566	29	1539.1
6.54	1.560	29	1539.3
6.56	1.576	28	1536.5
6.58	1.571	29	1540.5
6.60	1.582	29	1541.0
6.62	1.607	28	1539.1
6.64	1.571	28	1539.3
6.66	1.579	28	1540.3
6.68	1.577	27	1542.7
6.70	1.580	28	1543.8
6.72	1.574	28	1544.0
6.74	1.579	27	1543.6
6.76	1.577	27	1542.5
6.78	1.579	27	1542.4
6.80	1.573	26	1541.0
6.82	1.563	26	1542.9
6.84	1.565	26	1540.1
6.86	1.558	27	1540.3
6.88	1.585	27	1542.3
6.90	1.568	28	1540.0
6.92	1.566	29	1541.6
6.94	1.588	31	1541.0
6.96	1.539	31	1543.6
6.98	1.564	31	1540.5
7.00	1.568	33	1540.4
7.02	1.576	33	1539.0
7.04	1.561	33	1538.2
7.06	1.579	32	1536.5
7.08	1.564	33	1535.8
7.10	1.553	32	1536.1
7.12	1.552	33	1536.2
7.14	1.555	32	1537.2
7.16	1.550	32	1539.7
7.18	1.581	32	1540.0
7.20	1.572	31	1540.3
7.22	1.572	31	1539.1
7.24	1.564	30	1539.3
7.26	1.572	30	1537.9
7.28	1.558	29	1539.5
7.30	1.567	29	1540.4
7.32	1.563	29	1534.5
7.34	1.558	28	1538.1
7.36	1.555	28	1538.2
7.38	1.557	28	1538.2
7.40	1.559	29	1536.9
7.42	1.572	29	1536.6
7.44	1.578	29	1536.4
7.46	1.572	29	1537.7
7.48	1.586	29	1538.9
7.50	1.583	30	1540.2
7.52	1.583	29	1541.3
7.54	1.589	30	1538.8
7.56	1.583	31	1538.8
7.58	1.583	31	1538.8
7.60	1.587	32	1538.7
7.62	1.582	32	1540.0
7.64	1.607	33	1538.1
7.66	1.601	33	1534.8
7.68	1.593	33	1535.0
7.70	1.573	34	1536.7
7.72	1.592	33	1539.7
7.74	1.605	34	1540.5
7.76	1.605	33	1540.5
7.78	1.617	32	1540.2
7.80	1.618	31	1542.5
7.82	1.629	31	1541.8
7.84	1.619	31	1542.1
7.86	1.616	31	1541.0
7.88	1.607	32	1541.3
7.90	1.595	32	1541.6
7.92	1.622	33	1540.9
7.94	1.624	33	1538.1
7.96	1.609	33	1537.3
7.98	1.621	33	1537.0
8.00	1.610	33	1537.3
8.02	1.605	32	1537.4
8.04	1.617	32	1535.9
8.06	1.609	32	1533.8
8.08	1.592	31	1533.1
8.10	1.581	32	1533.4
8.12	1.596	32	1533.0
8.14	1.595	32	1534.2
8.16	1.599	33	1534.1
8.18	1.604	32	1533.9
8.20	1.596	33	1535.3
8.22	1.607	35	1534.2
8.24	1.599	35	1532.9
8.26	1.606	36	1535.4
8.28	1.601	37	1535.2
8.30	1.607	37	1533.8
8.32	1.609	38	1532.6
8.34	1.585	38	1535.6
8.36	1.610	39	1532.6
8.38	1.600	39	1532.9
8.40	1.611	39	1532.6
8.42	1.603	39	1534.0
8.44	1.610	39	1536.1
8.46	1.619	37	1537.0
8.48	1.638	37	1536.9
8.50	1.621	37	1538.5
8.52	1.627	36	1538.3
8.54	1.617	36	1539.8
8.56	1.631	35	1540.6
8.58	1.607	35	1538.9
8.60	1.594	35	1540.5
8.62	1.617	36	1538.7
8.64	1.608	36	1536.5
8.66	1.603	36	1537.8
8.68	1.601	36	1537.9
8.70	1.597	36	1538.0
8.72	1.602	33	1537.9
8.74	1.601	34	1539.1
8.76	1.609	34	1541.2
8.78	1.615	33	1541.0
8.80	1.627	33	1544.2
8.82	1.634	32	1544.0
8.84	1.629	31	1544.2
8.86	1.639	31	1543.9
8.88	1.629	29	1541.8
8.90	1.629	28	1542.8
8.92	1.630	29	1544.0
8.94	1.651	29	1543.4
8.96	1.643	28	1537.7
8.98	1.636	29	1541.5
9.00	1.629	28	1540.5
9.02	1.620	29	1537.2
9.04	1.641	30	1535.8
9.06	1.634	31	1531.4
9.08	1.639	31	1528.9
9.10	1.630	32	1538.5
9.12	1.622	32	1536.4
9.14	1.613	32	1536.6
9.16	1.605	32	1534.5
9.18	1.598	33	1534.7
9.20	1.600	34	1533.5
9.22	1.586	34	1532.5
9.24	1.594	33	1532.3
9.26	1.602	32	1530.5
9.28	1.593	32	1531.9
9.30	1.596	32	1532.0
9.32	1.585	33	1532.2
9.34	1.563	33	1534.1
9.36	1.593	33	1533.1
9.38	1.583	33	1534.5
9.40	1.565	34	1537.4
9.42	1.594	33	1537.7
9.44	1.579	33	1537.0
9.46	1.552	32	1537.7
9.48	1.560	31	1536.3
9.50	1.561	30	1536.3
9.52	1.559	29	1537.5
9.54	1.554	27	1537.7
9.56	1.567	26	1538.5
9.58	1.564	24	1537.4
9.60	1.572	25	1536.0
9.62	1.561	24	1536.3
9.64	1.553	23	1536.5
9.66	1.550	23	1536.6
9.68	1.567	23	1535.0
9.70	1.560	23	1537.5
9.72	1.549	23	1536.7
9.74	1.547	22	1537.9
9.76	1.554	23	1537.7
9.78	1.558	23	1539.9
9.80	1.568	22	1539.7
9.82	1.565	21	1538.6
9.84	1.576	22	1537.1
9.86	1.564	21	1538.6
9.88	1.564	21	1538.6
9.90	1.574	21	1538.3
9.92	1.587	21	1537.9
9.94	1.569	20	1538.5
9.96	1.565	20	1540.9
9.98	1.580	21	1542.8
10.00	1.565	20	1543.3
10.02	1.592	20	1542.5
10.04	1.584	20	1543.9
10.06	1.593	20	1543.7
10.08	1.580	20	1544.2
10.10	1.600	21	1538.6
10.12	1.564	20	1539.6
10.14	1.589	21	1538.9
10.16	1.564	21	1538.4
10.18	1.555	21	1536.3
10.20	1.556	21	1537.5
10.22	1.578	21	1538.0
10.24	1.570	21	1539.8
10.26	1.558	21	1536.2
10.28	1.567	22	1537.1
10.30	1.592	22	1537.6
10.32	1.577	23	1539.6
10.34	1.577	23	1538.0
10.36	1.580	23	1539.5
10.38	1.589	22	1534.2
10.40	1.548	22	1536.9
10.42	1.548	21	1538.1
10.44	1.548	22	1539.2
10.46	1.548	22	1540.4
10.48	1.548	22	1540.4
10.50	1.545	23	1541.0
10.52	1.569	27	1541.0
10.54	1.599	32	1549.6
10.56	1.593	37	1609.1
10.58	1.833	41	1635.2
10.60	1.832	44	1635.3
10.62	1.688	41	1561.8
10.64	1.610	36	1543.5
10.66	1.541	31	1546.3
10.68	1.554	26	1532.0
10.70	1.554	22	1531.0
10.72	1.554	19	1535.6
10.74	1.543	18	1534.7
10.76	1.562	17	1533.3
10.78	1.563	16	1532.1
10.80	1.560	15	1532.2
10.82	1.562	15	1532.1
10.84	1.577	16	1532.9
10.86	1.567	16	1533.0
10.88	1.561	16	1530.8
10.90	1.564	15	1532.0
10.92	1.572	15	1530.3
10.94	1.574	15	1531.4
10.96	1.565	15	1530.5
10.98	1.563	15	1532.8
11.00	1.575	15	1533.7
11.02	1.593	15	1535.6
11.04	1.597	15	1534.3
11.06	1.605	16	1534.2
11.08	1.613	15	1534.0
11.10	1.610	15	1534.0
11.12	1.613	16	1533.0
11.14	1.604	15	1534.3
11.16	1.603	15	1534.2
11.18	1.606	16	1531.8
11.20	1.605	16	1533.0
11.22	1.600	17	1534.3
11.24	1.611	17	1535.2
11.26	1.619	16	1532.7
11.28	1.597	16	1534.2
11.30	1.610	16	1532.7
11.32	1.618	17	1532.5
11.34	1.598	16	1533.0
11.36	1.605	16	1532.7
11.38	1.613	15	1529.8
11.40	1.617	17	1531.2
11.42	1.621	17	1531.1
11.44	1.609	18	1532.6
11.46	1.608	17	1532.6
11.48	1.615	17	1534.8
11.50	1.623	18	1533.4
11.52	1.619	18	1532.5
11.54	1.611	19	1533.8
11.56	1.612	18	1534.0
11.58	1.614	19	1532.6
11.60	1.611	18	1531.5
11.62	1.600	18	1530.6
11.64	1.594	18	1532.1
11.66	1.611	18	1530.5
11.68	1.604	18	1530.5
11.70	1.601	18	1529.4
11.72	1.594	18	1526.9
11.74	1.591	19	1527.2
11.76	1.587	19	1526.1
11.78	1.572	19	1527.7
11.80	1.562	20	1526.7
11.82	1.574	21	1526.1
11.84	1.560	21	1525.2
11.86	1.543	20	1529.7
11.88	1.553	21	1529.0
11.90	1.560	21	1530.2
11.92	1.556	21	1530.3
11.94	1.556	21	
11.96	1.556	20	
11.98	1.556	19	
12.00	1.548	18	
12.02	1.557	17	
12.04	1.579	18	
12.06	1.589	19	
12.08	1.597	18	
12.10	1.603	19	
12.12	1.610	18	
12.14	1.608	18	
12.16	1.617	18	
12.18	1.608	17	
12.20	1.622	17	
12.22	1.614	16	
12.24	1.627	16	
12.26	1.624	16	
12.28	1.627	16	
12.30	1.630	16	
12.32	1.628	16	
12.34	1.629	16	
12.36	1.636	16	
12.38	1.620	15	
12.40	1.624	15	
12.42	1.640	16	
12.44	1.639	15	
12.46	1.629	15	
12.48	1.623	15	
12.50	1.628	15	
12.52	1.630	15	
12.54	1.616	16	
12.56	1.576	16	
12.58	1.580	16	
12.60	1.565	17	
12.62	1.571	17	
12.64	1.573	17	
12.66	1.583	16	
12.68	1.599	16	1536.4
12.70	1.580	16	1539.6
12.72	1.587	16	1538.3
12.74	1.600	17	1538.0
12.76	1.602	17	1532.9
12.78	1.596	18	1533.0
12.80	1.590	19	1532.8
12.82	1.582	18	1533.0
12.84	1.571	18	1533.3
12.86	1.581	19	1533.1
12.88	1.585	19	1534.1
12.90	1.562	18	1538.3
12.92	1.580	19	1537.8
12.94	1.571	20	1540.4
12.96	1.610	18	1540.5
12.98	1.588	17	1536.4
13.00	1.571	17	1534.5
13.02	1.558	17	1537.6
13.04	1.572	17	1537.2
13.06	1.576	17	1533.6
13.08	1.572	17	1534.9
13.10	1.572	17	1536.0
13.12	1.576	17	1535.9
13.14	1.596	17	1533.8
13.16	1.587	17	1535.6
13.18	1.597	17	1533.8
13.20	1.609	17	1534.6
13.22	1.601	17	1536.0
13.24	1.615	17	1535.6
13.26	1.633	17	1536.3
13.28	1.651	17	1535.8
13.30	1.646	17	1534.8
13.32	1.645	16	1534.8
13.34	1.644	17	1536.0
13.36	1.647	18	1535.9
13.38	1.642	17	1534.9
13.40	1.632	18	1532.8
13.42	1.636	17	1532.3
13.44	1.630	17	1532.9
13.46	1.613	19	1535.7
13.48	1.614	19	1533.3
13.50	1.611	18	1534.2
13.52	1.611	18	1534.2
13.54	1.607	19	1535.7
13.56	1.607	19	1534.2
13.58	1.616	20	1533.9
13.60	1.603	21	1532.0
13.62	1.596	21	1534.5
13.64	1.593	22	1530.8
13.66	1.588	22	1533.3
13.68	1.588	22	1534.3
13.70	1.607	22	1534.0
13.72	1.613	21	1532.4
13.74	1.605	21	1536.2
13.76	1.611	21	1537.2
13.78	1.630	21	1536.6
13.80	1.635	20	1537.8
13.82	1.622	20	1538.0
13.84	1.630	20	1538.0
13.86	1.624	20	1540.3
13.88	1.652	20	1537.2
13.90	1.640	20	1543.6
13.92	1.636	21	1542.3
13.94	1.642	22	1543.4
13.96	1.645	22	1548.0
13.98	1.674	24	1552.0
14.00	1.698	27	1557.3
14.02	1.684	29	1567.4
14.04	1.723	29	1588.5
14.06	1.750	28	1591.1
14.08	1.739	21	1593.2
14.10	1.728	17	1596.0
14.12	1.717	16	1598.8
14.14	1.708	17	1601.7
14.16	1.697	20	1604.6
14.18	1.685	24	1611.4
14.20	1.708	28	1612.0
14.22	1.684	29	1620.9
14.24	1.725	28	1589.7
14.26	1.725	24	1574.8
14.28	1.725	23	1586.0
14.30	1.725	24	1607.5
14.32	1.725	28	1633.7
14.34	1.725	30	1633.7
14.36	1.701	32	1649.3
14.38	1.809	31	1639.0
14.40	1.671	28	1565.4
14.42	1.642	24	1552.9
14.44	1.620	18	1551.2
14.46	1.632	15	1552.0
14.48	1.644	13	1551.8
14.50	1.635	12	1548.7
14.52	1.645	12	1544.8
14.54	1.629	11	1543.9
14.56	1.628	11	1542.8
14.58	1.636	11	1541.4
14.60	1.626	11	1539.3
14.62	1.622	11	1535.9
14.64	1.610	11	1538.6
14.66	1.611	13	1535.8
14.68	1.609	12	1537.6
14.70	1.619	12	1537.2
14.72	1.612	12	1533.5
14.74	1.600	13	1532.6
14.76	1.603	12	1532.5
14.78	1.594	12	1532.8
14.80	1.577	12	1534.5
14.82	1.587	12	1533.0
14.84	1.598	12	1532.7
14.86	1.560	12	1536.1
14.88	1.590	12	
14.90	1.605	12	
14.92	1.588	12	
14.94	1.550	12	
14.96	1.575	12	
14.98	1.588	10	
15.00	1.597	9	
15.02	1.571	9	
15.04	1.546	10	
15.06	1.571	10	
15.08	1.559	11	
15.10	1.570	10	
15.12	1.579	10	
15.14	1.600	10	1532.6
15.16	1.619	9	1534.4
15.18	1.601	10	1537.1
15.20	1.606	10	1535.6
15.22	1.613	10	1539.3
15.24	1.625	11	1537.6
15.26	1.633	11	1538.2
15.28	1.650	10	1538.9
15.30	1.657	11	1533.9
15.32	1.640	10	1536.8
15.34	1.645	10	1535.5
15.36	1.654	10	1532.8
15.38	1.654	11	1532.9
15.40	1.612	10	1534.1
15.42	1.617	10	1537.5
15.44	1.655	10	1534.0
15.46	1.662	9	1532.6
15.48	1.657	9	1532.8
15.50	1.651	9	1531.8
15.52	1.651	9	1532.9
15.54	1.658	8	1533.9
15.56	1.660	8	1533.8
15.58	1.673	8	1533.5
15.60	1.675	9	1533.4
15.62	1.669	9	1534.6
15.64	1.670	9	1531.2
15.66	1.645	10	1531.8
15.68	1.635	10	1529.7
15.70	1.635	10	1531.3
15.72	1.616	11	1530.2
15.74	1.632	11	1528.6
15.76	1.612	11	1528.0
15.78	1.599	12	1527.2
15.80	1.596	12	1528.5
15.82	1.592	11	1527.4
15.84	1.581	12	1527.7
15.86	1.578	12	1530.5
15.88	1.575	12	1526.8
15.90	1.599	12	1529.6
15.92	1.597	12	1529.6
15.94	1.606	11	1528.2
15.96	1.608	12	1529.1
15.98	1.590	11	1526.1
16.00	1.575	11	1528.1
16.02	1.566	11	1530.7
16.04	1.565	11	1529.6
16.06	1.594	11	1529.9
16.08	1.590	11	1532.4
16.10	1.615	11	1531.7
16.12	1.616	11	1531.2
16.14	1.609	11	1530.7
16.16	1.603	10	1533.2
16.18	1.608	10	1533.0
16.20	1.620	11	1535.0
16.22	1.621	12	1533.5
16.24	1.631	12	1530.0
16.26	1.624	12	1528.5
16.28	1.608	12	1530.1
16.30	1.610	12	1530.1
16.32	1.622	12	1530.9
16.34	1.595	12	1530.5
16.36	1.606	13	1530.2
16.38	1.590	13	1531.8
16.40	1.585	13	1533.1
16.42	1.615	13	1533.4
16.44	1.619	13	1532.5
16.46	1.619	13	1533.7
16.48	1.621	13	1531.3
16.50	1.622	11	1531.3
16.52	1.626	10	1531.2
16.54	1.636	12	1537.9
16.56	1.650	12	1538.9
16.58	1.666	13	1539.6
16.60	1.661	14	1536.2
16.62	1.646	15	1533.1
16.64	1.638	15	1532.1
16.66	1.626	15	1533.7
16.68	1.616	15	1531.2
16.70	1.622	14	1531.0
16.72	1.598	15	1533.2
16.74	1.597	15	1528.2
16.76		15	
