/* DATA DESCRIPTION:
Citation:	Hodell, David A; Charles, Christopher D; Curtis, Jason H; Mortyn, P Graham; Ninnemann, Ulysses S; Venz, Kathryn A (2003): (Table T4) Stable oxygen and carbon isotope ratios of benthic and planktonic foraminifera and carbonate concentrations of sediment core TTN057-6 in the South Atlantic. PANGAEA, https://doi.org/10.1594/PANGAEA.218129, 
	In supplement to: Hodell, DA et al. (2003): Data Report: Oxygen isotope stratigraphy of ODP Leg 117 sites 1088, 1089, 1090, 1093, and 1094. In: Gersonde, R; Hodell, DA; Blum, P (eds.) Proceedings of the Ocean Drilling Program, Scientific Results, College Station, TX (Ocean Drilling Program), 177, 1-26, https://doi.org/10.2973/odp.proc.sr.177.120.2003
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -42.913300 * LONGITUDE: 8.600000
	MINIMUM DEPTH, sediment/rock: 0.03 m * MAXIMUM DEPTH, sediment/rock: 12.04 m
Event(s):	TN057-6-PC4 * LATITUDE: -42.913300 * LONGITUDE: 8.600000 * ELEVATION START: -3751.0 m * ELEVATION END: -3701.6 m * Recovery: 12.76 m * METHOD/DEVICE: Piston corer (PC)
Comment:	Depth is composite depth (mcd). Stable isotope analyses were conducted at the University of Florida (UF)
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Sample code/label (Sample label) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	Cibicidoides wuellerstorfi, δ18O [‰ PDB] (C. wuellerstorfi δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 252
	Cibicidoides wuellerstorfi, δ13C [‰ PDB] (C. wuellerstorfi δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 252
	Cibicidoides kullenbergi, δ18O [‰ PDB] (C. kullenbergi δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 252
	Cibicidoides kullenbergi, δ13C [‰ PDB] (C. kullenbergi δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 252
	Globigerina bulloides, δ18O [‰ PDB] (G. bulloides δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 252
	Globigerina bulloides, δ13C [‰ PDB] (G. bulloides δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 252
	Neogloboquadrina pachyderma sinistral, δ18O [‰ PDB] (N. pachyderma s δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 252
	Neogloboquadrina pachyderma sinistral, δ13C [‰ PDB] (N. pachyderma s δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 252
	Calcium carbonate [%] (CaCO3) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Coulometric titration (Knap et al., 1996, IOC Manuals and Guides 29, UNESCO) (URI: hdl:10013/epic.27912.d001)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	3012 data points
*/
Depth [m]	Age [ka BP]	Sample label	C. wuellerstorfi δ18O [‰ PDB]	C. wuellerstorfi δ13C [‰ PDB]	C. kullenbergi δ18O [‰ PDB]	C. kullenbergi δ13C [‰ PDB]	G. bulloides δ18O [‰ PDB]	G. bulloides δ13C [‰ PDB]	N. pachyderma s δ18O [‰ PDB]	N. pachyderma s δ13C [‰ PDB]	CaCO3 [%]
1.12	31.26	177-TTNO57-6-PC4-VIII,9-11	3.87	-0.38			3.04	0.48	2.70	-0.54	61.7
1.15	32.10	177-TTNO57-6-PC4-VIII,12-14					2.86	0.13			65.8
1.18	32.94	177-TTNO57-6-PC4-VIII,15-17	3.97	-0.40			2.90	-0.02	2.61	-0.23	65.7
1.21	33.79	177-TTNO57-6-PC4-VIII,18-20	3.81	0.01			3.06	0.04			66.3
1.24	34.63	177-TTNO57-6-PC4-VIII,21-23	3.80	-0.17			3.13	0.27			70.6
1.27	35.47	177-TTNO57-6-PC4-VIII,24-26	3.83	0.03			2.97	-0.22	2.68	-0.08	73.4
1.30	36.31	177-TTNO57-6-PC4-VIII,27-29	3.71	-0.35			2.91	-0.08			75.6
1.33	37.15	177-TTNO57-6-PC4-VIII,30-32	3.79	-0.15			2.66	-0.40	2.73	-0.10	73.2
1.36	37.99	177-TTNO57-6-PC4-VIII,33-35	3.79	-0.16			2.75	0.03	2.44	-0.40	70.3
1.39	38.83	177-TTNO57-6-PC4-VIII,36-38	3.84	-0.25			2.79	-0.40			71.3
1.42	39.67	177-TTNO57-6-PC4-VIII,39-41					3.01	0.18	2.76	-0.39	69.9
1.45	40.51	177-TTNO57-6-PC4-VIII,42-44	3.83	-0.49			2.60	-0.04			67.0
1.48	41.35	177-TTNO57-6-PC4-VIII,45-47					2.90	0.21	2.80	-0.22	65.1
1.51	42.19	177-TTNO57-6-PC4-VIII,48-50					2.81	0.01	2.73	-0.09	62.1
1.54	43.03	177-TTNO57-6-PC4-VIII,51-53			3.94	-0.97	2.91	-0.15			63.1
1.57	43.87	177-TTNO57-6-PC4-VIII,54-56					2.77	0.07	2.64	-0.40	62.8
1.60	44.71	177-TTNO57-6-PC4-VIII,57-59					2.84	-0.10	2.72	-0.27	60.2
1.63	45.55	177-TTNO57-6-PC4-VIII,60-62					2.73	0.21	2.69	-0.25	63.6
1.66	46.40	177-TTNO57-6-PC4-VIII,63-65					2.58	-0.29	2.42	-0.55	64.3
1.69	47.24	177-TTNO57-6-PC4-VIII,66-68					2.75	0.10	2.62	-0.25	66.9
1.72	48.08	177-TTNO57-6-PC4-VIII,69-71					2.63	-0.03	2.53	-0.20	67.8
1.75	48.92	177-TTNO57-6-PC4-VIII,72-74					2.62	-0.19			62.2
1.78	49.76	177-TTNO57-6-PC4-VIII,75-77					2.74	-0.01	2.56	-0.23	59.6
1.81	50.60	177-TTNO57-6-PC4-VIII,78-80					2.70	-0.02			59.1
1.84	51.44	177-TTNO57-6-PC4-VIII,81-83					2.67	0.09	2.62	-0.40	56.3
1.87	52.28	177-TTNO57-6-PC4-VIII,84-86	3.64	-0.31			2.63	-0.10	2.65	-0.31	56.4
1.90	53.12	177-TTNO57-6-PC4-VIII,87-89					2.57	-0.08	2.63	-0.10	63.1
1.93	53.96	177-TTNO57-6-PC4-VIII,90-92					2.50	-0.32	2.55	-0.24	73.1
1.96	54.80	177-TTNO57-6-PC4-VIII,93-95					2.52	-0.34			75.9
1.99	55.64	177-TTNO57-6-PC4-VIII,96-98					2.58	-0.40	2.41	-0.15	74.5
2.02	56.48	177-TTNO57-6-PC4-VIII,99-101					2.50	-0.49	2.39	-0.39	74.4
2.05	57.32	177-TTNO57-6-PC4-VIII,102-104					2.61	-0.23	2.20	-0.49	72.0
2.08	58.17	177-TTNO57-6-PC4-VIII,105-107	3.81	-0.31			2.54	-0.34	2.32	-0.41	76.6
2.11	59.01	177-TTNO57-6-PC4-VIII,108-110					2.50	-0.41	2.33	-0.41	74.5
2.14	59.85	177-TTNO57-6-PC4-VIII,111-113					2.44	-0.30	2.23	-0.39	73.7
2.17	60.69	177-TTNO57-6-PC4-VIII,114-116					2.42	-0.82	2.32	-0.30	75.5
2.20	61.53	177-TTNO57-6-PC4-VIII,117-119	3.86	-0.44			2.85	-0.06	2.21	-0.50	71.0
2.23	62.37	177-TTNO57-6-PC4-VIII,120-122					2.80	-0.64	2.37	-0.56	61.4
2.26	63.21	177-TTNO57-6-PC4-VIII,123-125					2.57	-0.76	2.27	-0.64	60.3
2.29	64.05	177-TTNO57-6-PC4-VIII,126-128					2.83	-0.59			64.6
2.32	64.89	177-TTNO57-6-PC4-VIII,129-131	3.70	-0.33			2.67	-0.39	2.34	-0.83	62.1
2.35	65.73	177-TTNO57-6-PC4-VIII,132-134					3.02	0.01	2.56	-0.13	63.7
2.38	66.57	177-TTNO57-6-PC4-VIII,135-137			3.70	-1.22	3.19	0.15			62.9
2.41	67.41	177-TTNO57-6-PC4-VIII,138-140			3.75	-1.06	2.77	0.00	2.47	-0.50	64.2
2.44	68.25	177-TTNO57-6-PC4-VIII,141-143			3.83	-1.08	2.94	0.11	2.59	-0.70	67.4
2.47	69.09	177-TTNO57-6-PC4-VIII,144-146			3.86	-1.15	2.90	0.19	2.55	-0.12	68.3
2.50	69.93	177-TTNO57-6-PC4-VIII,147-149			3.88	-0.88	2.64	-0.41	2.69	0.00	68.6
2.54	70.92	177-TTNO57-6-PC4-VII,0-2			3.83	-1.18	2.87	0.33			68.4
2.57	71.76	177-TTNO57-6-PC4-VII,3-5			3.78	-1.16	2.94	0.14	2.56	0.16	71.4
2.60	72.60	177-TTNO57-6-PC4-VII,6-8			3.70	-0.76	2.73	0.27			79.3
2.63	73.44	177-TTNO57-6-PC4-VII,9-11			3.69	-0.75	2.54	-0.12	2.57	-0.19	80.9
2.66	74.28	177-TTNO57-6-PC4-VII,12-14			3.71	-0.38	2.38	-0.22	2.69	-0.04	82.5
2.69	75.12	177-TTNO57-6-PC4-VII,15-17	3.43	0.28	3.37	-0.38	2.67	0.00	2.45	0.25	77.8
2.72	75.96	177-TTNO57-6-PC4-VII,18-20	3.53	0.33	3.54	-0.41	2.62	0.16	2.39	0.43	79.4
2.75	76.80	177-TTNO57-6-PC4-VII,21-23	3.59	0.36	3.54	0.02	2.66	0.16			77.1
2.78	77.64	177-TTNO57-6-PC4-VII,24-26	3.52	0.34			2.39	-0.15	2.37	0.62	79.8
2.81	78.48	177-TTNO57-6-PC4-VII,27-29	3.45	0.21			2.51	0.18	2.33	0.66	81.3
2.84	79.32	177-TTNO57-6-PC4-VII,30-32	3.40	0.06			2.33	0.23			83.8
2.87	80.16	177-TTNO57-6-PC4-VII,33-35	3.44	0.24	3.46	0.22	2.52	0.19	2.19	0.51	82.0
2.90	81.00	177-TTNO57-6-PC4-VII,36-38	3.29	0.25			2.45	0.22	2.19	0.48	83.4
2.93	81.84	177-TTNO57-6-PC4-VII,39-41	3.45	0.28	3.29	0.17	2.55	0.18	2.19	0.57	84.0
2.96	82.69	177-TTNO57-6-PC4-VII,42-44	3.33	0.24			2.40	0.18	2.10	0.63	84.3
2.99	83.53	177-TTNO57-6-PC4-VII,45-47	3.29	0.47			2.34	0.05	1.92	0.34	86.4
3.02	84.37	177-TTNO57-6-PC4-VII,48-50	3.13	0.35	3.34	0.33	2.32	0.29	1.94	0.42	86.9
3.05	85.21	177-TTNO57-6-PC4-VII,51-53	3.25	0.24	3.27	0.31	2.28	0.05	2.03	0.36	87.1
3.08	86.05	177-TTNO57-6-PC4-VII,54-56	3.13	0.39			2.29	-0.04	1.85	0.33	86.7
3.11	86.89	177-TTNO57-6-PC4-VII,57-59	3.22	0.21			2.10	0.11	1.90	0.34	86.8
3.14	87.73	177-TTNO57-6-PC4-VII,60-62	3.09	0.02			2.22	0.23	1.97	0.34	85.7
3.17	88.57	177-TTNO57-6-PC4-VII,63-65	3.08	0.03			2.22	0.01	1.98	0.32	83.7
3.20	89.41	177-TTNO57-6-PC4-VII,66-68					2.29	0.12	2.07	0.31	80.0
3.23	90.25	177-TTNO57-6-PC4-VII,69-71	3.36	0.34			2.62	0.17	2.16	0.28	81.9
3.26	91.09	177-TTNO57-6-PC4-VII,72-74					2.56	0.31	2.27	0.28	80.3
3.29	91.93	177-TTNO57-6-PC4-VII,75-77					2.51	0.14	2.31	0.18	77.8
3.32	92.77	177-TTNO57-6-PC4-VII,78-80	3.41	0.30			2.63	0.17	2.15	0.10	77.3
3.35	93.61	177-TTNO57-6-PC4-VII,81-83					2.42	-0.11	2.03	0.13	84.8
3.38	94.46	177-TTNO57-6-PC4-VII,84-86					2.52	0.07	2.09	0.32	83.2
3.41	95.30	177-TTNO57-6-PC4-VII,87-89					2.56	0.08			85.3
3.44	96.14	177-TTNO57-6-PC4-VII,90-92					2.59	0.08	1.81	0.40	85.1
3.47	96.98	177-TTNO57-6-PC4-VII,93-95					2.45	0.15	1.73	0.40	85.3
3.50	97.82	177-TTNO57-6-PC4-VII,96-98					2.36	0.03	1.84	0.17	83.8
3.53	98.66	177-TTNO57-6-PC4-VII,99-101					2.68	0.29	1.92	0.32	81.2
3.56	99.50	177-TTNO57-6-PC4-VII,102-104					2.40	0.01	1.74	0.38	79.4
3.59	100.34	177-TTNO57-6-PC4-VII,105-107					2.43	0.11	1.81	0.23	79.5
3.62	101.18	177-TTNO57-6-PC4-VII,108-110					2.43	0.11	1.88	0.29	81.4
3.65	102.02	177-TTNO57-6-PC4-VII,111-113					2.37	-0.11	1.72	0.48	82.3
3.68	102.86	177-TTNO57-6-PC4-VII,114-116					2.25	-0.02	1.97	0.44	83.3
3.71	103.70	177-TTNO57-6-PC4-VII,117-119					2.36	-0.19	1.92	0.25	79.7
3.74	104.54	177-TTNO57-6-PC4-VII,120-122					2.26	0.08	1.92	0.34	78.8
3.77	105.38	177-TTNO57-6-PC4-VII,123-125	3.37	-0.10			2.32	-0.06	2.09	0.35	76.2
3.80	106.22	177-TTNO57-6-PC4-VII,126-128	3.39	0.15	3.30	0.01	2.30	-0.08	2.05	0.22	78.7
3.83	107.07	177-TTNO57-6-PC4-VII,129-131					2.40	0.17	2.06	0.35	81.4
3.86	107.91	177-TTNO57-6-PC4-VII,132-134					2.37	-0.05	2.03	0.34	77.6
3.89	108.75	177-TTNO57-6-PC4-VII,135-137	3.30	0.02			2.32	-0.03	1.96	0.20	78.8
3.92	109.59	177-TTNO57-6-PC4-VII,138-140			3.06	0.24	2.37	0.06	1.99	0.15	74.7
3.95	110.43	177-TTNO57-6-PC4-VII,141-143	3.05	0.08	3.40	0.26	2.38	0.01	2.02	0.27	79.3
3.98	111.27	177-TTNO57-6-PC4-VII,144-146	3.11	0.26	3.23	0.16	2.35	0.19	2.03	0.40	81.1
4.01	112.11	177-TTNO57-6-PC4-VII,147-149			3.33	0.21	2.31	-0.33	1.86	0.32	77.3
4.05	113.23	177-TTNO57-6-PC4-VI,0-2	2.86	0.39	3.42	0.18	2.16	0.02	1.83	0.32	85.8
4.08	114.07	177-TTNO57-6-PC4-VI,3-5			3.00	0.41	2.27	0.21	1.61	0.36	83.7
4.11	114.91	177-TTNO57-6-PC4-VI,6-8	2.94	0.20	3.09	0.06	2.17	0.32	1.50	0.31	82.6
4.14	115.75	177-TTNO57-6-PC4-VI,9-11	2.87	0.35	3.08	0.18	2.20	0.25	1.64	0.55	84.9
4.17	116.59	177-TTNO57-6-PC4-VI,12-14	2.87	0.06			1.91	0.36	1.36	0.57	87.5
4.20	117.43	177-TTNO57-6-PC4-VI,15-17	2.74	0.45			1.64	0.10	1.40	0.29	87.5
4.23	118.27	177-TTNO57-6-PC4-VI,18-20	2.73	0.40	2.65	0.30	1.69	0.43	1.55	0.33	86.6
4.26	119.12	177-TTNO57-6-PC4-VI,21-23	2.59	0.36	2.74	0.14	1.63	-0.01	1.69	0.14	84.4
4.29	119.96	177-TTNO57-6-PC4-VI,24-26	3.09	-0.02			1.31	-0.14	1.27	0.22	84.8
4.32	120.80	177-TTNO57-6-PC4-VI,27-29	2.78	0.15	2.52	0.07	1.39	-0.37	1.46	-0.09	84.7
4.35	121.64	177-TTNO57-6-PC4-VI,30-32	2.48	0.08	2.53	0.07	1.26	-0.61	1.41	-0.04	82.7
4.38	122.48	177-TTNO57-6-PC4-VI,33-35	2.65	0.16	2.52	-0.09	1.04	-0.51	1.88	-0.60	85.1
4.41	123.32	177-TTNO57-6-PC4-VI,36-38	2.56	0.13	2.58	0.04	1.46	-0.70	1.66	0.08	82.6
4.44	124.16	177-TTNO57-6-PC4-VI,39-41	2.53	-0.02	2.63	0.06	1.51	-0.42	1.69	-0.28	82.2
4.47	125.00	177-TTNO57-6-PC4-VI,42-44	2.52	-0.02	2.63	0.11	1.79	-0.06	1.99	-0.65	79.6
4.50	126.40	177-TTNO57-6-PC4-VI,45-47	3.44	-0.06	2.80	0.10	1.61	-0.99	2.28	-0.53	82.3
4.53	127.81	177-TTNO57-6-PC4-VI,48-50	3.54	-0.30			1.80	-1.17	2.19	-0.97	81.0
4.56	129.21	177-TTNO57-6-PC4-VI,51-53	3.66	-0.27			1.93	-0.99	2.21	-0.72	82.4
4.59	130.61	177-TTNO57-6-PC4-VI,54-56	3.90	-0.16			2.03	-1.14	2.21	-0.81	83.8
4.62	132.01	177-TTNO57-6-PC4-VI,57-59	3.86	-0.20			1.94	-1.01	2.25	-0.68	85.4
4.65	133.42	177-TTNO57-6-PC4-VI,60-62	3.99	-0.18			2.60	-0.80	2.13	-0.86	80.1
4.68	134.82	177-TTNO57-6-PC4-VI,63-65	4.13	-0.25			2.47	-0.86	2.39	-1.02	81.8
4.71	136.22	177-TTNO57-6-PC4-VI,66-68	3.55	0.10			2.19	-1.06	2.62	-0.98	77.9
4.74	137.62	177-TTNO57-6-PC4-VI,69-71	4.11	-0.21			2.98	-0.61	2.59	-1.21	79.3
4.77	139.03	177-TTNO57-6-PC4-VI,72-74					3.22	-0.67	2.59	-1.29	76.6
4.80	140.43	177-TTNO57-6-PC4-VI,75-77	3.98	-0.20			3.12	-0.59	2.89	-0.93	75.8
4.83	141.83	177-TTNO57-6-PC4-VI,80-82	4.27	-0.18			2.88	-0.70	2.60	-1.08	73.3
4.86	143.23	177-TTNO57-6-PC4-VI,81-83					3.09	-0.65	2.68	-0.84	75.9
4.89	144.64	177-TTNO57-6-PC4-VI,84-86					2.93	-1.00	2.76	-0.93	73.9
4.92	146.04	177-TTNO57-6-PC4-VI,87-89	4.31	-0.32			3.04	-0.82	2.72	-0.82	72.3
4.95	146.97	177-TTNO57-6-PC4-VI,90-92			4.16	-1.09	2.74	-1.10	2.80	-0.91	70.8
4.98	147.90	177-TTNO57-6-PC4-VI,93-95					3.13	-0.71	2.66	-1.35	71.8
5.01	148.83	177-TTNO57-6-PC4-VI,96-98	4.21	-0.85			2.99	-0.60	2.72	-1.06	69.2
5.04	149.76	177-TTNO57-6-PC4-VI,99-101					3.07	-0.55	2.77	-0.83	69.9
5.07	150.69	177-TTNO57-6-PC4-VI,102-104	4.12	-0.44			3.08	-0.86	2.75	-0.89	67.1
5.10	151.63	177-TTNO57-6-PC4-VI,105-107	4.15	-0.59			2.64	-0.39	2.82	-0.94	66.6
5.13	152.56	177-TTNO57-6-PC4-VI,108-110			4.11	-1.14	3.20	-0.47	2.54	-1.14	63.3
5.16	153.49	177-TTNO57-6-PC4-VI,111-113	4.12	-0.35			3.14	0.07	2.68	-0.50	63.9
5.19	154.42	177-TTNO57-6-PC4-VI,114-116					3.37	-0.30	2.76	-0.97	63.3
