/* DATA DESCRIPTION:
Citation:	Thomas, Nicola C; Bradbury, Harold J; Hodell, David A (2022): Determination of stable isotopes of IODP Site 339-U1385. PANGAEA, https://doi.org/10.1594/PANGAEA.945863, 
	In: Thomas, NC et al. (2022): Reconstructed paleo-oxygen concentration, stable isotope measurements and Gaussian interpolated Δδ13C obtained from the IODP Site 339-U1385 for the past 1.5 Ma, including trace element analyses and Uvigerina spp. abundance over MIS 27-21. PANGAEA, https://doi.org/10.1594/PANGAEA.945872
Keyword(s):	Biological pump; Ice core; Inorganic carbon storage; MPT; Oxygen concentration
Coverage:	LATITUDE: 37.571416 * LONGITUDE: -10.126027
	DATE/TIME START: 2011-11-25T00:00:00 * DATE/TIME END: 2011-11-25T00:00:00
	MINIMUM ELEVATION: -2587.0 m * MAXIMUM ELEVATION: -2587.0 m
Event(s):	339-U1385 * LATITUDE: 37.571416 * LONGITUDE: -10.126027 * DATE/TIME: 2011-11-25T00:00:00 * ELEVATION: -2587.0 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE)
Parameter(s):	Depth, composite revised, corrected [crmcd] (Depth corr cr) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * METHOD/DEVICE: IODP Depth Scale Terminology (URI: hdl:10013/epic.50267.d001) * COMMENT: IODP 339-U1385 Depth (crmcd) Gint Age (ka BP)
	AGE [ka BP] (Age) * GEOCODE * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * METHOD/DEVICE: Age model, LR04 Lisiecki & Raymo (2005) (URI: https://doi.org/10.1029/2004PA001071)
	Cibicidoides wuellerstorfi, δ18O [‰ PDB] (C. wuellerstorfi δ18O) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * COMMENT: vs VPDB
	Cibicidoides wuellerstorfi, δ13C [‰ PDB] (C. wuellerstorfi δ13C) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * COMMENT: vs VPDB
	Globobulimina affinis, δ18O [‰ PDB] (G. affinis δ18O) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * COMMENT: vs VPDB
	Globobulimina affinis, δ13C [‰ PDB] (G. affinis δ13C) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * COMMENT: vs VPDB
	Δδ13C, gradient [‰ PDB] (Δδ13C grad) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * COMMENT: Between Cibicidoides wuellerstorfi and Globobulimina affinis [vs VPDB]
	Oxygen [µmol/kg] (O2) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * METHOD/DEVICE: Calculated according to Hoogakker et al., 2015 (URI: https://doi.org/10.1038/ngeo2317)
	Oxygen [µmol/kg] (O2) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * METHOD/DEVICE: Calculated according to Hoogakker et al., 2015 (URI: https://doi.org/10.1038/ngeo2317) * COMMENT: Truncated
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	27590 data points
*/
Depth corr cr [crmcd] (IODP 339-U1385 Depth (crmcd) ...)	Age [ka BP] (Age model, LR04 Lisiecki & Ra...)	C. wuellerstorfi δ18O [‰ PDB] (vs VPDB)	C. wuellerstorfi δ13C [‰ PDB] (vs VPDB)	G. affinis δ18O [‰ PDB] (vs VPDB)	G. affinis δ13C [‰ PDB] (vs VPDB)	Δδ13C grad [‰ PDB] (Between Cibicidoides wuellers...)	O2 [µmol/kg] (Calculated according to Hooga...)	O2 [µmol/kg] (Truncated, Calculated accordi...)
25.37	160.53	3.95	0.02	5.280	-2.08	2.10	241.09	235.00
25.45	161.26	4.06	0.64	5.250	-2.33	2.97	376.72	235.00
25.49	161.63	4.08	0.49	5.110	-2.00	2.49	302.81	235.00
25.53	161.99	3.75	0.05	5.070	-2.23	2.28	269.06	235.00
25.57	162.35	3.71	-0.12	5.020	-1.91	1.79	192.50	192.50
25.61	162.72	4.06	0.17	5.120	-1.89	2.06	235.00	235.00
25.69	163.45	4.18	0.39	5.080	-1.88	2.27	268.28	235.00
25.77	164.17	4.04	0.01	5.090	-1.79	1.80	194.53	194.53
25.81	164.54	4.08	0.32	4.460	-2.08	2.40	287.66	235.00
25.85	164.90	4.07	0.39	5.270	-1.86	2.25	264.22	235.00
25.89	165.27	4.24	0.49	5.200	-1.94	2.43	293.44	235.00
25.91	165.43	4.04	0.53	5.290	-1.94	2.47	298.75	235.00
25.91	165.45	4.15	0.31	5.240	-1.97	2.28	270.16	235.00
25.93	165.63	4.02	0.56	5.210	-1.95	2.51	305.16	235.00
25.95	165.81	3.95	0.63	5.110	-1.72	2.35	279.84	235.00
25.95	165.81	4.12	0.57	5.230	-1.91	2.48	301.09	235.00
25.97	165.99	4.05	0.57	5.100	-1.96	2.53	308.13	235.00
25.99	166.19	3.94	0.62	5.140	-1.82	2.44	294.53	235.00
26.01	166.36	4.00	0.45	4.990	-1.95	2.40	288.13	235.00
26.03	166.57	4.06	0.46	5.000	-2.02	2.48	300.16	235.00
26.05	166.72	4.03	0.61	5.050	-2.00	2.61	320.94	235.00
26.08	166.95	4.08	0.57	5.020	-1.84	2.41	290.16	235.00
26.09	167.09	3.99	0.63	4.890	-1.98	2.61	321.09	235.00
26.11	167.27	3.90	0.35	4.900	-1.97	2.32	276.25	235.00
26.12	167.34	3.80	0.65	4.940	-1.86	2.51	305.16	235.00
26.16	167.72	3.95	0.43	5.000	-2.12	2.55	311.88	235.00
26.20	168.10	3.87	0.41	4.680	-2.29	2.70	335.31	235.00
26.26	168.67	3.94	0.45	4.760	-2.20	2.65	327.81	235.00
26.29	168.86	3.70	0.31	4.640	-2.50	2.81	352.34	235.00
26.37	169.63	3.74	0.15	4.790	-2.29	2.44	294.69	235.00
26.49	170.77	3.87	0.38	5.030	-1.85	2.23	261.14	235.00
26.74	173.00	3.93	0.06	4.980	-1.74	1.80	194.59	194.59
26.78	173.37	4.03	-0.17	4.970	-2.55	2.38	285.19	235.00
26.82	173.73	3.93	0.11	5.090	-2.51	2.62	322.40	235.00
26.86	174.09	3.87	-0.01	5.110	-2.34	2.33	277.23	235.00
26.90	174.46	4.04	0.14	5.170	-1.62	1.76	188.47	188.47
26.98	175.19	3.83	-0.31	5.090	-2.07	1.76	187.50	187.50
27.02	175.55	4.01	0.04	4.800	-2.04	2.08	238.48	235.00
27.06	175.91	3.95	-0.14	4.870	-2.18	2.04	231.97	231.97
27.08	176.10	3.83	0.14	4.700	-2.10	2.24	262.64	235.00
27.20	177.19	4.18	0.35	5.130	-1.97	2.32	276.25	235.00
27.24	177.55	4.23	0.43	5.200	-1.94	2.37	283.28	235.00
27.28	177.92	3.90	0.27	5.150	-1.97	2.24	263.28	235.00
27.32	178.28	4.31	0.27	5.070	-1.83	2.10	241.65	235.00
27.36	178.64	4.16	0.22	5.300	-1.64	1.86	204.47	204.47
27.38	178.83	4.19	0.39	5.290	-1.77	2.16	251.26	235.00
27.42	179.19	4.12	0.17	5.230	-2.81	2.98	378.23	235.00
27.46	179.55	4.06	0.31	5.060	-2.01	2.32	275.31	235.00
27.52	180.10	4.10	0.40	4.840	-2.16	2.56	313.59	235.00
27.56	180.46	4.13	0.27	4.830	-1.94	2.21	259.06	235.00
27.58	180.65	4.02	0.39	5.120	-1.99	2.38	284.84	235.00
27.62	181.01	4.02	0.42	5.030	-2.12	2.54	310.63	235.00
27.66	181.37	3.94	0.36	5.070	-2.16	2.52	307.19	235.00
27.70	181.74	4.00	0.54	4.540	-1.78	2.32	275.16	235.00
27.72	181.92	3.84	0.37	4.710	-2.07	2.44	295.16	235.00
27.80	182.65	3.84	0.69	4.830	-2.13	2.82	354.22	235.00
27.90	183.56	3.74	0.70	3.990	-2.26	2.96	375.94	235.00
27.92	183.74	3.75	0.74	4.240	-2.28	3.02	385.16	235.00
27.98	184.29	3.48	0.55	4.590	-2.57	3.12	400.30	235.00
28.00	184.47	3.49	0.64	4.620	-2.37	3.01	383.94	235.00
28.12	185.56	3.52	0.44	4.250	-2.42	2.86	359.80	235.00
28.20	186.29	3.01	0.12	4.070	-2.49	2.61	321.74	235.00
28.48	188.84	3.22	0.72	4.120	-2.19	2.91	368.45	235.00
28.52	189.20	3.52	0.35	4.360	-2.65	3.00	381.66	235.00
28.66	190.47	3.38	0.72	4.310	-1.97	2.69	333.28	235.00
28.70	190.84	3.26	0.84	4.090	-3.49	4.33	590.08	235.00
28.74	191.21	3.33	0.74	4.050	-2.02	2.76	344.06	235.00
28.86	192.38	2.85	0.80	3.530	-2.18	2.98	378.38	235.00
28.92	192.96	2.77	0.75	4.000	-2.27	3.02	385.63	235.00
28.96	193.35	3.00	0.74	3.850	-2.18	2.92	369.38	235.00
29.18	195.49	2.83	0.47	3.700	-2.35	2.82	354.06	235.00
29.34	197.05	3.05	0.53	3.910	-2.33	2.86	359.85	235.00
29.46	198.22	2.79	0.61	3.870	-2.48	3.09	396.41	235.00
29.52	198.80	2.90	0.44	3.710	-2.63	3.07	392.97	235.00
29.54	199.00	2.84	0.30	3.700	-2.44	2.74	340.94	235.00
29.62	199.77	3.32	0.52	4.270	-2.26	2.78	348.40	235.00
29.66	200.16	3.14	0.60	4.290	-2.02	2.62	322.52	235.00
29.68	200.36		0.80	4.150	-2.11	2.91	368.28	235.00
29.74	200.94	3.32	0.86	4.130	-2.01	2.87	362.34	235.00
29.80	201.53	3.25	0.80	4.050	-1.94	2.74	341.41	235.00
29.82	201.72	3.13	0.77	4.250	-2.00	2.77	346.09	235.00
29.86	202.11	3.29	0.73	4.110	-2.03	2.76	343.91	235.00
29.90	202.50	3.17	0.75	4.160	-2.03	2.78	347.97	235.00
29.94	202.89	3.18	0.87	4.250	-2.06	2.93	371.09	235.00
29.98	203.28	3.18	0.85	4.060	-2.09	2.94	371.88	235.00
30.02	203.67	3.16	0.99	3.900	-2.32	3.31	429.83	235.00
30.10	204.45	2.99	0.83	4.170	-2.09	2.92	369.69	235.00
30.20	205.42	3.17	0.85	4.020	-1.96	2.81	351.88	235.00
30.24	205.81	3.04	0.85	4.170	-1.80	2.65	327.35	235.00
30.26	206.00	3.20	0.84	3.830	-2.12	2.96	375.78	235.00
30.28	206.20	3.05	0.69	1.450	-2.21	2.90	365.94	235.00
30.30	206.39	3.10	0.83	4.140	-1.97	2.80	350.78	235.00
30.36	206.98	3.13	0.74	3.930	-2.10	2.84	357.66	235.00
30.40	207.37	2.99	0.61	4.160	-1.88	2.49	303.10	235.00
30.42	207.56	3.16	0.85	3.760	-2.05	2.90	366.09	235.00
30.48	208.15	3.01	0.86	3.960	-2.07	2.93	370.63	235.00
30.52	208.53	3.02	0.77	4.080	-2.13	2.90	366.41	235.00
30.60	209.31	2.74	0.94	3.450	-2.06	3.00	382.03	235.00
30.64	209.70	2.92	0.94	3.600	-1.87	2.81	352.34	235.00
30.66	209.90	2.99	0.86	0.518	-3.01	3.87	517.19	235.00
30.70	210.29	2.77	0.81	3.420	-1.95	2.76	344.38	235.00
30.72	210.48	2.70	0.85	3.880	-2.12	2.97	377.34	235.00
31.02	213.40	2.85	0.77	3.670	-2.37	3.14	403.28	235.00
31.08	213.99	3.00	0.67	3.770	-2.36	3.03	387.03	235.00
31.10	214.18	2.84	0.66	3.540	-2.00	2.66	328.59	235.00
31.16	214.77	2.74	0.66	3.880	-2.37	3.03	386.72	235.00
31.20	215.15		0.43	3.650	-2.33	2.76	344.84	235.00
31.24	215.54	2.85	0.70	3.470	-2.23	2.93	371.56	235.00
31.28	215.93	2.65	0.50	3.890	-2.16	2.66	329.06	235.00
31.32	216.32	2.91	0.46	3.740	-2.13	2.59	317.19	235.00
31.36	216.87	2.88	0.59	3.990	-2.19	2.78	347.56	235.00
31.40	217.46	2.78	0.10	3.750	-2.34	2.44	294.69	235.00
31.44	218.05		-0.17	3.950	-2.23	2.06	235.16	235.00
31.52	219.24	2.80	0.25	4.010	-1.99	2.24	262.54	235.00
31.60	220.43	2.89	0.33	3.900	-1.99	2.32	276.03	235.00
31.62	220.72	3.10	-0.14	3.850	-1.98	1.84	200.59	200.59
31.65	221.17	3.33	0.00	4.210	-1.89	1.89	209.24	209.24
31.69	221.76	3.76	-0.01	4.510	-2.17	2.16	250.78	235.00
31.73	222.35	3.87	-0.18	4.310	-2.52	2.34	278.75	235.00
31.77	222.95	4.02	-0.01	4.900	-2.23	2.22	259.80	235.00
31.81	223.54	3.96	0.05	5.070	-2.44	2.49	302.34	235.00
31.85	224.19	4.13	0.11	5.090	-2.13	2.24	263.28	235.00
31.89	224.87	3.95	0.06	3.850	-2.15	2.21	258.75	235.00
31.91	225.20	3.95	-0.06	4.970	-1.98	1.92	213.59	213.59
31.95	225.88	3.97	0.56	4.930	-2.16	2.72	338.13	235.00
32.05	227.56	3.74	-0.08	4.500	-2.59	2.51	304.84	235.00
32.07	227.90	3.87	0.41	4.370	-2.79	3.20	412.50	235.00
32.11	228.57	3.94	0.31	4.400	-2.73	3.04	388.44	235.00
32.15	229.24	3.97	0.30	4.880	-2.21	2.51	305.47	235.00
32.17	229.58	3.94	0.56	4.770	-2.50	3.06	391.41	235.00
32.25	230.73	3.85	0.55	4.390	-2.18	2.73	340.47	235.00
32.28	230.89	3.74	0.35	4.640	-1.89	2.24	262.76	235.00
32.30	230.99	3.66	0.08	4.580	-1.96	2.04	231.41	231.41
32.32	231.14	3.65	0.66	4.650	-1.90	2.56	312.84	235.00
32.34	231.25	3.47	0.57	4.850	-1.96	2.53	308.59	235.00
32.36	231.38	3.73	0.56	4.700	-2.05	2.61	320.87	235.00
32.40	231.62	3.63	0.29	4.570	-1.99	2.28	269.22	235.00
32.42	231.77	3.81	0.23	4.220	-1.73	1.96	219.38	219.38
32.46	231.99	3.72	0.58	4.330	-2.12	2.70	335.47	235.00
32.47	232.03	3.62	0.04	4.290	-1.93	1.97	220.78	220.78
32.48	232.11	3.50	0.64	4.420	-1.91	2.55	311.72	235.00
32.52	232.35	3.42	0.55	4.480	-2.00	2.55	311.39	235.00
32.56	232.59	3.37	0.75	4.280	-2.07	2.82	354.53	235.00
32.60	232.84	3.26	0.56	4.160	-2.23	2.79	348.59	235.00
32.66	233.20	3.16	0.43	4.130	-2.29	2.72	338.13	235.00
32.74	233.68	3.14	0.53	4.190	-2.06	2.59	318.28	235.00
32.78	233.93	3.04	0.24	4.090	-1.97	2.21	259.06	235.00
32.80	234.05	3.15	0.74	3.770	-2.06	2.80	351.41	235.00
32.84	234.29	3.27	0.67	3.900	-2.23	2.90	365.78	235.00
32.94	234.90	3.09	0.72	4.080	-2.40	3.12	400.31	235.00
33.32	237.20	2.83	0.71	3.850	-2.21	2.92	368.75	235.00
33.66	239.83	2.36	0.12	3.790	-2.04	2.16	250.00	235.00
33.70	240.30	3.01	0.07	3.980	-1.90	1.97	221.72	221.72
33.74	240.77	2.58	-0.18	3.850	-1.95	1.77	189.22	189.22
33.78	241.24	2.96	-0.03	3.900	-1.87	1.84	200.66	200.66
33.82	241.71	2.73	0.34	4.270	-2.01	2.35	280.42	235.00
33.84	241.94	2.97	-0.10	4.280	-2.11	2.01	226.75	226.75
33.90	242.64	2.92	-0.07	4.290	-1.92	1.85	202.92	202.92
33.94	243.11	3.10	-0.14	4.520	-2.07	1.93	214.86	214.86
33.98	243.58	3.65	0.23	4.510	-2.20	2.43	292.66	235.00
34.02	244.05	3.83	0.18	4.710	-2.08	2.26	265.77	235.00
34.06	244.52	3.48	-0.19	4.600	-2.02	1.83	199.55	199.55
34.14	245.46	3.88	0.23	4.800	-2.13	2.36	282.40	235.00
34.22	246.39	3.82	0.21	4.780	-2.10	2.31	273.55	235.00
34.26	246.69	3.74	0.25	4.850	-1.79	2.04	231.40	231.40
34.30	246.93	3.78	0.47	4.760	-2.22	2.69	333.58	235.00
34.38	247.42	3.82	0.46	4.690	-2.13	2.59	317.72	235.00
34.42	247.66	3.80	0.45	4.690	-2.11	2.56	312.54	235.00
34.46	247.90	3.77	0.42	4.750	-1.97	2.39	286.72	235.00
34.54	248.38	3.78	0.31	4.550	-2.18	2.49	302.14	235.00
34.66	249.11	3.71	0.36	4.770	-1.92	2.28	270.16	235.00
34.78	249.83	3.60	0.08	4.840	-2.14	2.22	259.40	235.00
34.82	250.07	4.12	0.29	4.960	-1.88	2.17	252.43	235.00
34.94	250.80	4.17	0.35	5.120	-2.00	2.35	280.47	235.00
34.98	251.04	3.96	0.30	5.140	-1.85	2.15	248.50	235.00
35.06	251.52	3.98	0.38	5.090	-1.92	2.30	271.89	235.00
35.14	252.00	4.02	0.21	4.930	-1.83	2.04	232.23	232.23
35.20	252.37	3.96	0.04	5.040	-1.83	1.87	205.69	205.69
35.24	252.61	4.08	0.34	5.110	-1.94	2.28	269.33	235.00
35.28	252.85	4.11	0.35	5.020	-1.96	2.31	273.49	235.00
35.30	252.97	4.11	0.08	5.160	-1.93	2.01	227.52	227.52
35.34	253.21	4.07	0.32	5.100	-1.73	2.05	233.43	233.43
35.36	253.33	4.06	0.30	5.230	-1.81	2.11	243.21	235.00
35.45	253.87	4.17	0.40	5.100	-1.80	2.20	257.44	235.00
35.49	254.12	4.02	0.08	5.140	-1.79	1.87	204.82	204.82
35.53	254.36	4.13	0.33	5.050	-1.89	2.22	260.64	235.00
35.57	254.60	4.19	0.57	5.090	-1.77	2.34	279.06	235.00
35.61	254.84	4.25	0.43	5.270	-1.68	2.11	242.76	235.00
35.69	255.32	4.11	0.17	5.050	-1.69	1.86	203.66	203.66
35.73	255.56	4.20	0.27	5.080	-1.71	1.98	222.59	222.59
35.77	255.81	4.05	0.41	5.160	-1.73	2.14	247.97	235.00
35.81	256.05	4.03	0.32	5.100	-1.69	2.01	227.67	227.67
35.85	256.29	3.82	0.09	5.140	-1.83	1.92	212.52	212.52
35.89	256.53	4.07	0.07	5.160	-1.78	1.85	201.65	201.65
35.93	256.77	4.07	0.43	5.130	-1.72	2.15	249.84	235.00
35.97	257.01	4.02	0.09	5.170	-1.70	1.79	192.42	192.42
36.01	257.25	4.13	0.45	5.180	-1.75	2.20	257.59	235.00
36.09	257.74	3.90	0.39	5.210	-1.78	2.17	252.22	235.00
36.13	257.98	4.12	0.36	5.210	-1.85	2.21	258.59	235.00
36.17	258.22	4.09	0.37	5.010	-1.79	2.16	250.68	235.00
36.21	258.46	3.97	0.42	5.120	-1.81	2.23	262.27	235.00
36.25	258.70	3.88	0.45	5.190	-1.77	2.22	260.16	235.00
36.29	258.94	3.82	0.41	3.060	-2.10	2.51	305.98	235.00
36.33	259.19	4.03	0.32	5.130	-1.83	2.15	249.84	235.00
36.37	259.43	4.07	0.44	4.950	-1.99	2.43	293.23	235.00
36.41	259.67	4.04	0.42	5.110	-2.01	2.43	293.13	235.00
36.44	259.85	3.89	0.35	4.940	-1.97	2.32	276.28	235.00
36.48	260.09	4.04	0.47	5.040	-2.03	2.50	304.38	235.00
36.56	260.57	3.92	0.40	4.870	-2.00	2.40	288.59	235.00
36.60	260.82	3.74	0.42	4.820	-2.00	2.42	291.40	235.00
36.64	261.06	3.81	0.32	4.820	-1.96	2.28	269.53	235.00
36.68	261.30	3.82	0.37	4.860	-2.01	2.38	285.23	235.00
