/* DATA DESCRIPTION:
Citation:	Tiedemann, Ralf (1991): Stable isotopes measured on foraminifera from Site 108-659. PANGAEA, https://doi.org/10.1594/PANGAEA.194774
Related to:	Tiedemann, Ralf (1991): Acht Millionen Jahre Klimageschichte von Nordwest Afrika und Paläo-Ozeanographie des angrenzenden Atlantiks: Hochauflösende Zeitreihen von ODP-Sites 658-661. Berichte-Reports, Geologisch-Paläontologisches Institut der Universität Kiel, 46, 190 pp, https://doi.org/10.2312/reports-gpi.1991.46
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: 18.077200 * LONGITUDE: -21.026200
	DATE/TIME START: 1986-03-09T00:00:00 * DATE/TIME END: 1986-03-12T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.11 m * MAXIMUM DEPTH, sediment/rock: 139.21 m
Event(s):	108-659 * LATITUDE: 18.077200 * LONGITUDE: -21.026200 * DATE/TIME START: 1986-03-09T00:00:00 * DATE/TIME END: 1986-03-12T00:00:00 * ELEVATION: -3082.3 m * Penetration: 671.9 m * Recovery: 411.2 m * LOCATION: North Atlantic Ocean * CAMPAIGN: Leg108 (URI: https://doi.org/10.2973/odp.proc.ir.108.1988) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 59 cores; 551.9 m cored; 0 m drilled; 74.5% recovery
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Depth, composite [mcd] (Depth comp) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, http://www.awi.de/en/about-us/organisation/staff/ralf-tiedemann.html) * METHOD/DEVICE: Intercore correlation
	Sample code/label (Sample label) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, http://www.awi.de/en/about-us/organisation/staff/ralf-tiedemann.html) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	Cibicidoides wuellerstorfi, δ18O [‰ PDB] (C. wuellerstorfi δ18O) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, http://www.awi.de/en/about-us/organisation/staff/ralf-tiedemann.html) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
	Cibicidoides wuellerstorfi, δ13C [‰ PDB] (C. wuellerstorfi δ13C) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, http://www.awi.de/en/about-us/organisation/staff/ralf-tiedemann.html) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
	Globorotalia inflata, δ18O [‰ PDB] (G. inflata δ18O) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, http://www.awi.de/en/about-us/organisation/staff/ralf-tiedemann.html) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
	Globorotalia inflata, δ13C [‰ PDB] (G. inflata δ13C) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, http://www.awi.de/en/about-us/organisation/staff/ralf-tiedemann.html) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
	Globigerinoides sacculifer, δ18O [‰ PDB] (G. sacculifer δ18O) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, http://www.awi.de/en/about-us/organisation/staff/ralf-tiedemann.html) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
	Globigerinoides sacculifer, δ13C [‰ PDB] (G. sacculifer δ13C) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, http://www.awi.de/en/about-us/organisation/staff/ralf-tiedemann.html) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	3625 data points
*/
Depth [m]	Age [ka BP]	Depth comp [mcd]	Sample label	C. wuellerstorfi δ18O [‰ PDB]	C. wuellerstorfi δ13C [‰ PDB]	G. inflata δ18O [‰ PDB]	G. inflata δ13C [‰ PDB]	G. sacculifer δ18O [‰ PDB]	G. sacculifer δ13C [‰ PDB]
8.53	274.4	8.53	108-659C-1H-6,101-105	3.97	-0.29				
8.53	322.0	10.08	108-659A-2H-1,70-75	3.40	0.29	1.48	0.31		
8.68	279.8	8.68	108-659C-1H-6,116-120	3.79	-0.06				
8.81	331.0	10.36	108-659A-2H-1,100-102	2.94	0.70	1.31	0.49		
8.91	288.2	8.91	108-659C-1H-6,141	3.46	0.46	1.63	0.44		
8.91	332.8	10.46	108-659A-2H-1,110-112	2.65	0.29	0.88	0.27		
9.11	336.5	10.66	108-659A-2H-1,130-132	3.18	-0.22	0.99	0.08		
9.23	295.9	9.23	108-659C-1H-7,23	3.71	0.12	1.85	0.44		
9.36	299.0	9.36	108-659C-1H-7,35-37	3.97	0.39	2.07	0.72		
9.44	342.5	10.99	108-659A-2H-2,14	4.21	-0.21	2.22	0.04		
9.90	325.2	10.18	108-659C-2H-1,40	3.54	0.17	1.99	0.09		
10.03	352.5	11.58	108-659A-2H-2,70-75	4.15	-0.10	2.30	0.14		
10.31	357.3	11.86	108-659A-2H-2,100-102	3.97	0.11	2.37	0.52		
10.43	341.0	10.91	108-659C-2H-1,92-94	3.89	-0.28	2.31	-0.19		
10.61	362.4	12.16	108-659A-2H-2,130-132	3.71	0.55	1.93	0.68		
10.91	348.8	11.36	108-659C-2H-1,141	3.85	0.08	1.82	-0.02		
10.94	368.0	12.49	108-659A-2H-3,14	3.29	0.43	1.34	0.25		
11.40	356.4	11.81	108-659C-2H-2,40	4.08	-0.17	2.31	0.67		
11.53	392.8	13.10	108-659A-2H-3,70-75	3.02	0.97	1.19	0.87		
11.81	404.6	13.39	108-659A-2H-3,100-102	2.70	0.74	1.50	0.59		
11.93	366.5	12.40	108-659C-2H-2,92-94	3.82	0.71	1.76	0.71		
12.11	415.0	13.70	108-659A-2H-3,130-132	3.23	0.42	1.45	-0.02		
12.14	374.1	12.64	108-659C-2H-2,113-115	3.50	0.70				
12.28	379.8	12.78	108-659C-2H-2,126-130	3.35	0.44				
12.41	385.1	12.91	108-659C-2H-2,141	3.21	0.37	1.45	0.57		
12.44	427.0	14.06	108-659A-2H-4,14	3.92	0.04	2.13	0.10		
12.90	405.0	13.40	108-659C-2H-3,40	2.70	0.92	1.46	0.36		
13.03	450.6	14.79	108-659A-2H-4,70-75	4.37	0.05	2.14	0.27		
13.31	460.8	15.11	108-659A-2H-4,100-102	4.13	-0.24	2.48	0.24		
13.43	422.7	13.93	108-659C-2H-3,92-94	4.24	-0.50	2.01	-0.12		
13.61	471.2	15.44	108-659A-2H-4,130-132	4.03	0.08	2.06	0.41		
13.63	429.3	14.13	108-659C-2H-3,111-115	4.54	-0.33				
13.77	434.0	14.27	108-659C-2H-3,125-128	4.57	-0.09				
13.91	438.5	14.41	108-659C-2H-3,141	4.41	-0.39	1.96	0.01		
13.94	479.5	15.84	108-659A-2H-5,14	3.77	0.49	2.22	0.67		
14.06	482.2	15.95	108-659A-2H-5,25-27	3.31	0.51				
14.19	485.5	16.06	108-659A-2H-5,38-40	3.48	0.59				
14.40	454.1	14.90	108-659C-2H-4,40	4.17	0.92	1.92	0.10		
14.61	502.0	16.61	108-659A-2H-5,80-82	3.06	1.88	0.97	0.89		
14.93	471.0	15.43	108-659C-2H-4,92-94	4.28	0.38	1.64	0.39		
15.37	480.2	15.87	108-659C-2H-4,135-138	3.68	0.61				
15.41	481.0	15.91	108-659C-2H-4,141	3.28	0.57	0.96	0.31		
15.90	495.7	16.40	108-659C-2H-5,40	3.31	1.10	1.47	0.92		
16.24	504.5	16.74	108-659C-2H-5,72-76	3.25	1.08				
16.34	506.4	16.84	108-659C-2H-5,82-86	3.28	0.98				
16.43	508.2	16.93	108-659C-2H-5,92-94	3.47	1.13	1.03	1.43		
16.68	513.0	17.18	108-659C-2H-5,116-119	3.55	0.80				
16.78	517.0	17.28	108-659C-2H-5,126-129	3.54	1.15				
16.91	522.2	17.41	108-659C-2H-5,141	3.54	0.97	0.93	0.62		
17.06	528.2	17.56	108-659C-2H-6,4-8	3.34	1.07				
17.16	532.2	17.66	108-659C-2H-6,14-18	3.22	0.83				
17.36	590.5	19.36	108-659A-3H-1,5-7	3.86	0.31				
17.40	541.8	17.90	108-659C-2H-6,40	3.55	0.78	1.51	0.34		
17.51	596.0	19.51	108-659A-3H-1,20-22	3.16	0.41				
17.51	596.0	19.51	108-659A-3H-1,20-22	3.05	0.49				
17.51	596.0	19.51	108-659A-3H-1,20-22	3.26	0.34				
17.51	596.0	19.51	108-659A-3H-1,20-22	3.16	0.41				
17.54	547.4	18.04	108-659C-2H-6,51-56	3.81	0.26				
17.66	600.9	19.66	108-659A-3H-1,35-37	3.81	0.39				
17.80	557.8	18.30	108-659C-2H-6,78-82	4.04	0.35				
17.81	605.7	19.81	108-659A-3H-3,50-52	3.59	0.31				
17.93	563.0	18.43	108-659C-2H-6,92-94	4.18	0.38	2.05	0.69		
18.03	610.8	20.03	108-659A-3H-1,70-75	3.71	0.57	1.19	0.42		
18.06	566.0	18.56	108-659C-2H-6,104-108	3.83	0.26				
18.23	569.9	18.73	108-659C-2H-6,121-124	3.67	0.48				
18.33	617.0	20.33	108-659A-3H-1,102-104	3.06	0.74	1.42	0.44		
18.41	574.0	18.91	108-659C-2H-6,141	3.28	0.42	1.22	0.29		
18.61	624.3	20.61	108-659A-3H-1,130-132	3.40	0.39	1.77	-0.26		
18.94	633.0	20.94	108-659A-3H-2,14	4.42	0.01	2.41	-0.08		
19.53	646.8	21.53	108-659A-3H-2,70-75	4.27	-0.10	1.99	-0.22		
19.69	650.5	21.69	108-659A-3H-2,88-90	4.01	-0.37				
19.83	653.8	21.83	108-659A-3H-2,102-104	3.84	0.15	2.25	0.14		
19.96	656.8	21.96	108-659A-3H-2,115-117	3.62	0.39				
20.11	660.3	22.11	108-659A-3H-2,130-132	3.49	0.42	1.84	0.31		
20.44	668.0	22.44	108-659A-3H-3,14	2.98	0.82	1.17	0.34		
20.77	684.2	22.77	108-659A-3H-3,46-48	3.21	0.52				
21.03	697.0	23.03	108-659A-3H-3,70-75	4.20	0.15	2.19	0.30		
21.19	702.2	23.19	108-659A-3H-3,88-89	3.69	0.35				
21.33	706.8	23.33	108-659A-3H-3,102-104	3.31	0.70	1.33	0.46		
21.46	711.0	23.46	108-659A-3H-3,115-117	3.26	0.32				
21.61	714.1	23.61	108-659A-3H-3,130-132	3.61	0.43	1.21	-0.18		
21.86	719.3	23.86	108-659A-3H-4,5-7	4.02	-0.07				
21.94	721.0	23.94	108-659A-3H-4,12-16	4.11	0.08				
22.02	721.9	24.02	108-659A-3H-4,21-23	3.83	0.10				
22.31	725.2	24.31	108-659A-3H-4,50-52	3.50	0.39				
22.53	727.6	24.53	108-659A-3H-4,70-75	3.38	0.52	1.76	0.58		
22.69	729.4	24.69	108-659A-3H-4,88-90	3.07	0.74				
22.83	731.0	24.83	108-659A-3H-4,102-104	2.63	0.26	1.61	-0.02		
22.96	736.6	24.96	108-659A-3H-4,115-117	3.50	-0.47				
23.11	743.0	25.11	108-659A-3H-4,130-132	4.02	-0.58	2.19	-0.36		
23.42	758.0	25.42	108-659A-3H-5,11-13	3.80	0.16				
23.44	759.0	25.44	108-659A-3H-5,12-16	3.86	0.09				
23.57	765.3	25.57	108-659A-3H-5,26-28	3.36	0.40				
23.75	774.0	25.75	108-659A-3H-5,41-49	3.28	0.44				
24.03	778.8	26.03	108-659A-3H-5,70-75	3.48	0.59	1.29	0.24		
24.33	784.0	26.33	108-659A-3H-5,102-104	3.03	0.12	1.71	0.42		
24.61	791.4	26.61	108-659A-3H-5,130-132	3.23	0.52	1.99	0.66		
24.94	800.1	26.94	108-659A-3H-6,12-16	3.71	0.01				
25.47	814.0	27.47	108-659A-3H-6,74-79	4.10	-0.15	2.01	-0.14		
25.73	822.2	27.73	108-659A-3H-6,102-104	3.64	-0.07	2.32	0.06		
25.99	830.3	27.99	108-659A-3H-6,130-132	3.55	0.38	1.47	-0.09		
26.94	860.1	28.94	108-659A-4H-1,12-16	3.10	0.28				
27.52	878.3	29.52	108-659A-4H-1,70-74	3.59	-0.15	1.61	-0.17		
27.81	887.4	29.81	108-659A-4H-1,102-104	3.24	0.53	1.68	0.46		
28.11	896.8	30.11	108-659A-4H-1,130-132	3.34	0.22	1.51	0.17		
28.42	906.5	30.42	108-659A-4H-2,12-16	3.61	0.55				
29.00	922.3	31.00	108-659A-4H-2,70-74	3.77	0.59	1.56	0.58		
29.29	929.9	31.29	108-659A-4H-2,102-104	3.34	0.67	1.77	0.83		
29.59	937.8	31.59	108-659A-4H-2,130-132	3.25	0.56	1.20	0.52		
29.92	946.4	31.92	108-659A-4H-3,12-16	3.13	0.65				
30.15	1015.9	34.25	108-659B-4H-4,4-6	4.03	0.08				
30.50	961.6	32.50	108-659A-4H-3,70-74	3.72	-0.10	1.88	0.45		
30.81	969.8	32.81	108-659A-4H-3,102-104	3.07	0.54	1.50	0.38		
31.04	1046.3	35.14	108-659B-4H-4,92-94	3.21	0.62				
31.07	976.6	33.07	108-659A-4H-3,130-132	2.61	0.75	0.92	0.33		
31.42	987.5	33.42	108-659A-4H-4,12-16	3.17	0.85				
31.52	1062.8	35.62	108-659B-4H-4,140-142	2.96	0.80				
32.01	1079.5	36.11	108-659B-4H-5,40-42	3.30	0.56				
32.07	1011.5	34.12	108-659A-4H-4,78-80	3.28	0.74				
32.43	1093.9	36.53	108-659B-4H-5,81-84	4.05	0.34				
32.51	1096.6	36.61	108-659B-4H-5,92-94	3.93	0.09				
33.01	1113.7	37.11	108-659B-4H-5,140-142	2.88	0.63				
33.51	1130.8	37.61	108-659B-4H-6,40-42	3.86	0.03				
34.03	1148.6	38.13	108-659B-4H-6,92-94	3.28	0.72				
34.51	1170.8	38.78	108-659B-4H-6,140-142	3.67	0.12				
36.01	1248.8	41.06	108-659B-5H-1,90-92	3.22	0.78				
36.44	1128.4	37.54	108-659A-5H-1,12-16	3.56	-0.01				
37.33	1164.0	38.58	108-659A-5H-1,102-104	3.24	0.60				
37.61	1173.5	38.86	108-659A-5H-1,130-132	3.54	0.51				
37.94	1184.8	39.19	108-659A-5H-2,12-16	3.67	0.06				
38.83	1215.3	40.08	108-659A-5H-2,102-104	3.10	0.82				
39.11	1224.8	40.36	108-659A-5H-2,130-132	3.61	0.48				
39.44	1236.1	40.69	108-659A-5H-3,12-16	3.64	0.32				
40.33	1266.5	41.58	108-659A-5H-3,102-104	3.35	0.84				
40.61	1276.1	41.86	108-659A-5H-3,130-132	3.66	0.37				
40.94	1287.4	42.19	108-659A-5H-4,12-16	2.79	0.60				
41.51	1426.9	46.27	108-659B-5H-5,40-42	3.24	0.53				
41.83	1317.8	43.08	108-659A-5H-4,102-104	2.68	0.85				
42.03	1444.7	46.79	108-659B-5H-5,92-94	3.02	0.93				
42.11	1327.4	43.36	108-659A-5H-4,130-132	3.70	0.31				
42.44	1338.7	43.69	108-659A-5H-5,12-16	3.77	0.46				
42.50	1460.8	47.26	108-659B-5H-5,140-142	3.30	0.56				
43.01	1478.2	47.77	108-659B-5H-6,40-42	3.78	0.61				
43.33	1369.1	44.58	108-659A-5H-5,102-104	3.19	0.37				
43.43	1492.6	48.19	108-659B-5H-6,82-84	3.75	0.50				
43.51	1495.3	48.27	108-659B-5H-6,90-92	3.74	0.62				
43.61	1378.7	44.86	108-659A-5H-5,130-132	3.98	0.14				
43.94	1390.0	45.19	108-659A-5H-6,12-16	3.22	0.73				
44.65	1409.1	45.75	108-659A-5H-6,84-86	3.19	0.72				
44.71	1411.5	45.82	108-659A-5H-6,90-92	3.51	0.75				
45.01	1546.6	49.77	108-659B-6H-1,40-42	3.13	0.78				
45.53	1564.4	50.29	108-659B-6H-1,92-94	3.48	0.47				
46.01	1580.8	50.77	108-659B-6H-1,140-142	3.59	0.45				
46.51	1597.9	51.27	108-659B-6H-2,40-42	3.92	0.33				
47.03	1615.7	51.79	108-659B-6H-2,92-94	2.98	0.77				
47.51	1632.1	52.27	108-659B-6H-2,140-142	2.97	0.79				
48.01	1650.0	52.77	108-659B-6H-3,40-42	3.71	-0.06				
48.53	1669.8	53.29	108-659B-6H-3,92-94	3.10	0.82				
49.01	1688.0	53.77	108-659B-6H-3,140-142	3.04	0.71				
49.51	1707.1	54.27	108-659B-6H-4,40-42	3.61	0.57				
50.03	1726.8	54.79	108-659B-6H-4,92-94	3.11	0.38				
50.48	1744.0	55.24	108-659B-6H-4,137-139	3.03	0.84				
51.01	1764.1	55.77	108-659B-6H-5,40-42	3.04	0.40				
51.53	1783.9	56.29	108-659B-6H-5,92-94	3.46	0.34				
52.01	1802.2	56.77	108-659B-6H-5,140-142	3.18	0.74				
52.51	1820.1	57.27	108-659B-6H-6,40-42	3.18	0.43				
53.03	1834.5	57.79	108-659B-6H-6,92-94	3.25	0.46				
53.51	1847.9	58.27	108-659B-6H-6,140-142	2.89	0.93				
54.71	1901.3	60.02	108-659B-7H-1,60-62	3.02	0.78				
55.44	1846.0	58.20	108-659A-7H-1,12-16	2.85	0.90				
56.21	1983.7	61.68	108-659B-7H-2,60-62	3.20	0.37				
56.33	1870.7	59.09	108-659A-7H-1,102-104	3.02	0.47				
56.61	1878.5	59.37	108-659A-7H-1,130-132	2.88	0.80				
56.92	1888.6	59.68	108-659A-7H-2,12-16	2.75	0.69				
57.03	1892.7	59.79	108-659A-7H-2,23-26	2.97	0.55				
57.22	1899.8	59.98	108-659A-7H-2,42-45	3.19	0.84				
57.44	1908.0	60.20	108-659A-7H-2,64-67	3.34	0.76				
57.61	1914.4	60.37	108-659A-7H-2,81-84	3.12	0.62				
57.71	2027.0	63.19	108-659B-7H-3,60-62	3.96	-0.16				
57.72	1918.6	60.48	108-659A-7H-2,92-95	3.05	0.60				
57.81	1922.0	60.57	108-659A-7H-2,102-104	2.88	0.28				
57.94	1927.5	60.70	108-659A-7H-2,114-118	3.68	0.19				
58.09	1933.8	60.85	108-659A-7H-2,130-132	3.79	0.41				
58.26	1941.0	61.02	108-659A-7H-2,146-149	3.98	0.01				
58.42	1951.4	61.18	108-659A-7H-3,12-16	3.60	0.04				
58.54	1959.1	61.30	108-659A-7H-3,25-27	3.31	0.44				
58.81	1976.6	61.57	108-659A-7H-3,51-54	3.23	0.15				
58.94	1985.0	61.70	108-659A-7H-3,64-67	3.26	0.57				
59.06	1988.7	61.82	108-659A-7H-3,76-80	3.11	0.54				
59.31	1996.4	62.07	108-659A-7H-3,102-104	2.98	-0.03				
59.46	2001.0	62.22	108-659A-7H-3,116-119	3.34	0.41				
59.59	2004.4	62.35	108-659A-7H-3,130-132	3.17	0.50				
59.75	2008.6	62.51	108-659A-7H-3,145-148	2.83	0.54				
59.92	2013.0	62.68	108-659A-7H-4,12-16	2.71	0.44				
60.05	2016.6	62.81	108-659A-7H-4,25-29	2.67	0.19				
