Site/Hole   ,Latitude   ,Longitude   ,Water Depth (mbsl),No. of Cores,Interval Cored (m),Core Recovered (m),% Recovered,Drilled (m),Penetration (m),Comment,"<a href=""mailto:database@iodp.tamu.edu"">Data Librarian</a>."
  16A       ,17&deg;46.053'S,149&deg;46.054'W,              80.8,36.0,                  ,21.48,           ,0.0,               ,,
  16B       ,17&deg;46.053'S,149&deg;46.054'W,              80.3,24.0,                  ,14.45,           ,0.0,               ,,
  17A       ,17&deg;46.012'S,149&deg;46.013'W,              56.4,20.0,                  ,23.12,           ,0.0,               ,,
  18A       ,17&deg;46.042'S,149&deg;46.042'W,              81.8,22.0,                  ,24.63,           ,0.0,               ,,
  19A       ,17&deg;32.080'S,149&deg;32.080'W,              58.7,33.0,                  ,27.06,           ,0.0,               ,,
  20A       ,17&deg;32.041'S,149&deg;32.042'W,              83.3,25.0,                  ,29.06,           ,0.0,               ,,
  21A       ,17&deg;29.341'S,149&deg;29.341'W,              82.3,22.0,                  ,25.14,           ,0.0,               ,,
  21B       ,17&deg;29.343'S,149&deg;29.343'W,              81.7,20.0,                  ,21.12,           ,0.0,               ,,
  22A       ,17&deg;29.271'S,149&deg;29.271'W,             117.5,4.0,                  ,4.4,           ,0.0,               ,,
  23A       ,17&deg;29.417'S,149&deg;29.417'W,              67.9,16.0,                  ,24.15,           ,0.0,               ,,
  23B       ,17&deg;29.419'S,149&deg;29.420'W,              67.5,15.0,                  ,21.22,           ,0.0,               ,,
  24A       ,17&deg;29.292'S,149&deg;29.291'W,              90.4,16.0,                  ,26.67,           ,0.0,               ,,
  25A       ,17&deg;29.281'S,149&deg;29.281'W,             105.4,13.0,                  ,15.09,           ,0.0,               ,,
  25B       ,17&deg;29.286'S,149&deg;29.286'W,             100.8,13.0,                  ,13.91,           ,0.0,               ,,
  26A       ,17&deg;29.359'S,149&deg;29.358'W,             107.3,7.0,                  ,6.43,           ,0.0,               ,,
1325A       ,48&deg;38.691'N,126&deg;58.991'W,            2201.1,0.0,0.0,0.0,           ,350.0,350.0,,
1325B       ,48&deg;38.694'N,126&deg;58.999'W,            2194.8,28.0,205.5,141.17,       68.7,1.0,206.5,,
1325C       ,48&deg;38.701'N,126&deg;59.007'W,            2194.8,15.0,115.5,62.49,       54.1,188.8,304.3,,
1325D       ,48&deg;38.701'N,126&deg;59.007'W,            2193.2,1.0,4.7,4.69,       99.8,0.0,4.7,,
1326A       ,48&deg;37.635'N,127&deg; 3.029'W,            1828.1,0.0,0.0,0.0,           ,300.0,300.0,,
1326B       ,48&deg;37.638'N,127&deg; 3.023'W,            1828.4,1.0,1.5,1.55,      103.3,0.0,1.5,,
1326C       ,48&deg;37.638'N,127&deg; 3.023'W,            1828.0,13.0,85.7,54.39,       63.5,1.0,86.7,,
1326D       ,48&deg;37.628'N,127&deg; 3.043'W,            1827.9,20.0,192.6,121.96,       63.3,107.4,300.0,,
1327A       ,48&deg;41.887'N,126&deg;51.921'W,            1322.1,0.0,0.0,0.0,           ,300.0,300.0,,
1327B       ,48&deg;41.889'N,126&deg;51.914'W,            1306.1,1.0,9.5,9.79,      103.1,0.0,9.5,,
1327C       ,48&deg;41.889'N,126&deg;51.914'W,            1304.5,35.0,297.0,262.17,       88.3,3.0,300.0,,
1327D       ,48&deg;41.895'N,126&deg;51.906'W,            1303.7,17.0,75.9,53.99,       71.1,224.1,300.0,,
1327E       ,48&deg;41.900'N,126&deg;51.896'W,            1303.4,4.0,12.5,12.37,       99.0,287.5,300.0,,
1328A       ,48&deg;40.072'N,126&deg;51.022'W,            1268.1,0.0,0.0,0.0,           ,300.0,300.0,,
1328B       ,48&deg;40.048'N,126&deg;51.056'W,            1267.8,10.0,54.5,39.65,       72.8,2.0,56.5,,
1328C       ,48&deg;40.057'N,126&deg;51.044'W,            1267.7,27.0,242.5,195.64,       80.7,57.5,300.0,,
1328D       ,48&deg;40.067'N,126&deg;51.020'W,            1266.7,3.0,15.0,10.03,       66.9,0.0,15.0,,
1328E       ,48&deg;40.080'N,126&deg;50.987'W,            1264.7,13.0,49.0,13.33,       27.2,186.0,235.0,,
1329A       ,48&deg;47.369'N,126&deg;40.713'W,             959.1,0.0,0.0,0.0,           ,220.0,220.0,,
1329B       ,48&deg;47.375'N,126&deg;40.720'W,             953.0,1.0,9.5,10.02,      105.5,0.0,9.5,,
1329C       ,48&deg;47.375'N,126&deg;40.720'W,             946.4,23.0,187.5,186.16,       99.3,2.0,189.5,,
1329D       ,48&deg;47.362'N,126&deg;40.716'W,             946.4,1.0,9.5,1.03,       10.8,201.0,210.5,,
1329E       ,48&deg;47.385'N,126&deg;40.716'W,             945.5,10.0,48.0,37.74,       78.6,79.0,127.0,,
