leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
1,4,,HAUTERIVIAN,,190.8,192.0,,NO AGE GIVEN,,NO AGE GIVEN,121.0,126.0,123.5,DSDP INITIAL REPORTS
1,4,,TITHONIAN,,249.6,249.8,,NO AGE GIVEN,,NO AGE GIVEN,135.0,141.0,138.0,DSDP INITIAL REPORTS
1,4,,PLEISTOCENE,PLIOCENE,0.0,9.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,0.011,5.0,2.506,DSDP INITIAL REPORTS
1,4,,TURONIAN,,104.2,106.1,,NO AGE GIVEN,,NO AGE GIVEN,86.0,92.0,89.0,DSDP INITIAL REPORTS
1,4,,ALBIAN,APTIAN,133.8,135.1,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,100.0,110.0,105.0,DSDP INITIAL REPORTS
1,4,,HAUTERIVIAN,,190.8,192.0,,NO AGE GIVEN,,NO AGE GIVEN,121.0,126.0,123.5,DSDP INITIAL REPORTS
1,4,,TITHONIAN,,249.6,249.8,,NO AGE GIVEN,,NO AGE GIVEN,135.0,141.0,138.0,DSDP INITIAL REPORTS
1,5,,PLIOCENE,OLIGOCENE,0.0,3.7,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,1.8,37.5,19.65,DSDP INITIAL REPORTS
1,5,,SANTONIAN,TURONIAN,31.1,71.7,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,78.0,92.0,85.0,DSDP INITIAL REPORTS
1,5,,PLIOCENE,OLIGOCENE,0.0,3.7,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,1.8,37.5,19.65,DSDP INITIAL REPORTS
1,5,,SANTONIAN,TURONIAN,31.1,71.7,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,78.0,92.0,85.0,DSDP INITIAL REPORTS
1,6,,QUATERNARY,,40.8,46.0,,NO AGE GIVEN,,NO AGE GIVEN,0.0,1.8,0.9,DSDP INITIAL REPORTS
1,6,,MIDDLE EOCENE,,152.1,251.5,,NO AGE GIVEN,,NO AGE GIVEN,43.0,49.0,46.0,DSDP INITIAL REPORTS
1,6,,QUATERNARY,,40.8,46.0,,NO AGE GIVEN,,NO AGE GIVEN,0.0,1.8,0.9,DSDP INITIAL REPORTS
1,6,,MIDDLE EOCENE,,152.1,251.5,,NO AGE GIVEN,,NO AGE GIVEN,43.0,49.0,46.0,DSDP INITIAL REPORTS
1,7,,PLEISTOCENE,,0.0,2.0,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
1,7,,PLIOCENE,,2.0,9.1,,NO AGE GIVEN,,NO AGE GIVEN,1.8,5.0,3.4,DSDP INITIAL REPORTS
1,7,,MIDDLE EOCENE,,235.6,236.0,,NO AGE GIVEN,,NO AGE GIVEN,43.0,49.0,46.0,DSDP INITIAL REPORTS
1,7,,PLEISTOCENE,,0.0,2.0,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
1,7,,PLIOCENE,,2.0,9.1,,NO AGE GIVEN,,NO AGE GIVEN,1.8,5.0,3.4,DSDP INITIAL REPORTS
1,7,,MIDDLE EOCENE,,235.6,236.0,,NO AGE GIVEN,,NO AGE GIVEN,43.0,49.0,46.0,DSDP INITIAL REPORTS
2,8,,MIDDLE MIOCENE,,168.0,177.0,,NO AGE GIVEN,,NO AGE GIVEN,10.5,16.0,13.25,DSDP INITIAL REPORTS
2,8,,EOCENE,,249.0,258.0,,NO AGE GIVEN,,NO AGE GIVEN,37.5,53.5,45.5,DSDP INITIAL REPORTS
2,8,,MIDDLE MIOCENE,,168.0,177.0,,NO AGE GIVEN,,NO AGE GIVEN,10.5,16.0,13.25,DSDP INITIAL REPORTS
2,8,,EOCENE,,249.0,258.0,,NO AGE GIVEN,,NO AGE GIVEN,37.5,53.5,45.5,DSDP INITIAL REPORTS
2,9,,PLEISTOCENE,,0.0,79.0,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
2,9,,LOWER PLIOCENE,,195.0,213.0,,NO AGE GIVEN,,NO AGE GIVEN,3.4,5.0,4.2,DSDP INITIAL REPORTS
2,9,,MIOCENE,EOCENE,302.0,491.6,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,5.0,53.5,29.25,DSDP INITIAL REPORTS
2,9,,PLEISTOCENE,,0.0,79.0,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
2,9,,LOWER PLIOCENE,,195.0,213.0,,NO AGE GIVEN,,NO AGE GIVEN,3.4,5.0,4.2,DSDP INITIAL REPORTS
2,9,,MIOCENE,EOCENE,302.0,491.6,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,5.0,53.5,29.25,DSDP INITIAL REPORTS
2,10,,PLIOCENE,,30.0,39.0,,NO AGE GIVEN,,NO AGE GIVEN,1.8,5.0,3.4,DSDP INITIAL REPORTS
2,10,,MIOCENE,,39.0,45.0,,NO AGE GIVEN,,NO AGE GIVEN,5.0,22.5,13.75,DSDP INITIAL REPORTS
2,10,,OLIGOCENE,,45.0,77.0,,NO AGE GIVEN,,NO AGE GIVEN,22.5,37.5,30.0,DSDP INITIAL REPORTS
2,10,,UPPER EOCENE,,77.0,95.5,,NO AGE GIVEN,,NO AGE GIVEN,37.5,43.0,40.25,DSDP INITIAL REPORTS
2,10,,MIDDLE EOCENE,,95.5,171.5,,NO AGE GIVEN,,NO AGE GIVEN,43.0,49.0,46.0,DSDP INITIAL REPORTS
2,10,,LOWER EOCENE,,171.5,185.0,,NO AGE GIVEN,,NO AGE GIVEN,49.0,53.5,51.25,DSDP INITIAL REPORTS
2,10,,MAESTRICHTIAN,,290.0,400.0,,NO AGE GIVEN,,NO AGE GIVEN,65.0,70.0,67.5,DSDP INITIAL REPORTS
2,10,,CAMPANIAN,,400.0,456.0,,NO AGE GIVEN,,NO AGE GIVEN,70.0,78.0,74.0,DSDP INITIAL REPORTS
2,11,,PLEISTOCENE,PLIOCENE,14.0,23.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,0.011,5.0,2.506,DSDP INITIAL REPORTS
2,11,,PLEISTOCENE,PLIOCENE,14.0,23.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,0.011,5.0,2.506,DSDP INITIAL REPORTS
3,13,,UPPER PLIOCENE,,0.0,9.0,,NO AGE GIVEN,,NO AGE GIVEN,1.8,3.4,2.6,DSDP INITIAL REPORTS
3,13,,LOWER PLIOCENE,,21.0,30.0,,NO AGE GIVEN,,NO AGE GIVEN,3.4,5.0,4.2,DSDP INITIAL REPORTS
3,13,,MIDDLE EOCENE,,136.0,145.0,,NO AGE GIVEN,,NO AGE GIVEN,43.0,49.0,46.0,DSDP INITIAL REPORTS
3,13,,UPPER PLIOCENE,,0.0,9.0,,NO AGE GIVEN,,NO AGE GIVEN,1.8,3.4,2.6,DSDP INITIAL REPORTS
3,13,,LOWER PLIOCENE,,21.0,30.0,,NO AGE GIVEN,,NO AGE GIVEN,3.4,5.0,4.2,DSDP INITIAL REPORTS
3,13,,MIDDLE EOCENE,,136.0,145.0,,NO AGE GIVEN,,NO AGE GIVEN,43.0,49.0,46.0,DSDP INITIAL REPORTS
3,14,,LOWER MIOCENE,,0.0,9.0,,NO AGE GIVEN,,NO AGE GIVEN,16.0,22.5,19.25,DSDP INITIAL REPORTS
3,14,,UPPER OLIGOCENE,,12.0,87.0,,NO AGE GIVEN,,NO AGE GIVEN,22.5,30.0,26.25,DSDP INITIAL REPORTS
3,14,,LOWER OLIGOCENE,,87.0,106.0,,NO AGE GIVEN,,NO AGE GIVEN,30.0,37.5,33.75,DSDP INITIAL REPORTS
3,14,,UPPER EOCENE,,106.0,107.0,,NO AGE GIVEN,,NO AGE GIVEN,37.5,43.0,40.25,DSDP INITIAL REPORTS
3,15,,PLEISTOCENE,,0.0,9.0,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
3,15,,UPPER PLIOCENE,,18.0,27.0,,NO AGE GIVEN,,NO AGE GIVEN,1.8,3.4,2.6,DSDP INITIAL REPORTS
3,15,,LOWER PLIOCENE,,37.0,54.0,,NO AGE GIVEN,,NO AGE GIVEN,3.4,5.0,4.2,DSDP INITIAL REPORTS
3,15,,UPPER MIOCENE,,54.0,86.0,,NO AGE GIVEN,,NO AGE GIVEN,5.0,10.5,7.75,DSDP INITIAL REPORTS
3,15,,MIDDLE MIOCENE,,105.0,113.5,,NO AGE GIVEN,,NO AGE GIVEN,10.5,16.0,13.25,DSDP INITIAL REPORTS
3,15,,LOWER MIOCENE,,113.5,141.0,,NO AGE GIVEN,,NO AGE GIVEN,16.0,22.5,19.25,DSDP INITIAL REPORTS
3,16,,PLEISTOCENE,,0.0,24.0,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
3,16,,UPPER PLIOCENE,,24.0,46.0,,NO AGE GIVEN,,NO AGE GIVEN,1.8,3.4,2.6,DSDP INITIAL REPORTS
3,16,,LOWER PLIOCENE,,55.0,64.0,,NO AGE GIVEN,,NO AGE GIVEN,3.4,5.0,4.2,DSDP INITIAL REPORTS
3,16,,UPPER MIOCENE,,85.7,162.0,,NO AGE GIVEN,,NO AGE GIVEN,5.0,10.5,7.75,DSDP INITIAL REPORTS
3,17,,PLEISTOCENE,,0.0,9.0,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
3,17,,LOWER PLIOCENE,,19.2,28.4,,NO AGE GIVEN,,NO AGE GIVEN,3.4,5.0,4.2,DSDP INITIAL REPORTS
3,17,,LOWER MIOCENE,,47.6,52.3,,NO AGE GIVEN,,NO AGE GIVEN,16.0,22.5,19.25,DSDP INITIAL REPORTS
3,17,,UPPER OLIGOCENE,,52.3,85.4,,NO AGE GIVEN,,NO AGE GIVEN,22.5,30.0,26.25,DSDP INITIAL REPORTS
3,17,,PLEISTOCENE,,0.0,9.0,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
3,17,,LOWER PLIOCENE,,19.2,28.4,,NO AGE GIVEN,,NO AGE GIVEN,3.4,5.0,4.2,DSDP INITIAL REPORTS
3,17,,LOWER MIOCENE,,47.6,52.3,,NO AGE GIVEN,,NO AGE GIVEN,16.0,22.5,19.25,DSDP INITIAL REPORTS
3,17,,UPPER OLIGOCENE,,52.3,85.4,,NO AGE GIVEN,,NO AGE GIVEN,22.5,30.0,26.25,DSDP INITIAL REPORTS
3,17,,PLEISTOCENE,,0.0,9.0,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
3,17,,LOWER PLIOCENE,,19.2,28.4,,NO AGE GIVEN,,NO AGE GIVEN,3.4,5.0,4.2,DSDP INITIAL REPORTS
3,17,,LOWER MIOCENE,,47.6,52.3,,NO AGE GIVEN,,NO AGE GIVEN,16.0,22.5,19.25,DSDP INITIAL REPORTS
3,17,,UPPER OLIGOCENE,,52.3,85.4,,NO AGE GIVEN,,NO AGE GIVEN,22.5,30.0,26.25,DSDP INITIAL REPORTS
3,18,,PLEISTOCENE,,0.0,9.0,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
3,18,,LOWER MIOCENE,,121.0,169.0,,NO AGE GIVEN,,NO AGE GIVEN,16.0,22.5,19.25,DSDP INITIAL REPORTS
3,18,,UPPER OLIGOCENE,,169.0,178.1,,NO AGE GIVEN,,NO AGE GIVEN,22.5,30.0,26.25,DSDP INITIAL REPORTS
3,19,,PLEISTOCENE,,0.0,1.0,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
3,19,,NEOGENE,,1.0,18.0,,NO AGE GIVEN,,NO AGE GIVEN,1.8,22.5,12.15,DSDP INITIAL REPORTS
3,19,,UPPER OLIGOCENE,,36.6,62.9,,NO AGE GIVEN,,NO AGE GIVEN,22.5,30.0,26.25,DSDP INITIAL REPORTS
3,19,,LOWER OLIGOCENE,,62.9,79.0,,NO AGE GIVEN,,NO AGE GIVEN,30.0,37.5,33.75,DSDP INITIAL REPORTS
3,19,,UPPER EOCENE,,79.0,97.1,,NO AGE GIVEN,,NO AGE GIVEN,37.5,43.0,40.25,DSDP INITIAL REPORTS
3,19,,MIDDLE EOCENE,,97.1,140.9,,NO AGE GIVEN,,NO AGE GIVEN,43.0,49.0,46.0,DSDP INITIAL REPORTS
3,20,,PLEISTOCENE,,0.0,6.4,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
3,20,,PLEISTOCENE,,0.0,6.4,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
3,20,,PLEISTOCENE,,0.0,6.4,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
3,20,,PLEISTOCENE,,0.0,6.4,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
3,21,,PLIOCENE,,20.2,29.3,,NO AGE GIVEN,,NO AGE GIVEN,1.8,5.0,3.4,DSDP INITIAL REPORTS
3,21,,UPPER PALEOCENE,,67.1,76.3,,NO AGE GIVEN,,NO AGE GIVEN,53.5,60.0,56.75,DSDP INITIAL REPORTS
3,21,,MAESTRICHTIAN,,76.3,103.9,,NO AGE GIVEN,,NO AGE GIVEN,65.0,70.0,67.5,DSDP INITIAL REPORTS
3,21,,CAMPANIAN,,103.9,130.6,,NO AGE GIVEN,,NO AGE GIVEN,70.0,78.0,74.0,DSDP INITIAL REPORTS
3,21,,PLIOCENE,,20.2,29.3,,NO AGE GIVEN,,NO AGE GIVEN,1.8,5.0,3.4,DSDP INITIAL REPORTS
3,21,,UPPER PALEOCENE,,67.1,76.3,,NO AGE GIVEN,,NO AGE GIVEN,53.5,60.0,56.75,DSDP INITIAL REPORTS
3,21,,MAESTRICHTIAN,,76.3,103.9,,NO AGE GIVEN,,NO AGE GIVEN,65.0,70.0,67.5,DSDP INITIAL REPORTS
3,21,,CAMPANIAN,,103.9,130.6,,NO AGE GIVEN,,NO AGE GIVEN,70.0,78.0,74.0,DSDP INITIAL REPORTS
3,22,,PLEISTOCENE,,0.0,7.0,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
3,22,,UPPER PLIOCENE,,7.0,8.5,,NO AGE GIVEN,,NO AGE GIVEN,1.8,3.4,2.6,DSDP INITIAL REPORTS
3,22,,LOWER MIOCENE,,8.5,56.1,,NO AGE GIVEN,,NO AGE GIVEN,16.0,22.5,19.25,DSDP INITIAL REPORTS
3,22,,UPPER OLIGOCENE,,104.6,142.4,,NO AGE GIVEN,,NO AGE GIVEN,22.5,30.0,26.25,DSDP INITIAL REPORTS
3,22,,MIDDLE EOCENE,,234.2,242.2,,NO AGE GIVEN,,NO AGE GIVEN,43.0,49.0,46.0,DSDP INITIAL REPORTS
4,23,,PLEISTOCENE,,0.0,9.0,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
4,23,,UPPER MIOCENE,,53.0,62.0,,NO AGE GIVEN,,NO AGE GIVEN,5.0,10.5,7.75,DSDP INITIAL REPORTS
4,23,,MIDDLE MIOCENE,,62.0,72.0,,NO AGE GIVEN,,NO AGE GIVEN,10.5,16.0,13.25,DSDP INITIAL REPORTS
4,23,,LOWER MIOCENE,,112.0,140.0,,NO AGE GIVEN,,NO AGE GIVEN,16.0,22.5,19.25,DSDP INITIAL REPORTS
4,24,,LOWER MIOCENE,,198.0,234.0,,NO AGE GIVEN,,NO AGE GIVEN,16.0,22.5,19.25,DSDP INITIAL REPORTS
4,24,,LOWER MIOCENE,,198.0,234.0,,NO AGE GIVEN,,NO AGE GIVEN,16.0,22.5,19.25,DSDP INITIAL REPORTS
4,25,,PLEISTOCENE,,0.0,9.0,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
4,25,,UPPER PLIOCENE,,9.0,18.0,,NO AGE GIVEN,,NO AGE GIVEN,1.8,3.4,2.6,DSDP INITIAL REPORTS
4,25,,LOWER PLIOCENE,,18.0,22.5,,NO AGE GIVEN,,NO AGE GIVEN,3.4,5.0,4.2,DSDP INITIAL REPORTS
4,25,,UPPER MIOCENE,,22.5,37.0,,NO AGE GIVEN,,NO AGE GIVEN,5.0,10.5,7.75,DSDP INITIAL REPORTS
4,25,,MIDDLE MIOCENE,,37.0,46.0,,NO AGE GIVEN,,NO AGE GIVEN,10.5,16.0,13.25,DSDP INITIAL REPORTS
4,25,,LOWER MIOCENE,,55.0,59.0,,NO AGE GIVEN,,NO AGE GIVEN,16.0,22.5,19.25,DSDP INITIAL REPORTS
4,25,,PLEISTOCENE,,0.0,9.0,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
4,25,,UPPER PLIOCENE,,9.0,18.0,,NO AGE GIVEN,,NO AGE GIVEN,1.8,3.4,2.6,DSDP INITIAL REPORTS
4,25,,LOWER PLIOCENE,,18.0,22.5,,NO AGE GIVEN,,NO AGE GIVEN,3.4,5.0,4.2,DSDP INITIAL REPORTS
4,25,,UPPER MIOCENE,,22.5,37.0,,NO AGE GIVEN,,NO AGE GIVEN,5.0,10.5,7.75,DSDP INITIAL REPORTS
4,25,,MIDDLE MIOCENE,,37.0,46.0,,NO AGE GIVEN,,NO AGE GIVEN,10.5,16.0,13.25,DSDP INITIAL REPORTS
4,25,,LOWER MIOCENE,,55.0,59.0,,NO AGE GIVEN,,NO AGE GIVEN,16.0,22.5,19.25,DSDP INITIAL REPORTS
4,27,,CENOZOIC,,0.0,235.0,,NO AGE GIVEN,,NO AGE GIVEN,0.0,65.0,32.5,DSDP INITIAL REPORTS
4,27,,LOWER MIOCENE,,235.0,254.0,,NO AGE GIVEN,,NO AGE GIVEN,16.0,22.5,19.25,DSDP INITIAL REPORTS
4,27,,UPPER OLIGOCENE,,369.0,378.0,,NO AGE GIVEN,,NO AGE GIVEN,22.5,30.0,26.25,DSDP INITIAL REPORTS
4,27,,UPPER EOCENE,,454.0,475.0,,NO AGE GIVEN,,NO AGE GIVEN,37.5,43.0,40.25,DSDP INITIAL REPORTS
4,27,,CENOZOIC,,0.0,235.0,,NO AGE GIVEN,,NO AGE GIVEN,0.0,65.0,32.5,DSDP INITIAL REPORTS
4,27,,LOWER MIOCENE,,235.0,254.0,,NO AGE GIVEN,,NO AGE GIVEN,16.0,22.5,19.25,DSDP INITIAL REPORTS
4,27,,UPPER OLIGOCENE,,369.0,378.0,,NO AGE GIVEN,,NO AGE GIVEN,22.5,30.0,26.25,DSDP INITIAL REPORTS
4,27,,UPPER EOCENE,,454.0,475.0,,NO AGE GIVEN,,NO AGE GIVEN,37.5,43.0,40.25,DSDP INITIAL REPORTS
4,28,,UPPER EOCENE,,59.0,178.0,,NO AGE GIVEN,,NO AGE GIVEN,37.5,43.0,40.25,DSDP INITIAL REPORTS
4,28,,MIDDLE EOCENE,,178.0,354.0,,NO AGE GIVEN,,NO AGE GIVEN,43.0,49.0,46.0,DSDP INITIAL REPORTS
4,28,,UPPER CRETACEOUS,,400.0,404.0,,NO AGE GIVEN,,NO AGE GIVEN,65.0,100.0,82.5,DSDP INITIAL REPORTS
4,29,,PLEISTOCENE,,0.0,11.8,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
4,29,,UPPER PLIOCENE,,11.8,27.0,,NO AGE GIVEN,,NO AGE GIVEN,1.8,3.4,2.6,DSDP INITIAL REPORTS
4,29,,LOWER PLIOCENE,,27.0,32.6,,NO AGE GIVEN,,NO AGE GIVEN,3.4,5.0,4.2,DSDP INITIAL REPORTS
4,29,,UPPER MIOCENE,,32.6,55.0,,NO AGE GIVEN,,NO AGE GIVEN,5.0,10.5,7.75,DSDP INITIAL REPORTS
4,29,,LOWER MIOCENE,,117.0,126.0,,NO AGE GIVEN,,NO AGE GIVEN,16.0,22.5,19.25,DSDP INITIAL REPORTS
4,29,,MIDDLE EOCENE,,126.0,226.0,,NO AGE GIVEN,,NO AGE GIVEN,43.0,49.0,46.0,DSDP INITIAL REPORTS
4,29,,PLEISTOCENE,,0.0,11.8,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
4,29,,UPPER PLIOCENE,,11.8,27.0,,NO AGE GIVEN,,NO AGE GIVEN,1.8,3.4,2.6,DSDP INITIAL REPORTS
4,29,,LOWER PLIOCENE,,27.0,32.6,,NO AGE GIVEN,,NO AGE GIVEN,3.4,5.0,4.2,DSDP INITIAL REPORTS
4,29,,UPPER MIOCENE,,32.6,55.0,,NO AGE GIVEN,,NO AGE GIVEN,5.0,10.5,7.75,DSDP INITIAL REPORTS
4,29,,LOWER MIOCENE,,117.0,126.0,,NO AGE GIVEN,,NO AGE GIVEN,16.0,22.5,19.25,DSDP INITIAL REPORTS
4,29,,MIDDLE EOCENE,,126.0,226.0,,NO AGE GIVEN,,NO AGE GIVEN,43.0,49.0,46.0,DSDP INITIAL REPORTS
4,29,,PLEISTOCENE,,0.0,11.8,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
4,29,,UPPER PLIOCENE,,11.8,27.0,,NO AGE GIVEN,,NO AGE GIVEN,1.8,3.4,2.6,DSDP INITIAL REPORTS
4,29,,LOWER PLIOCENE,,27.0,32.6,,NO AGE GIVEN,,NO AGE GIVEN,3.4,5.0,4.2,DSDP INITIAL REPORTS
4,29,,UPPER MIOCENE,,32.6,55.0,,NO AGE GIVEN,,NO AGE GIVEN,5.0,10.5,7.75,DSDP INITIAL REPORTS
4,29,,LOWER MIOCENE,,117.0,126.0,,NO AGE GIVEN,,NO AGE GIVEN,16.0,22.5,19.25,DSDP INITIAL REPORTS
4,29,,MIDDLE EOCENE,,126.0,226.0,,NO AGE GIVEN,,NO AGE GIVEN,43.0,49.0,46.0,DSDP INITIAL REPORTS
4,29,,PLEISTOCENE,,0.0,11.8,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
4,29,,UPPER PLIOCENE,,11.8,27.0,,NO AGE GIVEN,,NO AGE GIVEN,1.8,3.4,2.6,DSDP INITIAL REPORTS
4,29,,LOWER PLIOCENE,,27.0,32.6,,NO AGE GIVEN,,NO AGE GIVEN,3.4,5.0,4.2,DSDP INITIAL REPORTS
4,29,,UPPER MIOCENE,,32.6,55.0,,NO AGE GIVEN,,NO AGE GIVEN,5.0,10.5,7.75,DSDP INITIAL REPORTS
4,29,,LOWER MIOCENE,,117.0,126.0,,NO AGE GIVEN,,NO AGE GIVEN,16.0,22.5,19.25,DSDP INITIAL REPORTS
4,29,,MIDDLE EOCENE,,126.0,226.0,,NO AGE GIVEN,,NO AGE GIVEN,43.0,49.0,46.0,DSDP INITIAL REPORTS
4,30,,PLEISTOCENE,,50.0,175.5,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
4,30,,UPPER PLIOCENE,,175.5,269.0,,NO AGE GIVEN,,NO AGE GIVEN,1.8,3.4,2.6,DSDP INITIAL REPORTS
4,30,,LOWER PLIOCENE,,318.0,327.0,,NO AGE GIVEN,,NO AGE GIVEN,3.4,5.0,4.2,DSDP INITIAL REPORTS
4,30,,UPPER MIOCENE,,366.0,384.0,,NO AGE GIVEN,,NO AGE GIVEN,5.0,10.5,7.75,DSDP INITIAL REPORTS
4,30,,MIDDLE MIOCENE,,384.0,412.0,,NO AGE GIVEN,,NO AGE GIVEN,10.5,16.0,13.25,DSDP INITIAL REPORTS
4,30,,LOWER MIOCENE,,412.0,430.0,,NO AGE GIVEN,,NO AGE GIVEN,16.0,22.5,19.25,DSDP INITIAL REPORTS
4,31,,PLEISTOCENE,,0.0,41.0,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
4,31,,UPPER PLIOCENE,,60.0,88.0,,NO AGE GIVEN,,NO AGE GIVEN,1.8,3.4,2.6,DSDP INITIAL REPORTS
4,31,,LOWER PLIOCENE,,88.0,106.0,,NO AGE GIVEN,,NO AGE GIVEN,3.4,5.0,4.2,DSDP INITIAL REPORTS
4,31,,MIDDLE MIOCENE,,155.0,164.0,,NO AGE GIVEN,,NO AGE GIVEN,10.5,16.0,13.25,DSDP INITIAL REPORTS
