Exp,Site,Hole,Latitude,Longitude,Water depth (m),Penetration DSF (m),Cored interval (m),Recovered length (m),Recovery (%),Drilled interval (m),Drilled interval (no.),Total cores (no.),APC cores (no.),HLAPC cores (no.),XCB cores (no.),RCB cores (no.),Other cores (no.),Date started (UTC),Date finished (UTC),Time on hole (days),Comments,
323,U1339,A,54 40.2001 N,169 58.9017 W,1871.82,33.4,33.4,34.87,104.4,,0,4,4,0,0,0,0,7/17/09 16:03,7/18/09 14:30,0.94,Shot core 1H -.6m below mean tide,
323,U1339,B,54 40.2103 N,169 58.9106 W,1872.72,196,196,204.45,104.31,,0,22,22,0,0,0,0,7/18/09 14:30,7/19/09 20:10,1.24,Shot core 1H +.7m above mean tide,
323,U1339,C,54 40.2063 N,169 58.8852 W,1872.72,194.8,194.8,199.4,102.36,,0,21,21,0,0,0,0,7/19/09 20:10,7/20/09 16:10,0.83,Shot core 1H +.7m above mean tide,
323,U1339,D,54 40.1891 N,169 58.8909 W,1873.22,200,200,206.03,103.01,,0,22,22,0,0,0,0,7/20/09 16:10,7/22/09 7:45,1.65,Shot core 1H +.3m above mean tide,
323,U1340,A,53 24.0008 N,179 31.2973 W,1299.82,604.5,604.5,535.89,88.65,,0,71,46,0,24,0,1,7/23/09 23:15,7/26/09 21:03,2.91,,
323,U1340,B,53 24.0002 N,179 30.9815 W,1302.42,53.9,53.9,55.53,103.02,,0,6,6,0,0,0,0,7/26/09 21:03,7/27/09 4:00,0.29,,
323,U1340,C,53 23.8113 N,179 31.2975 W,1298.62,28.5,28.5,30,105.26,,0,3,3,0,0,0,0,7/27/09 4:00,7/27/09 8:35,0.19,,
323,U1340,D,53 23.8004 N,179 31.2974 W,1298.62,26.3,26.3,27.23,103.54,,0,3,3,0,0,0,0,7/27/09 8:35,7/27/09 15:34,0.29,,
323,U1341,A,54 02.0025 N,179 00.4999 E,2144.82,359.2,359.2,373.23,103.91,,0,41,41,0,0,0,0,7/27/09 21:54,7/29/09 21:50,2,,
323,U1341,B,54 01.9984 N,179 00.5171 E,2144.82,600,600,594.54,99.09,,0,71,56,0,15,0,0,7/29/09 21:50,8/2/09 15:55,3.75,,
323,U1341,C,54 02.0010 N,179 00.5390 E,2144.82,230,230,242.06,105.24,,0,27,26,0,0,0,1,8/2/09 15:55,8/4/09 0:24,1.35,,
323,U1342,A,54 49.6987 N,176 55.0027 E,823.62,53.3,53.3,57.39,107.67,,0,9,7,0,1,0,1,8/4/09 8:30,8/4/09 22:20,0.58,,
323,U1342,B,54 49.7004 N,176 55.0232 E,824.42,43.3,43.3,44.83,103.53,,0,5,5,0,0,0,0,8/4/09 22:20,8/5/09 1:50,0.15,,
323,U1342,C,54 49.7017 N,176 55.0411 E,824.32,45.4,45.4,47.06,103.66,,0,6,6,0,0,0,0,8/5/13 1:50,8/5/13 8:00,0.26,,
323,U1342,D,54 49.7018 N,176 55.0581 E,823.72,131.2,131.2,79.49,60.59,,0,19,5,0,13,0,1,8/5/09 8:00,8/6/09 17:15,1.39,,
323,U1343,A,57 33.3993 N,175 48.9659 W,1956.42,201.5,201.5,204.03,101.26,,0,22,22,0,0,0,0,8/7/09 20:08,8/8/09 21:00,1.04,,
323,U1343,B,57 33.4156 N,175 48.9951 W,1956.42,35.5,35.5,34.56,97.35,,0,4,4,0,0,0,0,8/8/09 21:00,8/9/09 1:15,0.18,,
323,U1343,C,57 33.3982 N,175 49.0275 W,1958.22,234.2,234.2,231.04,98.65,,0,26,26,0,0,0,0,8/9/09 1:15,8/10/09 0:10,0.95,,
323,U1343,D,57 33.3817 N,175 48.9971 W,1959.72,8.5,8.5,8.53,100.35,,0,1,1,0,0,0,0,8/10/09 0:10,8/10/09 1:35,0.06,,
323,U1343,E,57 33.3814 N,175 48.9974 W,1961.52,744.3,744.3,700.27,94.08,,0,83,44,0,38,0,1,8/10/09 1:35,8/14/09 12:24,4.45,,
323,U1344,A,59 03.0005 N,179 12.2011 W,3177.52,745,745,648.1,86.99,,0,79,27,0,52,0,0,8/15/09 1:54,8/20/09 11:35,5.4,,
323,U1344,B,59 03.0112 N,179 12.2051 W,3178.92,4.8,4.8,4.8,100,,0,1,1,0,0,0,0,8/20/09 11:35,8/20/09 13:35,0.08,,
323,U1344,C,59 03.0116 N,179 12.2052 W,3178.62,35.6,35.6,33.51,94.13,,0,4,4,0,0,0,0,8/20/09 13:35,8/20/09 18:50,0.22,,
323,U1344,D,59 03.0224 N,179 12.2030 W,3180.02,286.5,286.5,286.1,99.86,,0,32,32,0,0,0,0,8/20/09 18:50,8/22/09 6:20,1.48,,
323,U1344,E,59 03.0339 N,179 12.2029 W,3179.92,202.8,202.8,202.68,99.94,,0,23,22,0,0,0,1,8/22/09 6:20,8/23/09 13:36,1.3,,
323,U1345,A,60 09.1917 N,179 28.2036 W,1013.22,146.9,146.9,148.49,101.08,,0,16,16,0,0,0,0,8/23/09 20:06,8/24/09 12:55,0.7,,
323,U1345,B,60 09.2003 N,179 28.2127 W,1013.47,36.7,36.7,38.24,104.2,,0,4,4,0,0,0,0,8/24/09 12:55,8/24/09 16:50,0.16,,
323,U1345,C,60 09.2097 N,179 28.2229 W,1014.72,148.5,148.5,152.85,102.93,,0,16,16,0,0,0,0,8/24/09 16:50,8/25/09 1:50,0.38,,
323,U1345,D,60 09.2175 N,179 28.2283 W,1014.22,150,150,154.62,103.08,,0,16,16,0,0,0,0,8/25/09 1:50,8/25/09 10:50,0.38,,
323,U1345,E,60 09.2264 N,179 28.2407 W,1013.02,150,150,154.15,102.77,,0,16,16,0,0,0,0,8/25/09 10:50,8/26/09 0:54,0.59,,
324,U1346,A,38 00.4001 N,162 38.7096 E,3623.52,91.3,91.3,25.77,28.23,,0,15,0,0,0,15,1,9/15/09 9:30,9/20/09 18:00,5.35,"SRNH-2, 3627.4 mbrf",
324,U1347,A,32 30.476  N,159 14.079 E,3454.32,246.5,246.5,116.01,47.06,,0,28,0,0,0,28,1,9/22/09 17:30,10/3/09 4:00,10.44,"SRSH-3B, 3461.0 mbrf",
324,U1348,A,34 24.9396  N,159 22.9074 E,3268.42,239.9,239.9,80.91,33.73,,0,25,0,0,0,25,1,10/3/09 15:15,10/8/09 8:45,4.73,3275.0 mbrf ,
324,U1349,A,36 06.944 N,158 27.526 E,3131.52,134.4,134.4,65.875,49.01,,0,15,0,0,0,15,1,10/8/09 12:45,10/13/09 19:30,5.28,"3138.0 mbrf, SRCH-5",
324,U1350,A,36 04.492 N,159 17.065 E,4060.62,211.2,211.2,75.205,35.61,,0,25,0,0,0,25,1,10/14/09 1:15,10/21/09 12:45,7.48,SRCH-4; Offset to mbrf +11.1 m,
327,U1362,A,47 45.6628 N,127 45.6720 W,2665.42,528,150,44.41,29.61,378,6,20,0,0,0,20,0,7/11/10 11:30,8/17/10 10:45,36.97,,
327,U1362,B,47 45.4997 N,127 45.7312 W,2665.42,359,,,0,359,6,0,0,0,0,0,0,7/10/10 8:15,7/29/10 19:00,19.45,,
327,U1363,A,47 17.3555 N,128 02.1107 W,2682.92,58,,,0,58,1,0,0,0,0,0,0,8/29/10 16:15,8/31/10 3:30,1.47,Established basement at 58 mbsf,
327,U1363,B,47 17.3518 N,128 02.1060 W,2682.92,61,61,49.74,81.54,,0,10,6,0,4,0,0,8/31/10 3:30,8/31/10 21:45,0.76,,
327,U1363,C,47 17.5759 N,128 01.7641 W,2682.92,202.4,32.4,7,21.6,170,1,4,0,0,4,0,0,8/31/10 21:45,9/2/10 1:00,1.14,,
327,U1363,D,47 17.5724 N,128 01.7599 W,2682.92,231.8,33.8,15.03,44.47,198,1,5,0,0,5,0,0,9/2/10 1:00,9/3/10 7:00,1.25,,
327,U1363,E,47 17.3310 N,128 02.1447 W,2682.92,37,,,0,37,1,0,0,0,0,0,0,9/3/10 7:00,9/3/10 11:30,0.19,,
327,U1363,F,47 17.3261 N,128 02.1374 W,2682.92,35,35,31.18,89.09,,0,4,4,0,0,0,0,9/3/10 11:30,9/3/10 17:30,0.25,,
327,U1363,G,47 17.3118 N,128 02.1698 W,2681.92,24.9,24.9,22.92,92.05,,0,3,3,0,0,0,0,9/3/10 17:30,9/4/10 10:15,0.7,,
328,U1364,A,48 41.9962 N,126 52.3291 W,,336,,,0,336,1,0,0,0,0,0,0,9/10/10 6:00,9/17/10 14:00,7.33,Install ACORK in Hole U1364A,
329,U1365,A,23 51.0493 S,165 38.6624 W,5695.57,75.5,75.5,74.06,98.09,,0,26,26,0,0,0,0,10/16/10 0:30,10/19/10 8:45,3.34,Wash hole to basement prior to coring Hole U1365A,
329,U1365,B,23 51.0388 S,165 38.6629 W,5694.66,75.6,54.6,55.79,102.18,21,1,8,8,0,0,0,0,10/19/10 8:45,10/20/10 6:45,0.92,,
329,U1365,C,23 51.0377 S,165 38.6502 W,5696.66,74.8,48.8,39.67,81.29,26,1,8,8,0,0,0,0,10/20/10 6:45,10/21/10 4:30,0.91,,
329,U1365,D,23 51.0359 S,165 38.6381 W,5694.13,19,19,18.89,99.42,,0,2,2,0,0,0,0,10/21/10 4:30,10/21/10 20:30,0.67,,
329,U1365,E,23 51.0489 S,165 38.6420 W,5694.13,124.2,53.2,39.66,74.55,71,1,11,0,0,0,11,0,10/21/10 20:30,10/27/10 21:15,6.03,,
329,U1366,A,26 03.0945 S,156 53.6591 W,5135.04,17.8,,,0,17.8,1,0,0,0,0,0,0,10/29/10 22:15,10/30/10 8:45,0.44,Wash down hole.,
329,U1366,B,26 03.0950 S,156 53.6714 W,5130.84,17.2,17.2,17.31,100.64,,0,2,2,0,0,0,0,10/30/10 8:45,10/30/10 13:00,0.18,Shoot depth 5140 mbrf,
329,U1366,C,26 03.0845 S,156 53.6700 W,5129.54,25,25,25.42,101.68,,0,3,3,0,0,0,0,10/30/10 13:00,10/30/10 17:15,0.18,Shoot depth 5137 mbrf,
329,U1366,D,26 03.0850 S,156 53.6652 W,5126.14,20.9,20.9,18.86,90.24,,0,4,3,0,1,0,0,10/30/10 17:15,10/30/10 23:30,0.26,Shoot depth 5137 mbrf,
329,U1366,E,26 03.0843 S,156 53.6825 W,5127.83,4.7,4.7,4.71,100.21,,0,1,1,0,0,0,0,10/30/10 23:30,10/31/10 0:15,0.03,Shoot depth 5134 mbrf,
329,U1366,F,26 03.0836 S,156 53.6937 W,5127.03,30.1,30.1,30.15,100.17,,0,4,4,0,0,0,0,10/31/10 0:15,10/31/10 18:15,0.75,Shoot depth 5134 mbrf,
329,U1367,A,26 28.8972 S,137 56.3646 W,4290.94,21.2,,,0,21.2,1,0,0,0,0,0,0,11/3/10 23:00,11/5/10 8:15,1.39,,
329,U1367,B,26 28.8966 S,137 56.3777 W,4288.94,22.3,22.3,22.31,100.04,,0,4,4,0,0,0,0,11/5/10 8:15,11/5/10 14:45,0.27,,
329,U1367,C,26 28.8860 S,137 56.3783 W,4288.24,26.7,26.7,27.01,101.16,,0,4,4,0,0,0,0,11/5/10 14:45,11/5/10 20:00,0.22,,
329,U1367,D,26 28.8861 S,137 56.3659 W,4288.04,25.5,25.5,24.54,96.24,,0,4,4,0,0,0,0,11/5/10 20:00,11/6/10 3:00,0.29,,
329,U1367,E,26 28.8856 S,137 56.3538 W,4287.64,24.4,24.4,23.15,94.88,,0,3,3,0,0,0,0,11/6/10 3:00,11/6/10 14:00,0.46,,
329,U1367,F,26 28.8960 S,137 56.3538 W,4288.94,55.5,38.5,4.33,11.25,17,1,5,0,0,0,5,0,11/6/10 14:00,11/9/10 5:45,2.66,,
329,U1368,A,27 55.0017 S,123 09.6562 W,3739.98,13.6,,,0,13.6,1,0,0,0,0,0,0,11/12/10 15:45,11/13/10 2:00,0.43,,
329,U1368,B,27 55.0024 S,123 09.6679 W,3739.06,16,16,15.84,99,,0,3,3,0,0,0,0,11/13/10 2:00,11/13/10 7:00,0.21,Shoot depth at 3746 mbrf,
329,U1368,C,27 54.9916 S,123 09.6681 W,3738.56,16.3,16.3,16.34,100.25,,0,2,2,0,0,0,0,11/13/10 7:00,11/13/10 9:15,0.09,Shoot depth 3748 mbrf,
329,U1368,D,27 54.9920 S,123 09.6561 W,3739.06,15,15,15.04,100.27,,0,2,2,0,0,0,0,11/13/10 9:15,11/13/10 11:30,0.09,Shoot depth 3748 mbrf,
329,U1368,E,27 54.9918 S,123 09.6442 W,3740.96,10.6,10.6,10.58,99.81,,0,2,2,0,0,0,0,11/13/10 11:30,11/13/10 20:00,0.35,Shoot depth 3748 mbrf,
329,U1368,F,27 55.0021 S,123 09.6433 W,3740.96,115.1,115.1,31.74,27.58,,0,14,0,0,0,14,0,11/13/10 20:00,11/18/10 12:30,4.69,,
329,U1369,A,39 18.6177 S,139 48.0383 W,5279.43,12.2,,,0,12.2,1,0,0,0,0,0,0,11/22/10 15:00,11/23/10 1:30,0.44,,
329,U1369,B,39 18.6178 S,139 48.0522 W,5275.23,15.9,15.9,18.14,114.09,,0,3,3,0,0,0,0,11/23/10 1:30,11/23/10 10:30,0.38,,
329,U1369,C,39 18.6070 S,139 48.0519 W,5276.93,14.6,14.6,16.1,110.27,,0,3,3,0,0,0,0,11/23/10 10:30,11/23/10 15:30,0.21,,
329,U1369,D,39 18.6069 S,139 48.0378 W,5276.93,0.1,0.1,0.08,80,,0,1,1,0,0,0,0,11/23/10 15:30,11/23/10 16:15,0.03,,
329,U1369,E,39 18.6070 S,139 48.0246 W,5277.73,15.5,15.5,15.49,99.94,,0,3,3,0,0,0,0,11/23/10 16:15,11/24/10 7:30,0.64,,
329,U1370,A,41 51.1289 S,153 06.3799 W,5074.58,66.7,,,0,66.7,1,0,0,0,0,0,0,11/26/10 16:00,11/27/10 6:15,0.59,Offset from Hole U1370B,
329,U1370,B,41 51.1285 S,153 06.3953 W,5074.58,7.8,7.8,7.81,100.13,,0,1,1,0,0,0,0,11/27/10 6:15,11/27/10 10:00,0.16,,
329,U1370,C,41 51.1171 S,153 06.3975 W,5074.58,7.8,,,0,7.8,1,0,0,0,0,0,0,11/27/10 10:00,11/27/10 20:00,0.42,,
329,U1370,D,41 51.1156 S,153 06.3812 W,5073.58,68.2,68.2,70.26,103.02,,0,8,8,0,0,0,0,11/27/10 20:00,11/28/10 12:45,0.7,,
329,U1370,E,41 51.1158 S,153 06.3668 W,5074.16,65.6,65.6,70.2,107.01,,0,9,9,0,0,0,0,11/28/10 12:45,11/29/10 9:00,0.84,,
329,U1370,F,41 51.1267 S,153 06.3674 W,5073.65,64.7,64.7,66.32,102.5,,0,8,8,0,0,0,0,11/29/10 9:00,11/30/10 6:00,0.88,,
329,U1371,A,45 57.8492 S,163 11.0513 W,5305.2,123.5,,,0,123.5,1,0,0,0,0,0,0,12/2/10 9:00,12/2/10 23:45,0.61,Basement at 5438.5 mbrf,
329,U1371,B,45 57.8509 S,163 11.0673 W,5305.18,8.1,8.1,8.15,100.62,,0,1,1,0,0,0,0,12/2/10 23:45,12/3/10 3:00,0.14,Water core from 5310 mbrf.,
329,U1371,C,45 57.8404 S,163 11.0684 W,5300.78,9.5,9.5,9.83,103.47,,0,1,1,0,0,0,0,12/3/10 3:00,12/3/10 4:45,0.07,,
329,U1371,D,45 57.8394 S,163 11.0512 W,5299.88,126,126,126.87,100.69,,0,14,14,0,0,0,0,12/3/10 4:45,12/4/10 13:30,1.36,,
329,U1371,E,45 57.8397 S,163 11.0365  W,5287.55,128.2,128.2,118.16,92.17,,0,14,14,0,0,0,0,12/4/10 13:30,12/5/10 11:00,0.9,,
329,U1371,F,45 57.8502 S,163 11.0369 W,5285.64,130.6,130.6,118.44,90.69,,0,14,14,0,0,0,0,12/5/10 11:00,12/6/10 7:00,0.83,,
329,U1371,G,45 57.8637 S,163 11.0360 W,5302.72,1.4,1.4,1.37,97.86,,0,1,1,0,0,0,0,12/6/10 7:00,12/6/10 9:45,0.11,,
329,U1371,H,45 57.8648 S,163 11.0512 W,5298.92,6.2,6.2,6.19,99.84,,0,1,1,0,0,0,0,12/6/10 9:45,12/6/10 23:30,0.57,Retired Bit CX186,
330,U1372,A,26 29.6017 S,174 43.7506 W,1957.57,232.9,232.9,139.73,60,,0,38,0,0,0,38,0,12/21/10 16:00,12/31/10 3:00,9.46,"2nd bit SN407, 34.1. Sever BHA when stuck.",
330,U1373,A,28 33.8907 S,173 16.8499 W,1447.03,65.7,65.7,47.22,71.87,,0,13,0,0,0,13,0,12/31/10 17:30,1/5/11 12:15,4.78,Offset to sea level is 11.0 m,
330,U1374,A,28 35.7513 S,173 22.8294 W,1559,522,522,457.89,87.72,,0,73,0,0,0,73,0,1/5/11 16:30,1/23/11 19:45,18.14,Offset to sea level is 11.0 m,
330,U1375,A,33 41.9020 S,171 26.9395 W,1269.02,11.5,11.5,1.5,13.04,,0,2,0,0,0,2,0,1/25/11 3:30,1/25/11 22:30,0.79,,
330,U1375,B,33 41.7860 S,171 27.0753 W,1258.02,8.5,8.5,0.57,6.71,,0,1,0,0,0,1,0,1/25/11 22:30,1/26/11 13:45,0.64,,
330,U1376,A,32 13.0429 S,171 52.8396 W,1503.29,182.8,182.8,136.17,74.49,,0,23,0,0,0,23,0,1/26/11 23:00,2/3/11 22:00,7.96,1503.3 mbsl or -11 m offset from mbrf.,
330,U1377,A,38 10.9808 S,168 38.2620 W,1250.75,53.3,53.3,8.76,16.44,,0,6,0,0,0,6,0,2/5/11 9:30,2/5/11 18:15,0.36,1250.8 mbsl or 11.2 m offset from DES.,
