Site/Hole   ,Latitude   ,Longitude   ,Water Depth (mbsl),No. of Cores,Interval Cored (m),Core Recovered (m),% Recovered,Drilled (m),Penetration (m),Comment,"<a href=""mailto:database@iodp.tamu.edu"">Data Librarian</a>."
 678B       , 1&deg;13.008'N, 83&deg;43.392'W,            3465.0,4.0,28.8,27.72,96.2,0.0,171.8,,
 679A       ,11&deg; 3.520'S, 78&deg;15.918'W,             434.0,1.0,7.0,7.0,100.0,0.0,7.0,,
 679B       ,11&deg; 3.800'S, 78&deg;16.340'W,             458.0,13.0,107.2,102.99,96.1,0.0,107.2,,
 679C       ,11&deg; 3.810'S, 78&deg;16.330'W,             458.0,8.0,75.5,69.78,92.4,0.0,75.5,,
 679D       ,11&deg; 3.830'S, 78&deg;16.330'W,             462.0,27.0,245.2,116.03,47.3,0.0,245.4,,
 679E       ,11&deg; 3.780'S, 78&deg;16.340'W,             462.0,13.0,114.0,36.3,31.8,0.0,359.3,,
 680A       ,11&deg; 3.900'S, 78&deg; 4.670'W,             272.0,10.0,93.8,81.19,86.6,0.0,93.8,,
 680B       ,11&deg; 3.900'S, 78&deg; 4.670'W,             273.0,22.0,195.5,98.45,50.4,0.0,195.5,,
 680C       ,11&deg; 3.900'S, 78&deg; 4.670'W,             272.0,4.0,34.3,35.04,102.2,0.0,34.3,,
 681A       ,10&deg;58.600'S, 77&deg;57.460'W,             161.0,20.0,187.0,112.4,60.1,0.0,187.0,,
 681B       ,10&deg;58.600'S, 77&deg;57.460'W,             162.0,16.0,143.5,97.3,67.8,0.0,143.5,,
 681C       ,10&deg;58.600'S, 77&deg;57.460'W,             162.0,10.0,91.4,86.24,94.4,0.0,91.4,,
 682A       ,11&deg;15.990'S, 79&deg; 3.730'W,            3801.0,48.0,436.7,127.04,29.1,0.0,436.7,,
 683A       , 9&deg; 1.690'S, 80&deg;24.400'W,            3087.0,45.0,419.2,217.67,51.9,0.0,419.2,,
 683B       , 9&deg; 1.590'S, 80&deg;24.260'W,            3077.0,9.0,85.5,30.67,35.9,0.0,488.0,,
 684A       , 8&deg;59.490'S, 79&deg;57.350'W,             438.0,15.0,136.1,72.5,53.3,0.0,136.1,,
 684B       , 8&deg;59.490'S, 79&deg;57.350'W,             439.0,6.0,55.0,37.17,67.6,0.0,55.0,,
 684C       , 8&deg;59.490'S, 79&deg;57.350'W,             438.0,13.0,115.0,56.23,48.9,0.0,115.0,,
 685A       , 9&deg; 6.780'S, 80&deg;35.010'W,            5093.0,51.0,468.6,278.65,59.5,0.0,468.6,,
 686A       ,13&deg;28.810'S, 76&deg;53.490'W,             454.0,23.0,205.7,181.71,88.3,0.0,205.7,,
 686B       ,13&deg;28.810'S, 76&deg;53.490'W,             458.0,32.0,303.0,225.53,74.4,0.0,303.0,,
 687A       ,12&deg;51.780'S, 76&deg;59.430'W,             316.0,22.0,207.0,108.29,52.3,0.0,207.0,,
 687B       ,12&deg;51.780'S, 76&deg;59.430'W,             316.0,22.0,195.3,87.43,44.8,0.0,195.3,,
 688A       ,11&deg;32.260'S, 78&deg;56.570'W,            3827.0,37.0,350.3,245.29,       70.0,0.0,350.3,,
 688B       ,11&deg;32.260'S, 78&deg;56.570'W,            3830.0,1.0,9.5,0.0,        0.0,0.0,359.5,,
 688C       ,11&deg;32.260'S, 78&deg;56.570'W,            3829.0,1.0,9.5,1.19,       12.5,0.0,359.8,,
 688D       ,11&deg;32.260'S, 78&deg;56.570'W,            3836.0,0.0,0.0,0.0,           ,0.0,345.0,,
 688E       ,11&deg;32.280'S, 78&deg;56.650'W,            3827.0,46.0,429.0,151.98,       35.4,0.0,779.0,,
 689A       ,64&deg;31.020'S,  3&deg; 5.994'E,            2080.0,1.0,9.5,9.35,98.4,0.0,11.8,,
 689B       ,64&deg;31.020'S,  3&deg; 5.994'E,            2080.0,33.0,297.3,229.45,77.2,0.0,297.3,,
 689C       ,64&deg;31.020'S,  3&deg; 6.024'E,            2080.3,3.0,27.6,20.54,74.4,0.0,27.6,,
 689D       ,64&deg;31.020'S,  3&deg; 6.024'E,            2080.3,12.0,115.7,115.97,100.2,0.0,133.8,,
 690A       ,65&deg; 9.629'S,  1&deg;12.296'E,            2914.0,1.0,7.7,9.86,128.1,0.0,7.7,,
 690B       ,65&deg; 9.629'S,  1&deg;12.296'E,            2914.0,25.0,213.4,214.75,100.6,0.0,213.4,,
 690C       ,65&deg; 9.621'S,  1&deg;12.285'E,            2914.0,23.0,200.6,177.19,88.3,0.0,321.2,,
 691A       ,70&deg;44.520'S, 13&deg;48.660'W,            3035.0,1.0,0.1,0.05,50.0,0.0,0.1,,
 691B       ,70&deg;44.640'S, 13&deg;48.558'W,            2038.0,1.0,1.7,0.0,0.0,0.0,1.7,,
 691C       ,70&deg;44.580'S, 13&deg;48.678'W,            3025.0,1.0,12.7,0.0,0.0,0.0,12.7,,
 692A       ,70&deg;43.447'S, 13&deg;49.208'W,            2880.0,1.0,6.7,0.65,9.7,0.0,6.7,,
 692B       ,70&deg;43.432'S, 13&deg;49.195'W,            2875.0,11.0,97.9,29.3,29.9,0.0,97.9,,
 693A       ,70&deg;49.892'S, 14&deg;34.410'W,            2359.0,51.0,483.9,213.58,44.1,0.0,483.9,,
 693B       ,70&deg;49.888'S, 14&deg;34.461'W,            2359.0,18.0,167.4,92.16,55.1,0.0,401.2,,
 694A       ,66&deg;50.820'S, 33&deg;26.790'W,            4653.4,1.0,9.8,9.85,100.5,0.0,9.8,,
 694B       ,66&deg;50.820'S, 33&deg;26.826'W,            4653.4,23.0,184.7,64.94,35.2,0.0,188.6,,
 694C       ,66&deg;50.820'S, 33&deg;26.766'W,            4653.4,22.0,211.5,71.73,33.9,0.0,391.3,,
 695A       ,62&deg;23.476'S, 43&deg;27.095'W,            1300.1,37.0,348.6,254.39,73.0,0.0,345.1,,
 696A       ,61&deg;50.945'S, 42&deg;55.984'W,             650.0,12.0,106.0,58.3,55.0,0.0,103.0,,
 696B       ,61&deg;50.959'S, 42&deg;55.996'W,             650.0,59.0,569.0,156.69,27.5,0.0,645.6,,
 697A       ,61&deg;48.634'S, 40&deg;17.268'W,            3480.0,3.0,28.1,26.6,94.7,0.0,20.9,,
 697B       ,61&deg;48.626'S, 40&deg;17.749'W,            3480.0,32.0,304.9,188.3,61.8,0.0,322.9,,
 698A       ,51&deg;27.540'S, 33&deg; 5.958'W,            2137.5,27.0,237.0,52.26,22.1,0.0,237.0,,
 699A       ,51&deg;32.520'S, 30&deg;40.620'W,            3705.5,56.0,518.1,356.52,68.8,0.0,518.1,,
 700A       ,51&deg;31.980'S, 30&deg;16.698'W,            3601.0,2.0,9.6,0.19,2.0,0.0,9.6,,
 700B       ,51&deg;31.980'S, 30&deg;16.686'W,            3601.0,53.0,472.1,245.19,51.9,0.0,489.0,,
 701A       ,51&deg;59.100'S, 23&deg;12.738'W,            4636.7,8.0,74.8,69.66,93.1,0.0,74.8,,
 701B       ,51&deg;59.100'S, 23&deg;12.738'W,            4636.7,14.0,133.0,96.36,72.5,0.0,203.0,,
 701C       ,51&deg;59.100'S, 23&deg;12.702'W,            4636.7,51.0,481.3,331.06,68.8,0.0,481.4,,
 702A       ,50&deg;56.760'S, 26&deg;22.128'W,            3083.4,4.0,33.1,34.21,103.4,0.0,33.1,,
 702B       ,50&deg;56.760'S, 26&deg;22.116'W,            3083.7,32.0,294.3,195.1,66.3,0.0,294.3,,
 703A       ,47&deg; 3.060'S,  7&deg;53.682'E,            1796.1,41.0,377.4,192.29,51.0,0.0,377.4,,
 704A       ,46&deg;52.740'S,  7&deg;25.248'E,            2532.3,30.0,282.7,224.55,79.4,0.0,282.7,,
 704B       ,46&deg;52.800'S,  7&deg;25.230'E,            2532.3,72.0,671.7,502.75,74.8,0.0,671.7,,
 705A       ,13&deg;10.020'S, 61&deg;23.022'E,            2318.0,3.0,27.5,19.16,69.7,0.0,27.5,,
 706A       ,13&deg; 6.840'S, 61&deg;22.260'E,            2517.0,6.0,47.5,39.28,82.7,0.0,47.5,,
 706B       ,13&deg; 6.840'S, 61&deg;22.260'E,            2518.0,7.0,43.7,29.44,67.4,0.0,43.7,,
 706C       ,13&deg; 6.840'S, 61&deg;22.260'E,            2518.0,8.0,77.4,19.72,25.5,0.0,121.7,,
 707A       , 7&deg;32.718'S, 59&deg; 1.008'E,            1553.0,24.0,213.3,160.27,75.1,0.0,213.3,,
 707B       , 7&deg;32.718'S, 59&deg; 1.008'E,            1552.0,13.0,124.9,96.08,76.9,0.0,124.9,,
 707C       , 7&deg;32.718'S, 59&deg; 1.008'E,            1552.0,27.0,259.4,91.56,35.3,0.0,443.2,,
 708A       , 5&deg;27.348'S, 59&deg;56.628'E,            4107.0,25.0,236.2,189.72,80.3,0.0,236.2,,
 709A       , 3&deg;54.900'S, 60&deg;33.102'E,            3047.0,21.0,203.1,184.74,91.0,0.0,203.1,,
 709B       , 3&deg;54.900'S, 60&deg;33.102'E,            3049.0,27.0,254.8,234.55,92.1,0.0,254.8,,
 709C       , 3&deg;54.900'S, 60&deg;33.102'E,            3039.0,37.0,353.7,330.03,93.3,0.0,353.7,,
 710A       , 4&deg;18.702'S, 60&deg;58.800'E,            3823.0,22.0,209.7,185.2,88.3,0.0,209.7,,
 710B       , 4&deg;18.702'S, 60&deg;58.800'E,            3821.0,9.0,83.4,72.06,86.4,0.0,83.4,,
 711A       , 2&deg;44.562'S, 61&deg; 9.780'E,            4439.0,26.0,249.6,203.86,81.7,0.0,249.7,,
 711B       , 2&deg;44.562'S, 61&deg; 9.780'E,            4440.0,11.0,98.3,89.25,90.8,0.0,98.6,,
 712A       , 4&deg;12.990'S, 73&deg;24.378'E,            2903.0,12.0,115.3,41.46,36.0,0.0,115.3,,
 713A       , 4&deg;11.580'S, 73&deg;23.652'E,            2920.0,22.0,191.7,114.98,60.0,0.0,191.7,,
 714A       , 5&deg; 3.600'N, 73&deg;47.202'E,            2041.0,25.0,233.0,194.63,83.5,0.0,233.0,,
 714B       , 5&deg; 3.600'N, 73&deg;47.202'E,            2041.0,13.0,122.6,114.93,93.7,0.0,122.6,,
 715A       , 5&deg; 4.890'N, 73&deg;49.878'E,            2273.0,31.0,287.8,137.62,47.8,0.0,287.8,,
 716A       , 4&deg;55.998'N, 73&deg;16.998'E,             544.0,27.0,257.1,262.68,102.2,0.0,257.1,,
 716B       , 4&deg;55.998'N, 73&deg;16.998'E,             544.0,28.0,264.4,267.36,101.1,0.0,264.4,,
 717A       , 0&deg;55.788'S, 81&deg;23.406'E,            4734.7,1.0,9.5,9.64,101.5,0.0,9.5,,
 717B       , 0&deg;55.788'S, 81&deg;23.406'E,            4734.7,2.0,13.5,13.43,99.5,0.0,13.5,,
 717C       , 0&deg;55.788'S, 81&deg;23.406'E,            4734.7,87.0,814.7,480.52,59.0,0.0,828.2,,
 718A       , 1&deg; 1.254'S, 81&deg;24.066'E,            4730.2,1.0,9.5,9.42,99.2,0.0,9.5,,
 718B       , 1&deg; 1.254'S, 81&deg;24.066'E,            4730.2,1.0,9.5,9.26,97.5,0.0,9.5,,
 718C       , 1&deg; 1.254'S, 81&deg;24.066'E,            4730.2,98.0,925.7,274.05,29.6,0.0,935.0,,
 718D       , 1&deg; 1.254'S, 81&deg;24.066'E,            4730.2,2.0,19.0,0.17,0.9,0.0,90.0,,
 718E       , 1&deg; 1.254'S, 81&deg;24.066'E,            4730.2,3.0,28.5,9.92,34.8,0.0,961.6,,
 719A       , 0&deg;57.648'S, 81&deg;23.970'E,            4736.8,49.0,460.2,185.53,       40.3,0.0,460.2,,
 719B       , 0&deg;57.648'S, 81&deg;23.970'E,            4736.8,0.0,0.0,0.0,           ,465.6,465.6,,
 720A       ,16&deg; 7.842'N, 60&deg;44.640'E,            4033.9,43.0,414.3,89.41,21.6,0.0,414.3,,
 721A       ,16&deg;40.668'N, 59&deg;51.870'E,            1940.7,9.0,86.4,89.28,103.3,0.0,86.4,,
 721B       ,16&deg;40.668'N, 59&deg;51.870'E,            1935.5,44.0,424.2,342.78,80.8,0.0,424.2,,
 721C       ,16&deg;40.668'N, 59&deg;51.870'E,            1935.6,15.0,138.0,133.79,96.9,0.0,138.0,,
 722A       ,16&deg;37.308'N, 59&deg;47.718'E,            2022.5,29.0,280.0,225.98,80.7,0.0,280.0,,
 722B       ,16&deg;37.308'N, 59&deg;47.718'E,            2021.7,59.0,565.1,385.8,68.3,0.0,565.6,,
 723A       ,18&deg; 3.108'N, 57&deg;36.540'E,             804.7,46.0,432.3,298.29,69.0,0.0,432.3,,
 723B       ,18&deg; 3.108'N, 57&deg;36.486'E,             805.2,44.0,400.1,295.84,73.9,0.0,429.0,,
 723C       ,18&deg; 3.108'N, 57&deg;36.540'E,             804.3,8.0,76.8,82.17,107.0,0.0,76.8,,
 724A       ,18&deg;27.750'N, 57&deg;47.190'E,             591.0,5.0,44.5,44.76,100.6,0.0,44.5,,
 724B       ,18&deg;27.750'N, 57&deg;47.190'E,             590.5,27.0,257.7,212.95,82.6,0.0,257.7,,
 724C       ,18&deg;27.750'N, 57&deg;47.190'E,             591.7,27.0,252.4,242.7,96.2,0.0,252.4,,
 725A       ,18&deg;29.238'N, 57&deg;42.036'E,             311.6,1.0,4.5,4.53,100.7,0.0,4.5,,
 725B       ,18&deg;29.238'N, 57&deg;42.036'E,             311.6,10.0,93.8,11.22,12.0,0.0,93.8,,
 725C       ,18&deg;29.238'N, 57&deg;42.036'E,             311.2,17.0,162.8,98.76,60.7,0.0,162.8,,
 726A       ,17&deg;48.966'N, 57&deg;22.290'E,             328.6,22.0,186.3,110.11,59.1,0.0,186.3,,
 727A       ,17&deg;46.080'N, 57&deg;35.316'E,             910.0,19.0,182.2,189.46,104.0,0.0,182.4,,
 727B       ,17&deg;46.080'N, 57&deg;35.316'E,             907.3,3.0,27.1,27.95,103.1,0.0,27.1,,
 728A       ,17&deg;40.812'N, 57&deg;49.542'E,            1421.9,36.0,346.4,343.72,99.2,0.0,346.4,,
 728B       ,17&deg;40.812'N, 57&deg;49.542'E,            1424.3,37.0,347.7,349.5,100.5,0.0,347.7,,
 729A       ,17&deg;38.676'N, 57&deg;57.282'E,            1392.3,13.0,109.1,31.72,29.1,0.0,109.1,,
 730A       ,17&deg;43.884'N, 57&deg;41.520'E,            1059.9,42.0,403.9,323.66,80.1,0.0,403.9,,
 731A       ,16&deg;28.230'N, 59&deg;42.150'E,            2359.4,43.0,409.0,359.28,87.8,0.0,409.0,,
 731B       ,16&deg;28.230'N, 59&deg;42.150'E,            2359.4,5.0,48.5,14.97,30.9,0.0,457.1,,
 731C       ,16&deg;28.230'N, 59&deg;42.150'E,            2359.4,16.0,154.7,59.81,38.7,0.0,994.2,,
 732A       ,32&deg;32.820'S, 57&deg; 3.288'E,            4881.9,1.0,3.0,0.01,0.3,0.0,3.0,,
 732B       ,32&deg;32.820'S, 57&deg; 3.288'E,            4878.3,1.0,8.0,1.9,23.8,0.0,8.0,,
 732C       ,32&deg;32.820'S, 57&deg; 3.288'E,            4885.4,3.0,29.0,0.7,2.4,0.0,24.0,,
 732D       ,32&deg;32.880'S, 57&deg; 2.700'E,            4809.9,1.0,6.0,0.42,7.0,0.0,6.0,,
 732E       ,32&deg;32.880'S, 57&deg; 2.700'E,            4807.9,1.0,7.0,0.18,2.6,0.0,7.0,,
 732F       ,32&deg;32.880'S, 57&deg; 2.700'E,            4806.9,2.0,15.8,0.3,1.9,0.0,15.8,,
 733A       ,33&deg; 5.280'S, 56&deg;58.650'E,            4482.9,1.0,16.6,0.0,0.0,0.0,16.6,,
 733B       ,33&deg; 5.280'S, 56&deg;58.650'E,            4486.9,1.0,4.3,0.09,2.1,0.0,4.3,,
 733C       ,33&deg; 5.280'S, 56&deg;58.650'E,            4486.9,1.0,5.7,0.2,3.5,0.0,5.7,,
 733D       ,33&deg; 4.920'S, 56&deg;59.370'E,            5207.9,3.0,8.6,0.47,5.5,0.0,23.6,,
 734A       ,32&deg; 6.840'S, 57&deg; 7.812'E,            3659.6,1.0,7.6,0.05,0.7,0.0,7.6,,
 734B       ,32&deg; 6.840'S, 57&deg; 7.800'E,            3670.4,5.0,47.5,1.1,2.3,0.0,47.5,,
 734C       ,32&deg; 6.360'S, 57&deg; 6.240'E,            3694.9,1.0,20.0,0.0,0.0,0.0,20.0,,
 734D       ,32&deg; 6.360'S, 57&deg; 6.240'E,            3708.9,1.0,19.5,0.79,4.1,0.0,19.5,,
 734E       ,32&deg; 6.780'S, 57&deg; 7.740'E,            3735.1,1.0,9.5,0.0,0.0,0.0,9.5,,
 734F       ,32&deg; 6.780'S, 57&deg; 7.740'E,            3424.9,1.0,14.0,0.1,0.7,0.0,14.0,,
 734G       ,32&deg; 6.960'S, 57&deg; 8.100'E,            3417.4,3.0,31.0,5.95,19.2,0.0,31.0,,
 735A       ,32&deg;43.320'S, 57&deg;16.302'E,             726.9,1.0,7.0,0.1,1.4,0.0,7.0,,
 735B       ,32&deg;43.395'S, 57&deg;15.959'E,             719.9,88.0,500.7,434.81,86.8,0.0,500.7,,
 736A       ,49&deg;24.180'S, 71&deg;39.690'E,             629.0,30.0,250.3,147.05,58.7,0.0,252.3,,
 736B       ,49&deg;24.180'S, 71&deg;39.690'E,             628.1,3.0,27.4,27.81,101.5,0.0,27.4,,
 736C       ,49&deg;24.180'S, 71&deg;39.690'E,             629.0,17.0,164.1,77.31,47.1,0.0,371.0,,
 737A       ,50&deg;13.680'S, 73&deg; 1.944'E,             564.0,29.0,273.2,181.64,66.5,0.0,273.2,,
 737B       ,50&deg;13.680'S, 73&deg; 1.944'E,             564.0,50.0,481.3,298.35,62.0,0.0,715.5,,
 738A       ,62&deg;42.540'S, 82&deg;47.268'E,            2252.7,1.0,2.8,2.76,98.6,0.0,2.8,,
 738B       ,62&deg;42.540'S, 82&deg;47.268'E,            2252.5,24.0,214.3,170.85,79.7,0.0,214.3,,
 738C       ,62&deg;42.540'S, 82&deg;47.268'E,            2252.5,35.0,337.2,146.03,43.3,0.0,533.8,,
 739A       ,67&deg;17.100'S, 75&deg; 4.908'E,             412.4,2.0,5.6,5.73,102.3,0.0,5.6,,
 739B       ,67&deg;17.100'S, 75&deg; 4.908'E,             412.4,3.0,7.2,1.92,26.7,0.0,7.2,,
 739C       ,67&deg;17.100'S, 75&deg; 4.908'E,             412.4,62.0,486.8,168.5,34.6,0.0,486.8,,
 740A       ,68&deg;45.840'S, 76&deg;40.914'E,             807.5,31.0,225.5,72.19,32.0,0.0,225.5,,
 740B       ,68&deg;45.840'S, 76&deg;40.914'E,             814.4,1.0,1.6,1.6,100.0,0.0,1.6,,
 741A       ,68&deg;23.220'S, 76&deg;22.950'E,             551.4,14.0,128.1,33.6,26.2,0.0,128.1,,
 742A       ,67&deg;33.180'S, 75&deg;24.540'E,             415.7,34.0,316.0,168.73,53.4,0.0,316.0,,
 743A       ,66&deg;54.960'S, 74&deg;41.430'E,             998.7,14.0,97.3,21.8,22.4,0.0,98.1,,
 744A       ,61&deg;34.740'S, 80&deg;35.700'E,            2307.3,20.0,176.1,144.91,82.3,0.0,176.1,,
 744B       ,61&deg;34.740'S, 80&deg;35.700'E,            2306.5,9.0,78.5,79.74,101.6,0.0,78.5,,
 744C       ,61&deg;34.740'S, 80&deg;35.700'E,            2308.0,3.0,26.0,26.77,103.0,0.0,26.0,,
 745A       ,59&deg;35.700'S, 85&deg;51.252'E,            4082.5,1.0,10.0,9.86,98.6,0.0,10.5,,
 745B       ,59&deg;35.700'S, 85&deg;51.252'E,            4082.5,24.0,215.0,220.72,102.7,0.0,215.0,,
 746A       ,59&deg;34.140'S, 85&deg;52.092'E,            4059.5,14.0,125.5,94.45,75.3,0.0,280.8,,
 747A       ,54&deg;48.660'S, 76&deg;47.640'E,            1695.0,27.0,256.0,227.34,88.8,0.0,256.0,,
 747B       ,54&deg;48.660'S, 76&deg;47.640'E,            1697.2,6.0,50.3,48.91,97.2,0.0,50.3,,
 747C       ,54&deg;48.660'S, 76&deg;47.640'E,            1695.2,16.0,144.5,49.5,34.3,0.0,350.5,,
 748A       ,58&deg;26.460'S, 78&deg;59.886'E,            1287.5,2.0,19.0,19.25,101.3,0.0,19.0,,
 748B       ,58&deg;26.460'S, 78&deg;59.886'E,            1290.9,25.0,225.1,190.15,84.5,0.0,225.1,,
 748C       ,58&deg;26.460'S, 78&deg;59.886'E,            1290.5,87.0,760.0,185.88,24.5,0.0,935.0,,
 749A       ,58&deg;43.020'S, 76&deg;24.450'E,            1071.5,1.0,9.5,10.04,105.7,0.0,9.5,,
 749B       ,58&deg;43.020'S, 76&deg;24.450'E,            1069.5,14.0,123.8,64.66,52.2,0.0,123.8,,
 749C       ,58&deg;43.020'S, 76&deg;24.450'E,            1069.5,16.0,147.5,29.92,20.3,0.0,249.5,,
 750A       ,57&deg;35.520'S, 81&deg;14.418'E,            2030.5,21.0,189.3,68.63,36.3,0.0,460.5,,
 750B       ,57&deg;35.520'S, 81&deg;14.370'E,            2030.5,6.0,57.4,24.6,42.9,0.0,709.7,,
 751A       ,57&deg;43.560'S, 79&deg;48.888'E,            1633.8,18.0,166.2,162.92,98.0,0.0,166.2,,
 752A       ,30&deg;53.460'S, 93&deg;34.680'E,            1086.3,34.0,317.6,217.32,68.4,0.0,317.6,,
 752B       ,30&deg;53.460'S, 93&deg;34.650'E,            1086.3,17.0,158.0,112.34,71.1,0.0,435.6,,
 753A       ,30&deg;50.340'S, 93&deg;35.394'E,            1176.1,7.0,62.8,61.06,97.2,0.0,62.8,,
 753B       ,30&deg;50.340'S, 93&deg;35.394'E,            1176.1,5.0,48.2,0.04,0.1,0.0,100.2,,
 754A       ,30&deg;56.460'S, 93&deg;33.990'E,            1063.6,23.0,170.0,128.27,75.5,0.0,172.1,,
 754B       ,30&deg;56.460'S, 93&deg;33.990'E,            1065.5,24.0,232.0,91.85,39.6,0.0,354.7,,
 755A       ,31&deg; 1.800'S, 93&deg;32.802'E,            1057.9,19.0,178.4,80.21,45.0,0.0,208.4,,
 756A       ,27&deg;21.330'S, 87&deg;35.808'E,            1518.1,1.0,9.7,9.72,100.2,0.0,9.7,,
 756B       ,27&deg;21.330'S, 87&deg;35.808'E,            1518.1,11.0,104.3,105.7,101.3,0.0,104.3,,
 756C       ,27&deg;21.253'S, 87&deg;35.892'E,            1515.8,11.0,76.6,61.81,80.7,0.0,159.0,,
 756D       ,27&deg;21.288'S, 87&deg;35.844'E,            1513.1,11.0,101.2,46.04,45.5,0.0,221.0,,
 757A       ,17&deg; 1.458'S, 88&deg;10.896'E,            1650.2,1.0,9.4,9.4,100.0,0.0,9.4,,
 757B       ,17&deg; 1.458'S, 88&deg;10.896'E,            1652.1,43.0,374.8,271.94,72.6,0.0,374.8,,
 757C       ,17&deg; 1.389'S, 88&deg;10.812'E,            1643.6,11.0,106.1,67.78,63.9,0.0,420.7,,
 758A       , 5&deg;23.052'N, 90&deg;21.672'E,            2923.6,73.0,676.8,453.83,67.1,0.0,676.8,,
 758B       , 5&deg;23.037'N, 90&deg;21.672'E,            2925.6,10.0,96.0,98.68,102.8,0.0,96.0,,
 758C       , 5&deg;23.040'N, 90&deg;21.666'E,            2922.2,1.0,9.4,9.4,100.0,0.0,9.4,,
 759A       ,16&deg;57.240'S,115&deg;33.612'E,            2091.6,0.0,0.0,0.0,           ,0.0,28.0,,
 759B       ,16&deg;57.240'S,115&deg;33.630'E,            2091.6,39.0,308.0,129.6,       42.1,0.0,308.0,,
 760A       ,16&deg;55.320'S,115&deg;32.478'E,            1969.7,38.0,284.9,196.38,68.9,0.0,284.9,,
 760B       ,16&deg;55.320'S,115&deg;32.466'E,            1969.7,29.0,506.0,123.02,24.3,0.0,506.0,,
 761A       ,16&deg;44.280'S,115&deg;32.100'E,            2188.8,1.0,9.5,9.92,104.4,0.0,9.5,,
 761B       ,16&deg;44.220'S,115&deg;32.100'E,            2167.9,33.0,286.7,199.08,69.4,0.0,286.7,,
 761C       ,16&deg;44.220'S,115&deg;32.100'E,            2167.9,33.0,436.7,72.24,16.5,0.0,436.7,,
 762A       ,19&deg;53.220'S,112&deg;15.258'E,            1359.9,1.0,9.5,10.04,105.7,0.0,9.5,,
 762B       ,19&deg;53.220'S,112&deg;15.240'E,            1360.0,19.0,175.4,174.9,99.7,0.0,175.4,,
 762C       ,19&deg;53.220'S,112&deg;15.240'E,            1360.0,91.0,940.0,534.54,56.9,0.0,940.0,,
 763A       ,20&deg;35.220'S,112&deg;12.498'E,            1367.5,21.0,194.9,201.88,103.6,0.0,194.9,,
 763B       ,20&deg;35.220'S,112&deg;12.522'E,            1367.5,54.0,653.5,376.36,57.6,0.0,653.5,,
 763C       ,20&deg;35.220'S,112&deg;12.510'E,            1367.5,46.0,1036.6,332.83,32.1,0.0,1036.6,,
 764A       ,16&deg;33.960'S,115&deg;27.432'E,            2698.6,8.0,69.0,40.56,58.8,0.0,69.0,,
 764B       ,16&deg;33.960'S,115&deg;27.432'E,            2698.6,31.0,294.5,44.33,15.1,0.0,294.5,,
 765A       ,15&deg;58.560'S,117&deg;34.512'E,            5721.4,1.0,9.6,9.69,100.9,0.0,9.6,,
 765B       ,15&deg;58.560'S,117&deg;34.512'E,            5717.7,41.0,395.6,270.92,68.5,0.0,395.6,,
 765C       ,15&deg;58.560'S,117&deg;34.512'E,            5717.7,65.0,613.7,373.35,60.8,0.0,963.9,,
 765D       ,15&deg;58.560'S,117&deg;34.512'E,            5713.8,27.0,247.0,78.7,31.9,0.0,1194.9,,
 766A       ,19&deg;55.920'S,110&deg;27.246'E,            3997.5,55.0,527.2,347.49,65.9,0.0,527.2,,
 767A       , 4&deg;47.466'N,123&deg;30.204'E,            4905.6,1.0,4.2,4.14,98.6,0.0,4.2,,
 767B       , 4&deg;47.490'N,123&deg;30.198'E,            4905.3,78.0,739.0,585.05,79.2,0.0,739.0,,
 767C       , 4&deg;47.502'N,123&deg;30.204'E,            4905.3,12.0,111.7,44.67,40.0,0.0,791.7,,
 768A       , 8&deg; 0.000'N,121&deg;13.158'E,            4384.4,1.0,9.5,8.8,92.6,0.0,9.5,,
 768B       , 8&deg; 0.000'N,121&deg;13.188'E,            4384.4,40.0,364.1,293.79,80.7,0.0,364.1,,
 768C       , 8&deg; 0.000'N,121&deg;13.188'E,            4384.4,100.0,915.0,525.69,57.5,0.0,1268.5,,
 769A       , 8&deg;47.136'N,121&deg;17.652'E,            3644.8,7.0,65.4,68.48,104.7,0.0,65.4,,
 769B       , 8&deg;47.118'N,121&deg;17.676'E,            3643.6,32.0,290.2,281.63,97.0,0.0,290.2,,
 769C       , 8&deg;47.118'N,121&deg;17.688'E,            3643.6,12.0,115.8,51.36,44.4,0.0,376.9,,
 770A       , 5&deg; 8.700'N,123&deg;40.236'E,            4506.7,2.0,10.9,1.58,14.5,0.0,10.9,,
 770B       , 5&deg; 8.688'N,123&deg;40.098'E,            4504.9,21.0,201.6,112.41,55.8,0.0,474.1,,
 770C       , 5&deg; 8.688'N,123&deg;40.104'E,            4504.9,12.0,115.8,54.81,47.3,0.0,529.5,,
 771A       , 8&deg;40.692'N,120&deg;40.782'E,            2858.7,18.0,169.0,89.97,53.2,0.0,304.1,,
 772A       ,16&deg;39.138'N,119&deg;42.132'E,            1529.5,17.0,136.2,85.61,62.9,0.0,361.0,,
 773A       ,20&deg;12.360'N,121&deg;39.200'E,            1593.5,2.0,13.1,0.0,0.0,0.0,137.4,,
 773B       ,20&deg;12.360'N,121&deg;39.180'E,            1593.5,2.0,3.0,2.4,80.0,0.0,101.7,,
 774A       ,20&deg;35.900'N,121&deg;44.075'E,            1084.0,0.0,0.0,0.0,           ,37.8,37.8,,
 774B       ,20&deg;35.900'N,121&deg;44.075'E,            1078.5,0.0,0.0,0.0,           ,255.9,255.9,,
