Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
105,646.0,A,Initial Reports          ,18.55,0.247,FO Emiliania huxleyi
105,646.0,A,Initial Reports          ,28.95,0.26,LO Rhizosolenia curvirostris
105,646.0,A,Initial Reports          ,35.44,0.475,LO Pseudoemiliania lacunosa
105,646.0,A,Initial Reports          ,58.87,0.73,Brunhes /Matuyama
105,646.0,A,Initial Reports          ,72.24,0.91,Top Jaramillo
105,646.0,B,Initial Reports          ,62.98,0.73,Brunhes /Matuyama
105,646.0,B,Initial Reports          ,77.3,0.91,Top Jaramillo
105,646.0,B,Initial Reports          ,82.45,0.98,Bottom Jaramillo
105,646.0,B,Initial Reports          ,144.95,1.75,LO Neogloboquadrina atlantica
105,646.0,B,Initial Reports          ,207.85,2.4,LO Discoaster surculus
105,646.0,B,Initial Reports          ,271.75,3.5,LCO Reticulofenestra pseudoumbilica
105,646.0,B,Initial Reports          ,349.95,4.1,Bottom Nunivak
105,646.0,B,Initial Reports          ,386.15,4.4,FO Globorotalia punticulata
105,646.0,B,Initial Reports          ,417.15,4.77,Bottom Chron C1
105,646.0,B,Initial Reports          ,502.0,5.6,LO Discoaster quinqueramus
105,646.0,B,Initial Reports          ,521.35,5.61,FO Globorotalia margarita
105,646.0,B,Initial Reports          ,577.39,6.37,Chron C6 Top N1
105,646.0,B,Initial Reports          ,584.95,6.5,FO Amaurolithus primus
105,646.0,B,Initial Reports          ,637.47,6.85,Chron C7 Top N1
105,646.0,B,Initial Reports          ,666.12,7.28,Chron C7 Bottom N3
105,646.0,B,Initial Reports          ,680.19,7.9,Chron C9 Top N1
105,646.0,B,Initial Reports          ,710.52,8.21,Chron C9 Bottom N1
105,646.0,B,Initial Reports          ,718.55,8.41,Chron C9 Top N2
105,646.0,B,Initial Reports          ,733.07,8.8,Chron C10 Bottom N1
105,646.0,B,Initial Reports          ,737.11,8.92,Chron C11 Top N1
105,647.0,A,Initial Reports          ,9.15,0.247,FO Emiliania huxleyi (N)
105,647.0,A,Initial Reports          ,29.25,0.475,LO Pseudoemiliania lacunosa (N)
105,647.0,A,Initial Reports          ,32.97,0.73,Brunhes /Matuyama
105,647.0,A,Initial Reports          ,42.37,0.91,Top Jaramillo
105,647.0,A,Initial Reports          ,46.99,0.98,Base Jaramillo
105,647.0,A,Initial Reports          ,72.8,1.9,FO Globorotalia truncatulinoides
105,647.0,A,Initial Reports          ,92.2,1.91,LO Discoaster brouweri (N)
105,647.0,A,Initial Reports          ,97.4,2.1,Reunion
105,647.0,A,Initial Reports          ,107.1,2.2,LO Discoaster pentaradiatus (N)
105,647.0,A,Initial Reports          ,110.25,2.4,LO Discoaster surculus (N)
105,647.0,A,Initial Reports          ,221.9,34.0,LO Cestodiscus reticulatus
105,647.0,A,Initial Reports          ,250.75,35.099998,LO Ericsonia formosa
105,647.0,A,Initial Reports          ,288.8,36.700001,LO Discoaster barbadiensis
105,647.0,A,Initial Reports          ,336.1,37.0,LO Globigerinatheka (F)
105,647.0,A,Initial Reports          ,390.25,38.5,LO Nuttallides truempyi (F)
105,647.0,A,Initial Reports          ,434.25,39.700001,FO Chiasmolithus oamaruensis (N)
105,647.0,A,Initial Reports          ,452.0,41.110001,Base Chron C17
105,647.0,A,Initial Reports          ,490.2,42.23,Chron C18 Base N2
105,647.0,A,Initial Reports          ,578.8,45.0,LO Globigerinatheka index (F)
105,647.0,A,Initial Reports          ,680.25,55.299999,FO Discoaster lodoensis
105,647.0,B,Initial Reports          ,32.97,0.73,Brunhes /Matuyama
105,647.0,B,Initial Reports          ,42.37,0.91,Top Jaramillo
105,647.0,B,Initial Reports          ,46.99,0.98,Bottom Jaramillo
105,647.0,B,Initial Reports          ,80.33,1.66,Top Olduvai
105,647.0,B,Initial Reports          ,86.71,1.88,Bottom Olduvai
108,657.0,A,Post Moratorium          ,2.1,0.27,FO Emiliania huxleyi
108,657.0,A,Post Moratorium          ,2.15,0.46,LO Pseudoemiliania lacunosa
108,657.0,A,Post Moratorium          ,50.6,1.45,LO Calcidiscus macintyrei
108,657.0,A,Post Moratorium          ,57.65,1.83,FO Globorotalia truncatulinoides
108,657.0,A,Post Moratorium          ,57.7,1.84,LO Globigerinoides obliquus
108,657.0,A,Post Moratorium          ,58.2,1.89,LO Discoaster brouweri
108,657.0,A,Post Moratorium          ,62.35,2.07,FO acme Discoaster triradiatus
108,657.0,A,Post Moratorium          ,64.1,2.35,LO Discoaster pentaradiatus
108,657.0,A,Post Moratorium          ,74.0,2.65,LO Discoaster tamalis
108,657.0,A,Post Moratorium          ,83.85,3.01,LO Dentogloboquadrina altispira
108,657.0,A,Post Moratorium          ,100.75,3.7,LO Amaurolithus spp.
108,657.0,A,Post Moratorium          ,111.7,3.77,LO Globorotalia margarita
108,657.0,A,Post Moratorium          ,133.1,4.42,FO Globorotalia crassaformis
108,657.0,A,Post Moratorium          ,140.85,4.6,FO Ceratolithus rugosus
108,657.0,A,Post Moratorium          ,145.2,5.48,FO Globorotalia margaritae
108,657.0,A,Post Moratorium          ,145.6,5.6,LO Amaurolithus amplificus
108,657.0,A,Post Moratorium          ,149.05,5.9,FO Amaurolithus amplificus
108,657.0,A,Post Moratorium          ,152.4,6.5,FO Amaurolithus primus
108,657.0,A,Post Moratorium          ,154.8,8.2,FO Discoaster  quinqueramus
108,657.0,B,Initial Reports          ,2.1,0.28,FO Emiliania huxleyi
108,657.0,B,Initial Reports          ,2.2,0.47,LO Pseudoemiliania lacunosa
108,657.0,B,Initial Reports          ,29.0,0.73,Brunhes/Matuyama (C1-C1r)
108,657.0,B,Initial Reports          ,34.4,0.91,Top Jaramillo (C1r-1)
108,657.0,B,Initial Reports          ,40.5,0.98,Base Jaramillo (C1r-1)
108,657.0,B,Initial Reports          ,50.6,1.45,LO Calcidiscus macintyrei
108,657.0,B,Initial Reports          ,58.2,1.89,LO Discoaster brouweri
108,657.0,B,Initial Reports          ,61.9,2.0,FO Globorotalia inflata
108,657.0,B,Initial Reports          ,62.34,2.07,FO Discoaster triradiatus acme
108,657.0,B,Initial Reports          ,64.1,2.35,LO Discoaster pentaradiatus
108,657.0,B,Initial Reports          ,72.3,2.47,Top Gauss (C2/C2A)
108,657.0,B,Initial Reports          ,74.0,2.65,LO Discoaster tamalis
108,657.0,B,Initial Reports          ,80.25,2.9,LO Discoaster altispira
108,657.0,B,Initial Reports          ,83.3,3.0,LO Sphaeroidinellopsis seminulina
108,657.0,B,Initial Reports          ,99.5,3.4,Base Gauss (C2A/C2Ar)
108,657.0,B,Initial Reports          ,100.4,3.4,LO Globorotalia margaritae
108,657.0,B,Initial Reports          ,100.65,3.7,LO Amaurolithus tricorniculatus
108,657.0,B,Initial Reports          ,119.6,3.9,LO Globigerina nepenthes
108,657.0,B,Initial Reports          ,129.45,4.15,FO Globigerina puncticulata
108,657.0,B,Initial Reports          ,140.85,4.6,FO Ceratolithus rugosus
108,657.0,B,Initial Reports          ,140.9,5.6,LO Discoaster quinqueramus
108,657.0,B,Initial Reports          ,147.05,6.37,Top C3B
108,657.0,B,Initial Reports          ,148.2,6.5,C3B/C3B-r
108,657.0,B,Initial Reports          ,150.25,6.7,Top C4
108,658.0,A,Initial Reports          ,15.2,0.09,Emiliania huxleyi acme
108,658.0,A,Initial Reports          ,38.95,0.28,FO Emiliania huxleyi
108,658.0,A,Initial Reports          ,69.45,0.47,LO Pseudoemiliania lacunosa
108,658.0,A,Initial Reports          ,99.25,1.45,LO Calcidiscus macintyrei
108,658.0,A,Initial Reports          ,109.5,1.66,Matuyama/Olduvai
108,658.0,A,Initial Reports          ,125.7,1.89,LO Discoaster brouweri
108,658.0,A,Initial Reports          ,141.7,2.07,Discoaster triradiatus acme
108,658.0,A,Initial Reports          ,156.5,2.2,LO Globorotalia miocenica
108,658.0,A,Initial Reports          ,157.8,2.2,LO Thalassiosira convexa
108,658.0,A,Initial Reports          ,166.55,2.45,LO Discoaster surculus
108,658.0,A,Initial Reports          ,200.35,2.65,LO Discoaster tamalis
108,658.0,A,Initial Reports          ,210.15,2.65,LO Nitzschia jouseae
108,658.0,A,Initial Reports          ,219.65,2.9,LO Dentogloboquadrina altispira
108,658.0,A,Initial Reports          ,274.5,3.4,Gauss/Gilbert
108,658.0,A,Initial Reports          ,286.15,3.56,LO Reticulofenestra pseudoumbilica
108,658.0,A,Post Moratorium          ,38.95,0.27,FO Emiliania huxleyi
108,658.0,A,Post Moratorium          ,69.45,0.46,LO Pseudoemiliania lacunosa
108,658.0,A,Post Moratorium          ,95.95,1.04,LO Globigerinoides obliquus
108,658.0,A,Post Moratorium          ,99.25,1.45,LO Calcidiscus macintyrei
108,658.0,A,Post Moratorium          ,125.8,1.89,LO Discoaster brouweri
108,658.0,A,Post Moratorium          ,140.0,2.07,FO acme Discoaster triradiatus
108,658.0,A,Post Moratorium          ,156.5,2.2,LO Globorotalia miocenica
108,658.0,A,Post Moratorium          ,165.5,2.35,LO Discoaster pentaradiatus
108,658.0,A,Post Moratorium          ,166.0,2.45,LO Discoaster surculus
108,658.0,A,Post Moratorium          ,199.5,2.65,LO Discoaster tamalis
108,658.0,A,Post Moratorium          ,219.9,2.9,LO Dendroglobigerina altispira
108,658.0,A,Post Moratorium          ,229.15,3.04,LO Sphaeroidinellopsis seminulina
108,658.0,A,Post Moratorium          ,286.15,3.45,LO Sphenolithus spp.
108,658.0,A,Post Moratorium          ,295.65,3.65,LO Globorotalia margaritae
108,659.0,A,Initial Reports          ,22.8,0.73,Brunhes/Matuyama
108,659.0,A,Initial Reports          ,28.6,0.91,Matuyama/Jaramillo
108,659.0,A,Initial Reports          ,50.55,1.45,LO Calcidiscus macintyrei
108,659.0,A,Initial Reports          ,55.6,1.89,LO Discoaster brouweri
108,659.0,A,Initial Reports          ,60.55,2.07,FO Discoaster triradiatus acme
108,659.0,A,Initial Reports          ,65.2,2.2,LO Globorotalia miocenica
108,659.0,A,Initial Reports          ,70.25,2.35,LO Discoaster pentaradiatus
108,659.0,A,Initial Reports          ,82.8,2.65,LO Discoaster tamalis
108,659.0,A,Initial Reports          ,84.3,2.9,LO Dendrogloboquadrina altispira
108,659.0,A,Initial Reports          ,89.0,3.0,LO Sphaeroidinellopsis seminulina
108,659.0,A,Initial Reports          ,123.65,3.4,LO Globorotalia margaritae
108,659.0,A,Initial Reports          ,124.05,3.7,LO Amaurolithus spp.
108,659.0,A,Initial Reports          ,136.05,3.9,LO Globigerina nepenthes
108,659.0,A,Initial Reports          ,139.75,4.6,FO Ceratolithus rugosus
108,659.0,A,Initial Reports          ,149.95,5.6,LO Discoaster quinqueramus
108,659.0,A,Initial Reports          ,183.7,8.2,FO Discoaster quinqueramus
108,659.0,A,Initial Reports          ,186.2,8.3,LO Discoaster bollii
108,659.0,A,Initial Reports          ,190.0,8.75,LO Catinaster calyculus
108,659.0,A,Initial Reports          ,190.05,8.85,LO Discoaster hamatus
108,659.0,A,Initial Reports          ,190.1,9.0,LO Catinaster coalitus
108,659.0,A,Initial Reports          ,195.4,10.0,FO Discoaster hamatus
108,659.0,A,Initial Reports          ,199.9,10.8,FO Catinaster coalitus
108,659.0,A,Initial Reports          ,212.05,11.3,FO Globigerina nepenthes
108,659.0,A,Initial Reports          ,213.65,14.4,LO Sphenolithus heteromorphus
108,659.0,A,Initial Reports          ,240.55,17.1,FO Sphenolithus heteromorphus
108,659.0,A,Initial Reports          ,240.56,17.4,LO Sphenolithus belemnos
108,659.0,A,Initial Reports          ,247.65,23.200001,FO Discoaster drugii
108,659.0,A,Initial Reports          ,253.1,23.700001,LO Discoaster bisectus
108,659.0,A,Post Moratorium          ,7.95,0.46,LO Pseudoemiliania lacunosa
108,659.0,A,Post Moratorium          ,50.55,1.45,LO Calcidiscus macintyrei
108,659.0,A,Post Moratorium          ,55.3,1.89,LO Discoaster brouweri
108,659.0,A,Post Moratorium          ,60.55,2.07,FO acme Discoaster triradiatus
108,659.0,A,Post Moratorium          ,70.7,2.35,LO Discoaster pentaradiatus
108,659.0,A,Post Moratorium          ,71.0,2.45,LO Discoaster surculus
108,659.0,A,Post Moratorium          ,79.25,2.65,LO Discoaster tamalis
108,659.0,A,Post Moratorium          ,108.25,3.45,LO Sphenolithus spp.
108,659.0,A,Post Moratorium          ,124.05,3.7,LO Amaurolithus spp.
108,659.0,A,Post Moratorium          ,139.75,4.6,FO Ceratolithus rugosus
108,659.0,A,Post Moratorium          ,149.95,5.0,FO Ceratolithus acutus
108,659.0,A,Post Moratorium          ,169.3,6.5,FO Amaurolithus primus
108,659.0,A,Post Moratorium          ,183.7,8.2,FO Discoaster quinqueramus
108,659.0,A,Post Moratorium          ,190.0,8.9,LO Discoaster hamatus
108,659.0,A,Post Moratorium          ,195.4,10.0,FO Catinaster calyculus
108,659.0,A,Post Moratorium          ,199.9,10.8,FO Catinaster coalitus
108,659.0,A,Post Moratorium          ,212.3,11.6,LO Cyclicargolithus floridanus
108,659.0,A,Post Moratorium          ,213.65,14.4,LO Sphenolithus heteromorphus
108,659.0,A,Post Moratorium          ,230.7,16.0,LO Helicosphaera ampliaperta
108,659.0,A,Post Moratorium          ,240.55,17.1,FO Sphenolithus heteromorphus
108,659.0,A,Post Moratorium          ,246.0,21.5,FO Sphenolithus belemnos
108,659.0,A,Post Moratorium          ,247.65,23.200001,FO Discoaster druggii
108,659.0,A,Post Moratorium          ,253.45,25.200001,LO Sphenolithus ciperoensis
108,660.0,A,Initial Reports          ,13.9,0.47,LO Pseudoemiliania lacunosa
108,660.0,A,Initial Reports          ,19.1,0.73,Brunhes/Matuyama
108,660.0,A,Initial Reports          ,22.9,0.91,Matuyama/Jaramillo
108,660.0,A,Initial Reports          ,32.7,1.45,LO Calcidiscus macintyrei
108,660.0,A,Initial Reports          ,36.3,1.66,Matuyama/Olduvai
108,660.0,A,Initial Reports          ,40.35,1.89,LO Discoaster brouweri
108,660.0,A,Initial Reports          ,42.15,2.07,FO Discoaster triradiatus acme
108,660.0,A,Initial Reports          ,44.6,2.2,LO Globorotalia miocenica
108,660.0,A,Initial Reports          ,46.45,2.35,LO Discoaster pentaradiatus
108,660.0,A,Initial Reports          ,47.95,2.45,LO Discoaster surculus
108,660.0,A,Initial Reports          ,49.35,2.47,Matuyama/Gauss
108,660.0,A,Initial Reports          ,53.75,2.65,LO Discoaster tamalis
108,660.0,A,Initial Reports          ,54.85,2.92,Gauss/Kaena
108,660.0,A,Initial Reports          ,57.7,3.0,LO Sphaeroidinellopsis seminulina
108,660.0,A,Initial Reports          ,58.75,3.18,Mammoth/Gauss
108,660.0,A,Initial Reports          ,62.6,3.45,LO Sphenolithus spp.
108,660.0,A,Initial Reports          ,64.15,3.56,LO Reticulofenestra pseudoumbillica
108,660.0,A,Initial Reports          ,70.75,3.9,LO Globigerina nepenthes
108,660.0,A,Initial Reports          ,73.4,4.6,FO Ceratolithus rugosus present
108,660.0,A,Post Moratorium          ,13.9,0.46,LO Pseudoemiliania lacunosa
108,660.0,A,Post Moratorium          ,32.7,1.45,LO Calcidiscus macintyrei
108,660.0,A,Post Moratorium          ,40.35,1.89,LO Discoaster brouweri
108,660.0,A,Post Moratorium          ,42.15,2.07,FO acme Discoaster triradiatus
108,660.0,A,Post Moratorium          ,46.45,2.35,LO Discoaster pentaradiatus
108,660.0,A,Post Moratorium          ,47.95,2.45,LO Discoaster surculus
108,660.0,A,Post Moratorium          ,53.75,2.65,LO Discoaster tamalis
108,660.0,A,Post Moratorium          ,62.65,3.45,LO Sphenolithus spp.
108,660.0,A,Post Moratorium          ,64.15,3.56,LO Reticulofenestra pseudoumbilica
108,660.0,A,Post Moratorium          ,73.2,4.6,FO Ceratolithus rugosus
108,660.0,A,Post Moratorium          ,75.5,5.6,LO Discoaster quinqueramus
108,661.0,A,Initial Reports          ,6.9,0.47,LO Pseudoemiliania lacunosa
108,661.0,A,Initial Reports          ,11.6,0.73,Brunhes/Matuyama
108,661.0,A,Initial Reports          ,14.8,0.91,Matuyama/Jaramillo
108,661.0,A,Initial Reports          ,22.15,1.45,LO Calcidiscus macintyrei
108,661.0,A,Initial Reports          ,27.4,1.66,Olduvai/Matuyama
108,661.0,A,Initial Reports          ,28.3,1.89,LO Discoaster brouweri
108,661.0,A,Initial Reports          ,30.45,2.07,FO Discoaster triradiatus acme
108,661.0,A,Initial Reports          ,32.9,2.2,LO Globorotalia miocenica
108,661.0,A,Initial Reports          ,34.65,2.35,LO Discoaster pentaradiatus
108,661.0,A,Initial Reports          ,36.75,2.47,Matuyama/Gauss
108,661.0,A,Initial Reports          ,41.15,2.65,LO Discoaster tamalis
108,661.0,A,Initial Reports          ,42.4,2.9,LO Discoaster altispira
108,661.0,A,Initial Reports          ,45.4,3.0,LO Sphaeroidinellopsis seminulina
108,661.0,A,Initial Reports          ,59.25,3.4,LO Globorotalia margaritae
108,661.0,A,Initial Reports          ,61.1,3.9,LO Globigerina nepenthes
108,661.0,A,Initial Reports          ,66.05,4.6,FO Ceratolithus rugosus
108,661.0,A,Initial Reports          ,68.6,5.6,LO Discoaster quuinqueramus
108,661.0,A,Initial Reports          ,78.5,8.2,FO Discoaster berggrenii
108,661.0,A,Initial Reports          ,82.0,8.9,LO Discoaster hamatus
108,661.0,A,Initial Reports          ,107.3,66.599998,FO Micula prinsii
108,661.0,A,Initial Reports          ,115.9,68.699997,FO Micula murus
108,661.0,A,Initial Reports          ,125.1,72.300003,LO Tetralithus trifidus
108,661.0,A,Post Moratorium          ,6.9,0.46,LO Pseudoemiliania lacunosa
108,661.0,A,Post Moratorium          ,22.15,1.45,LO Calcidiscus macintyrei
108,661.0,A,Post Moratorium          ,28.3,1.89,LO Discoaster brouweri
108,661.0,A,Post Moratorium          ,30.45,2.07,FO acme Discoaster triradiatus
108,661.0,A,Post Moratorium          ,34.65,2.35,LO Discoaster pentaradiatus
108,661.0,A,Post Moratorium          ,36.15,2.45,LO Discoaster surculus
108,661.0,A,Post Moratorium          ,41.05,2.65,LO Discoaster tamalis
108,661.0,A,Post Moratorium          ,51.95,3.45,LO Sphenolithus spp.
108,661.0,A,Post Moratorium          ,53.75,3.56,LO Reticulofenestra pseudoumbilica
108,661.0,A,Post Moratorium          ,55.3,3.7,LO Amaurolithus spp.
108,661.0,A,Post Moratorium          ,66.05,4.6,FO Ceratolithus rugosus
108,661.0,A,Post Moratorium          ,68.0,5.0,FO Ceratolithus acutus
108,661.0,A,Post Moratorium          ,70.3,5.6,LO Amaurolithus amplificus
108,661.0,A,Post Moratorium          ,72.35,5.9,FO Amaurolithus amplificus
108,661.0,A,Post Moratorium          ,75.35,6.5,FO Amaurolithus primus
108,661.0,A,Post Moratorium          ,78.5,8.2,FO Discoaster quinqueramus
108,661.0,A,Post Moratorium          ,82.0,8.9,LO Discoaster hamatus
108,661.0,A,Post Moratorium          ,82.6,10.0,FO Catinaster calyculus
108,661.0,A,Post Moratorium          ,107.3,66.599998,FO Micula prinsii
108,661.0,A,Post Moratorium          ,115.05,68.699997,FO Micula murus
108,661.0,A,Post Moratorium          ,124.45,72.300003,LO Quadrum trifidum
108,662.0,A,Post Moratorium          ,4.45,0.27,FO Emiliania huxleyi
108,662.0,A,Post Moratorium          ,21.95,0.46,LO Pseudoemiliania lacunosa
108,662.0,A,Post Moratorium          ,107.65,1.45,LO Calcidiscus macintyrei
108,662.0,A,Post Moratorium          ,122.7,1.89,LO Discoaster brouweri
108,662.0,A,Post Moratorium          ,131.95,2.07,FO acme Discoaster triradiatus
108,662.0,A,Post Moratorium          ,150.2,2.35,LO Discoaster pentaradiatus
108,662.0,A,Post Moratorium          ,151.4,2.45,LO Discoaster surculus
108,662.0,A,Post Moratorium          ,160.0,2.65,LO Discoaster tamalis
108,662.0,A,Post Moratorium          ,191.8,3.45,LO Sphenolithus spp.
108,662.0,A,Post Moratorium          ,195.3,3.56,LO Reticulofenestra pseudoumbilica
108,663.0,A,Initial Reports          ,15.15,0.47,LO Pseudoemiliania lacunosa
108,663.0,A,Initial Reports          ,47.05,1.45,LO Calcidiscus macintyrei
108,663.0,A,Initial Reports          ,64.9,1.89,LO Discoaster brouweri
108,663.0,A,Initial Reports          ,72.25,2.07,FO Discoaster triradiatus acme
108,663.0,A,Initial Reports          ,78.25,2.2,LO Globorotalia miocenica
108,663.0,A,Initial Reports          ,85.5,2.35,LO Discoaster pentaradiatus
108,663.0,A,Initial Reports          ,93.9,2.65,LO Discoaster tamalis
108,663.0,A,Post Moratorium          ,5.05,0.27,FO Emiliania huxleyi
108,663.0,A,Post Moratorium          ,15.15,0.46,LO Pseudoemiliania lacunosa
108,663.0,A,Post Moratorium          ,55.05,1.45,LO Calcidiscus macintyrei
108,663.0,A,Post Moratorium          ,103.4,1.89,LO Discoaster brouweri
108,663.0,A,Post Moratorium          ,110.75,2.07,FO acme Discoaster triradiatus
108,663.0,A,Post Moratorium          ,134.0,2.35,LO Discoaster pentaradiatus
108,663.0,A,Post Moratorium          ,136.8,2.45,LO Discoaster surculus
108,663.0,A,Post Moratorium          ,142.4,2.65,LO Discoaster tamalis
108,664.0,B,Initial Reports          ,14.0,0.47,LO Pseudoemiliania lacunosa
108,664.0,B,Initial Reports          ,27.0,0.73,Brunhes /Matuyama
108,664.0,B,Initial Reports          ,35.0,0.91,Matuyama/Jaramillo
108,664.0,B,Initial Reports          ,56.0,0.96,LO Calcidiscus macintyrei
108,664.0,B,Initial Reports          ,58.0,2.28,G. miocenica (p) & D. pentaradiatus (a)
108,664.0,B,Initial Reports          ,67.5,2.4,D. pentaradiatus (p) & D. surculus (a)
108,664.0,B,Initial Reports          ,87.5,2.95,D. altispira (p) & S. seminulina (a)
108,664.0,B,Initial Reports          ,111.8,3.73,R. pseudoumbilica (p) & G. nepenthes (a)
108,664.0,B,Initial Reports          ,126.3,4.05,G. nepenthes (p) & G. crassaformis (a)
108,664.0,B,Initial Reports          ,135.8,4.4,G. crassaformis (p) & C. rugosus (a)
108,664.0,B,Initial Reports          ,145.3,4.6,C. rugosus (p) & C. acutus (a)
108,664.0,D,Initial Reports          ,15.65,0.47,LO Pseudoemiliania lacunosa
108,664.0,D,Initial Reports          ,27.95,0.73,Brunhes /Matuyama
108,664.0,D,Initial Reports          ,35.8,0.91,Top Jaramillo
108,664.0,D,Initial Reports          ,38.3,0.99,Base Jaramillo
108,664.0,D,Initial Reports          ,64.05,1.45,LO Calcidiscus macintyrei
108,664.0,D,Initial Reports          ,73.55,1.89,LO Discoaster brouweri
108,664.0,D,Initial Reports          ,91.1,2.07,FO D. triradiatus acme
108,664.0,D,Initial Reports          ,102.05,2.2,LO Globorotalia miocenica
108,664.0,D,Initial Reports          ,121.05,2.65,LO Discoaster tamalis
108,664.0,D,Initial Reports          ,130.55,3.0,LO Sphaerodinellopsis seminulina
108,664.0,D,Initial Reports          ,158.5,3.45,LO Sphenolithus abies
108,664.0,D,Initial Reports          ,163.4,3.56,LO Reticulofenestra pseudoumbilica
108,664.0,D,Initial Reports          ,187.55,3.9,LO Globigerina nepenthes
108,664.0,D,Initial Reports          ,205.65,4.6,FO Ceratolithus rugosus
108,664.0,D,Initial Reports          ,229.5,5.6,LO Discoaster quinqueramus
108,664.0,D,Initial Reports          ,284.0,8.2,FO D. quinqueramus
108,664.0,D,Initial Reports          ,295.15,8.75,LO Catinaster calyculus
108,664.0,D,Post Moratorium          ,15.65,0.46,LO Pseudoemiliania lacunosa
108,664.0,D,Post Moratorium          ,54.55,1.3,LO Globigerinoides obliquus extremus
108,664.0,D,Post Moratorium          ,64.05,1.45,LO Calcidiscus macintyrei
